,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
10,MATUGA,"39,124",31.2,0.5,7.9,32.6,0.1,0.4,22.9 2.5 1.1,22.9,2.5,1.1,0.8,0.2,0,-,0,"39,124",20.2,1.4,5.6,1.3,3.5,11.5,8.3 13.1 5.9,8.3,13.1,5.9,6.3,0.6,2.4,2.3,17.6,0,"177,675 87,377 90,296","177,675","87,377","90,296","23,507",13.2,"13,660 15.6","13,660",15.6,"9,847",10.9,"7,769","4.4 4,609 5.3 3,160",4.4,"4,609",5.3,"3,160",3.5,"177,675 87,377 90,296","177,675","87,377","90,296","70,107",39.5,"36,575 41.9","36,575",41.9,"33,531",37.1
11,MSAMBWENI,"45,374",61.8,0.5,3.8,20.1,0.2,0.1,10.2 0.8 0.7,10.2,0.8,0.7,1.4,0.2,0.1,-,0,"45,374",0.7,0.5,0.6,1.5,1.5,20.1,7.3 27.4 6.2,7.3,27.4,6.2,4.5,6.7,0.5,4.3,18.1,0,"159,936 80,181 79,752","159,936","80,181","79,752","40,774",25.5,"23,161 28.9","23,161",28.9,"17,610",22.1,"16,176","10.1 9,245 11.5 6,928",10.1,"9,245",11.5,"6,928",8.7,"159,936 80,181 79,752","159,936","80,181","79,752","80,641",50.4,"42,969 53.6","42,969",53.6,"37,670",47.2
12,SAMBURU SUBCOUNTY,"34,987",20.9,0.5,7.2,32.4,0.2,2.1,27.4 3.4 4.5,27.4,3.4,4.5,0.8,0.4,0,-,0.1,"34,987",18,13.4,2.8,2.6,0.4,0.1,0.8 0.0 4.8,0.8,0.0,4.8,12.3,0.2,0.8,3.7,39.7,0.1,"180,988 86,642 94,339","180,988","86,642","94,339","14,732",8.1,"9,253 10.7","9,253",10.7,"5,478",5.8,"5,237","2.9 3,255 3.8 1,982",2.9,"3,255",3.8,"1,982",2.1,"180,988 86,642 94,339","180,988","86,642","94,339","57,673",31.9,"29,974 34.6","29,974",34.6,"27,697",29.4
13,KILIFI,"297,990",38.5,0.6,6.1,26.7,0.1,1.3,20.0 2.4 2.9,20.0,2.4,2.9,1.2,0.2,0,0,0,"297,990",6,6.8,2.6,0.8,0.6,4.4,3.5 4.0 10.2,3.5,4.0,10.2,13.2,2,0.4,9.6,36,0,"1,323,664 636,891 686,754","1,323,664","636,891","686,754","200,190",15.1,"118,420 18.6","118,420",18.6,"81,770",11.9,"87,064","6.6 50,667 8.0 36,397",6.6,"50,667",8.0,"36,397",5.3,"1,323,664 636,891 686,754","1,323,664","636,891","686,754","520,866",39.4,"268,321 42.1","268,321",42.1,"252,540",36.8
14,CHONYI,"11,416",14.2,1.6,7.1,56.5,0.1,0.3,18.9 1.1 0.1,18.9,1.1,0.1,0,0.1,-,-,-,"11,416",6,2.2,2.3,1.8,1.7,0.3,6.5 0.1 2.6,6.5,0.1,2.6,11.8,0,0.2,7.9,56.5,-,"57,246 26,917 30,328","57,246","26,917","30,328","3,965",6.9,"2,642 9.8","2,642",9.8,"1,323",4.4,"1,419",2.5 916 3.4 503,2.5,916,3.4,503,1.7,"57,246 26,917 30,328","57,246","26,917","30,328","17,874",31.2,"8,923 33.2","8,923",33.2,"8,951",29.5
15,GANZE,"23,197",5.5,0.4,3.4,24.7,0.1,6,38.5 5.4 15.3,38.5,5.4,15.3,0.5,0.3,0,0,0.1,"23,197",24.7,19.4,1.4,0.6,0.9,0.1,1.7 0.3 3.5,1.7,0.3,3.5,9.4,0.3,0.8,2.1,34.7,0.1,"131,101 60,552 70,546","131,101","60,552","70,546","8,884",6.8,"5,497 9.1","5,497",9.1,"3,387",4.8,"4,319","3.3 2,597 4.3 1,722",3.3,"2,597",4.3,"1,722",2.4,"131,101 60,552 70,546","131,101","60,552","70,546","39,293",30.0,"18,317 30.3","18,317",30.3,"20,976",29.7
16,KALOLENI,"36,344",31.8,0.5,6.9,32.9,0.1,1.4,21.0 1.9 2.5,21.0,1.9,2.5,0.7,0.2,0,0,0,"36,344",20.2,26.1,2.2,0.9,1.3,1.8,5.1 0.8 7.9,5.1,0.8,7.9,8.2,0.3,0.6,6.3,18.3,0,"176,734 83,996 92,733","176,734","83,996","92,733","20,300",11.5,"12,198 14.5","12,198",14.5,"8,102",8.7,"9,086","5.1 5,455 6.5 3,631",5.1,"5,455",6.5,"3,631",3.9,"176,734 83,996 92,733","176,734","83,996","92,733","62,072",35.1,"31,581 37.6","31,581",37.6,"30,491",32.9
17,KAUMA,"3,479",6.6,0.1,4.1,45.8,0.3,2.5,33.8 4.1 2.4,33.8,4.1,2.4,0.1,0.1,-,-,-,"3,479",1.7,4.1,3,0.6,0.1,0.5,1.1 0.3 3.2,1.1,0.3,3.2,10.7,0.1,0.1,0.2,74.2,-,"20,821 10,054 10,767","20,821","10,054","10,767","1,289",6.2,846 8.4,846,8.4,443,4.1,462,2.2 293 2.9 169,2.2,293,2.9,169,1.6,"20,821 10,054 10,767","20,821","10,054","10,767","6,666",32.0,"3,492 34.7","3,492",34.7,"3,174",29.5
18,KILIFI NORTH,"39,508",45,0.4,6.3,22,0.1,0.1,20.7 2.2 1.4,20.7,2.2,1.4,1.4,0.4,0,-,0,"39,508",0.1,0,0.2,0.5,0.1,3,1.3 4.6 13.4,1.3,4.6,13.4,18.8,2.4,0.5,9.9,45,0,"162,990 78,763 84,225","162,990","78,763","84,225","32,694",20.1,"19,053 24.2","19,053",24.2,"13,641",16.2,"16,090","9.9 9,274 11.8 6,816",9.9,"9,274",11.8,"6,816",8.1,"162,990 78,763 84,225","162,990","78,763","84,225","72,985",44.8,"37,368 47.4","37,368",47.4,"35,617",42.3
19,KILIFI SOUTH,"53,011",59.9,0.7,5.5,22,0.1,0.2,8.7 1.1 0.3,8.7,1.1,0.3,1.3,0.2,0,0,0,"53,011",1.6,0.5,0.4,0.6,0.3,14.4,2.1 9.5 6.7,2.1,9.5,6.7,9.3,6.8,0.4,12.6,34.9,0,"187,663 91,863 95,799","187,663","91,863","95,799","41,751",22.2,"23,511 25.6","23,511",25.6,"18,240",19.0,"17,051","9.1 9,659 10.5 7,392",9.1,"9,659",10.5,"7,392",7.7,"187,663 91,863 95,799","187,663","91,863","95,799","90,113",48.0,"46,750 50.9","46,750",50.9,"43,362",45.3
20,MAGARINI,"32,978",13.9,0.5,7.8,31.7,0.1,3.1,32.2 4.9 4.7,32.2,4.9,4.7,1.1,0.2,0,0,0,"32,978",7.9,10.9,8.3,0.9,0.2,7.5,14.2 5.7 1.1,14.2,5.7,1.1,2,0.2,0.7,17.3,23.1,0,"174,553 84,429 90,124","174,553","84,429","90,124","14,916",8.5,"9,722 11.5","9,722",11.5,"5,194",5.8,"6,580","3.8 4,032 4.8 2,548",3.8,"4,032",4.8,"2,548",2.8,"174,553 84,429 90,124","174,553","84,429","90,124","53,914",30.9,"28,957 34.3","28,957",34.3,"24,957",27.7
21,MALINDI,"73,317",50.4,0.6,5.9,18.4,0.2,1,17.1 2.3 2.2,17.1,2.3,2.2,1.7,0.1,0.1,0,0,"73,317",0.1,0.4,3.8,0.6,0.1,0.9,0.2 3.8 20.2,0.2,3.8,20.2,20.3,1.4,0.2,7.7,40.3,0,"301,205 146,545 154,653","301,205","146,545","154,653","62,682",20.8,"36,360 24.8","36,360",24.8,"26,322",17.0,"26,991","9.0 15,364 10.5 11,627",9.0,"15,364",10.5,"11,627",7.5,"301,205 146,545 154,653","301,205","146,545","154,653","134,437",44.6,"69,612 47.5","69,612",47.5,"64,821",41.9
22,RABAI,"24,740",35.8,0.8,7.1,38.3,0.1,0.1,14.7 1.3 0.2,14.7,1.3,0.2,1.2,0.3,-,0,0,"24,740",2.1,7.4,2.4,1.1,1.9,1.7,3.3 0.5 9.1,3.3,0.5,9.1,18.2,0.2,0.3,11.6,40.3,0,"111,351 53,772 57,579","111,351","53,772","57,579","13,709",12.3,"8,591 16.0","8,591",16.0,"5,118",8.9,"5,066","4.5 3,077 5.7 1,989",4.5,"3,077",5.7,"1,989",3.5,"111,351 53,772 57,579","111,351","53,772","57,579","43,512",39.1,"23,321 43.4","23,321",43.4,"20,191",35.1
23,TANA RIVER,"66,984",25.6,0.2,2.4,7.1,0.5,6.8,20.9 12.1 21.7,20.9,12.1,21.7,2.3,0.3,0.1,0,0.1,"66,984",2.6,9.8,19.5,1.1,0.5,9.8,7.5 22.1 2.9,7.5,22.1,2.9,7.8,0.4,0.1,5.1,10.8,0.1,"284,605 142,087 142,516","284,605","142,087","142,516","25,256",8.9,"16,523 11.6","16,523",11.6,"8,733",6.1,"8,985","3.2 5,689 4.0 3,296",3.2,"5,689",4.0,"3,296",2.3,"284,605 142,087 142,516","284,605","142,087","142,516","90,043",31.6,"50,282 35.4","50,282",35.4,"39,761",27.9
24,TANA DELTA,"22,395",17,0.2,2.7,10.1,0.4,5.6,35.7 15.4 10.8,35.7,15.4,10.8,1.8,0.2,0,0,0,"22,395",1.4,3.5,17.4,1.2,0.3,14.8,6.9 30.8 3.0,6.9,30.8,3.0,5,0.3,0.2,3.8,11.4,0,"99,792 50,066 49,726","99,792","50,066","49,726","8,398",8.4,"5,557 11.1","5,557",11.1,"2,841",5.7,"3,055","3.1 1,945 3.9 1,110",3.1,"1,945",3.9,"1,110",2.2,"99,792 50,066 49,726","99,792","50,066","49,726","30,558",30.6,"17,206 34.4","17,206",34.4,"13,352",26.9
25,TANA NORTH,"26,119",29.3,0.2,1.7,2.2,0.6,7,11.9 10.7 32.7,11.9,10.7,32.7,3.2,0.3,0.2,-,0,"26,119",3.8,13.6,21.2,1.3,0.9,1.7,5.6 21.7 2.1,5.6,21.7,2.1,9.6,0.5,0.1,8.5,9.4,0,"105,495 53,199 52,294","105,495","53,199","52,294","8,825",8.4,"5,795 10.9","5,795",10.9,"3,030",5.8,"2,153","2.0 1,359 2.6 794",2.0,"1,359",2.6,794,1.5,"105,495 53,199 52,294","105,495","53,199","52,294","34,954",33.1,"19,076 35.9","19,076",35.9,"15,878",30.4
26,TANA RIVER SUBCOUNTY,"18,470",30.7,0.3,3.2,10.3,0.6,7.7,15.7 10.0 19.4,15.7,10.0,19.4,1.6,0.4,0,0,0.1,"18,470",2.3,12,19.5,0.8,0.1,15.2,11.0 12.1 3.8,11.0,12.1,3.8,8.7,0.4,0,1.9,12.1,0.1,"79,318 38,822 40,496","79,318","38,822","40,496","8,033",10.1,"5,171 13.3","5,171",13.3,"2,862",7.1,"3,777","4.8 2,385 6.1 1,392",4.8,"2,385",6.1,"1,392",3.4,"79,318 38,822 40,496","79,318","38,822","40,496","24,531",30.9,"14,000 36.1","14,000",36.1,"10,531",26.0
27,LAMU,"34,231",43.2,0.2,3.6,7.2,0.1,1.4,28.3 5.8 8.3,28.3,5.8,8.3,1.4,0.2,0.2,0,0,"34,231",4.2,1.8,1.1,1.4,0.5,17.3,16.6 7.0 8.4,16.6,7.0,8.4,3.7,2.5,10.2,7,18.3,0,"130,991 69,111 61,877","130,991","69,111","61,877","25,473",19.4,"16,171 23.4","16,171",23.4,"9,301",15.0,"8,101","6.2 5,276 7.6 2,825",6.2,"5,276",7.6,"2,825",4.6,"130,991 69,111 61,877","130,991","69,111","61,877","59,256",45.2,"33,849 49.0","33,849",49.0,"25,406",41.1
28,LAMU EAST,"4,476",59.5,0,2,3.5,0.2,0.8,27.4 2.2 3.7,27.4,2.2,3.7,0.6,0.1,-,-,-,"4,476",0.3,-,1.9,0.2,0.3,9.3,11.5 3.3 0.0,11.5,3.3,0.0,0,0.5,68.5,1.6,2.6,-,"20,637 10,805 9,832","20,637","10,805","9,832","3,385",16.4,"2,232 20.7","2,232",20.7,"1,153",11.7,844,4.1 633 5.9 211,4.1,633,5.9,211,2.1,"20,637 10,805 9,832","20,637","10,805","9,832","7,913",38.3,"4,616 42.7","4,616",42.7,"3,297",33.5
29,LAMU WEST,"29,755",40.7,0.2,3.9,7.8,0.1,1.5,28.5 6.4 9.0,28.5,6.4,9.0,1.5,0.2,0.2,0,0,"29,755",4.8,2.1,1,1.5,0.6,18.5,17.4 7.5 9.7,17.4,7.5,9.7,4.2,2.8,1.4,7.8,20.6,0,"110,354 58,306 52,045","110,354","58,306","52,045","22,088",20.0,"13,939 23.9","13,939",23.9,"8,148",15.7,"7,257","6.6 4,643 8.0 2,614",6.6,"4,643",8.0,"2,614",5.0,"110,354 58,306 52,045","110,354","58,306","52,045","51,343",46.5,"29,233 50.1","29,233",50.1,"22,109",42.5
30,TAITA/TAVETA,"94,468",47.6,0.3,10.7,9.6,0,0.2,24.4 2.8 2.8,24.4,2.8,2.8,1.2,0.1,0,0,0,"94,468",0.2,1.3,15.4,3.6,1.9,1.9,1.0 5.1 12.0,1.0,5.1,12.0,24.1,0.4,1.3,11.4,20.3,0,"312,593 158,230 154,357","312,593","158,230","154,357","74,588",23.9,"42,034 26.6","42,034",26.6,"32,553",21.1,"29,983","9.6 17,099 10.8 12,884",9.6,"17,099",10.8,"12,884",8.3,"312,593 158,230 154,357","312,593","158,230","154,357","171,763",54.9,"88,074 55.7","88,074",55.7,"83,685",54.2
31,MWATATE,"23,184",40,0.4,11.7,10.9,0,0.1,28.3 3.9 3.6,28.3,3.9,3.6,0.8,0.2,0,-,0,"23,184",0.4,1.4,21.2,2.8,1.2,0.7,0.3 6.2 6.2,0.3,6.2,6.2,14.8,0.6,1.8,16,26.5,0,"76,078 38,672 37,404","76,078","38,672","37,404","15,742",20.7,"9,222 23.8","9,222",23.8,"6,520",17.4,"5,994","7.9 3,467 9.0 2,527",7.9,"3,467",9.0,"2,527",6.8,"76,078 38,672 37,404","76,078","38,672","37,404","41,998",55.2,"21,648 56.0","21,648",56.0,"20,350",54.4
32,TAITA,"14,985",45.9,0.3,15.3,10.6,0.1,0.3,22.1 3.1 1.7,22.1,3.1,1.7,0.5,0.1,-,0,0,"14,985",0.5,1.8,38.1,4.4,5.1,0.5,1.3 1.4 10.8,1.3,1.4,10.8,15.1,0.2,2.9,1.9,16.1,0,"52,345 26,495 25,850","52,345","26,495","25,850","11,713",22.4,"6,617 25.0","6,617",25.0,"5,096",19.7,"4,999","9.6 2,793 10.5 2,206",9.6,"2,793",10.5,"2,206",8.5,"52,345 26,495 25,850","52,345","26,495","25,850","29,374",56.1,"14,950 56.4","14,950",56.4,"14,424",55.8
33,TAVETA,"23,417",39.5,0.6,10.6,13.7,0,0.4,26.6 2.4 4.2,26.6,2.4,4.2,1.7,0.2,0,-,0,"23,417",0.1,1.5,13.8,4.8,2.1,6.2,1.9 9.6 13.2,1.9,9.6,13.2,25.4,0.2,0.1,6.5,14.7,0,"82,789 42,548 40,241","82,789","42,548","40,241","17,693",21.4,"10,116 23.8","10,116",23.8,"7,577",18.8,"6,875","8.3 4,015 9.4 2,860",8.3,"4,015",9.4,"2,860",7.1,"82,789 42,548 40,241","82,789","42,548","40,241","41,736",50.4,"21,994 51.7","21,994",51.7,"19,742",49.1
34,VOI,"32,882",59.6,0.2,8,5.3,0,0.1,21.1 2.3 1.7,21.1,2.3,1.7,1.6,0.1,0,-,0,"32,882",0,0.9,2,2.8,0.7,0.3,0.9 3.0 15.9,0.9,3.0,15.9,33.8,0.5,1.2,16,21.9,0,"101,381 50,515 50,862","101,381","50,515","50,862","29,440",29.0,"16,079 31.8","16,079",31.8,"13,360",26.3,"12,115","11.9 6,824 13.5 5,291",11.9,"6,824",13.5,"5,291",10.4,"101,381 50,515 50,862","101,381","50,515","50,862","58,655",57.9,"29,482 58.4","29,482",58.4,"29,169",57.3
35,GARISSA,"138,940",23.5,0.2,0.7,1.5,2.8,11.9,12.7 10.9 32.1,12.7,10.9,32.1,1.4,0.2,2,0.1,0,"138,940",12.6,17.9,8.8,0.9,0.5,2.4,3.4 26.3 3.4,3.4,26.3,3.4,8.6,0.5,0.4,3.1,11.2,0,"778,006 425,411 352,563","778,006","425,411","352,563","94,786",12.2,"56,148 13.2","56,148",13.2,"38,634",11.0,"35,766","4.6 22,310 5.2 13,453",4.6,"22,310",5.2,"13,453",3.8,"778,006 425,411 352,563","778,006","425,411","352,563","235,692",30.3,"125,700 29.5","125,700",29.5,"109,984",31.2
36,BALAMBALA,"3,986",8.4,0.1,1.6,2.8,5.4,23.8,8.1 13.9 35.5,8.1,13.9,35.5,0.4,0.1,-,-,-,"3,986",11.4,13.5,47.5,1.5,1,4.3,8.0 2.6 0.7,8.0,2.6,0.7,5.6,0,0.3,3,0.6,-,"30,885 19,392 11,492","30,885","19,392","11,492","2,737",8.9,"1,845 9.5","1,845",9.5,891,7.8,"1,135",3.7 724 3.7 411,3.7,724,3.7,411,3.6,"30,885 19,392 11,492","30,885","19,392","11,492","7,045",22.8,"4,328 22.3","4,328",22.3,"2,717",23.6
37,DADAAB,"35,169",7.2,0.2,0.4,1.1,4.7,13.3,20.2 16.2 31.1,20.2,16.2,31.1,1,0.4,4.1,0,0,"35,169",3.7,9.1,0.7,1.7,0.7,1.4,0.7 58.4 2.7,0.7,58.4,2.7,5,0.7,0.3,1.4,13.5,0,"171,529 91,581 79,942","171,529","91,581","79,942","17,569",10.2,"10,186 11.1","10,186",11.1,"7,382",9.2,"6,285","3.7 3,775 4.1 2,509",3.7,"3,775",4.1,"2,509",3.1,"171,529 91,581 79,942","171,529","91,581","79,942","46,627",27.2,"24,379 26.6","24,379",26.6,"22,246",27.8
