,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
186,TURKANA WEST,"56,472","32,002","24,470",TURKANA WEST,TURKANA WEST,TURKANA WEST,Total,Male,Female,TURKANA WEST,Male,Female,"56,472","32,002","24,470","10,139","5,112","5,027","35,141","19,367","15,774","9,197","6,230","2,967",900,624,276,472,350,122,285,129,156,165,89,76,173,101,72,-,-,-,TURKANA WEST,TURKANA WEST,TURKANA WEST,TURKANA WEST,Male,Female,"70,640","40,521","30,119","5,004","2,610","2,394","39,590","21,903","17,687","11,444","7,959","3,485","2,131","1,479",652,996,737,259,197,95,102,-,-,-,"10,431","5,265","5,166",198,123,506,275,251,665
187,WEST POKOT,"235,136","119,842","115,287",WEST POKOT,WEST POKOT,WEST POKOT,Total,Male,Female,WEST POKOT,Male,Female,"235,136","119,842","115,287","50,585","25,693","24,892","139,629","70,061","69,561","37,252","19,911","17,341","3,542","1,700","1,842","3,147","1,961","1,186",531,279,252,2,1,1,448,236,212,-,-,-,WEST POKOT,WEST POKOT,WEST POKOT,WEST POKOT,Male,Female,"328,752","168,629","160,116","26,768","13,541","13,226","180,941","89,949","90,987","48,507","27,411","21,096","12,995","6,671","6,324","5,905","3,764","2,141",515,268,247,1,1,-,"51,949","26,377","25,571",296,210,103,351,314,118
188,KIPKOMO,"48,572","24,703","23,865",KIPKOMO,KIPKOMO,KIPKOMO,Total,Male,Female,KIPKOMO,Male,Female,"48,572","24,703","23,865","10,091","5,124","4,967","29,144","14,665","14,475","7,758","4,083","3,675",762,351,411,636,380,256,111,63,48,-,-,-,70,37,33,-,-,-,KIPKOMO,KIPKOMO,KIPKOMO,KIPKOMO,Male,Female,"67,450","34,453","32,993","4,684","2,402","2,282","39,452","19,601","19,847","9,195","5,160","4,035","2,486","1,231","1,255",965,633,332,111,63,48,-,-,-,"10,336","5,238","5,098",59,44,52,66,52,77
189,POKOT CENTRAL,"42,955","22,218","20,736",POKOT CENTRAL,POKOT CENTRAL,POKOT CENTRAL,Total,Male,Female,POKOT CENTRAL,Male,Female,"42,955","22,218","20,736","9,763","4,963","4,800","27,097","13,880","13,216","5,291","2,919","2,372",397,212,185,282,187,95,72,34,38,-,-,-,53,23,30,-,-,-,POKOT CENTRAL,POKOT CENTRAL,POKOT CENTRAL,POKOT CENTRAL,Male,Female,"58,170","30,580","27,589","4,240","2,204","2,036","35,720","18,323","17,396","6,062","3,615","2,447","1,503",928,575,467,330,137,70,34,36,-,-,-,"9,979","5,080","4,899",28,24,41,38,39,105
190,POKOT NORTH,"27,221","13,774","13,447",POKOT NORTH,POKOT NORTH,POKOT NORTH,Total,Male,Female,POKOT NORTH,Male,Female,"27,221","13,774","13,447","6,693","3,314","3,379","16,267","7,896","8,371","3,597","2,146","1,451",321,187,134,258,182,76,48,27,21,-,-,-,37,22,15,-,-,-,POKOT NORTH,POKOT NORTH,POKOT NORTH,POKOT NORTH,Male,Female,"33,944","17,446","16,498","2,890","1,393","1,497","18,158","8,854","9,304","4,292","2,704","1,588","1,156",712,444,433,316,117,45,24,21,1,1,-,"6,823","3,373","3,450",21,20,74,48,57,90
191,POKOT SOUTH,"41,818","21,211","20,605",POKOT SOUTH,POKOT SOUTH,POKOT SOUTH,Total,Male,Female,POKOT SOUTH,Male,Female,"41,818","21,211","20,605","8,941","4,578","4,363","24,099","12,078","12,019","7,366","3,784","3,582",704,333,371,556,361,195,90,38,52,-,-,-,62,39,23,-,-,-,POKOT SOUTH,POKOT SOUTH,POKOT SOUTH,POKOT SOUTH,Male,Female,"56,673","28,727","27,944","4,419","2,252","2,166","31,261","15,280","15,981","8,626","4,739","3,887","2,275","1,162","1,113",773,518,255,79,32,47,-,-,-,"9,076","4,650","4,425",48,26,236,46,44,275
192,SAMBURU CENTRAL,"55,364","29,444","25,920",SAMBURU CENTRAL,SAMBURU CENTRAL,SAMBURU CENTRAL,Total,Male,Female,SAMBURU CENTRAL,Male,Female,"55,364","29,444","25,920","13,680","7,117","6,563","31,234","16,127","15,107","8,312","4,889","3,423","1,055",605,450,865,582,283,74,45,29,2,1,1,142,78,64,-,-,-,SAMBURU CENTRAL,SAMBURU CENTRAL,SAMBURU CENTRAL,SAMBURU CENTRAL,Male,Female,"77,389","41,684","35,705","5,722","2,900","2,822","38,119","19,743","18,376","13,291","7,945","5,346","3,949","2,271","1,678","1,908","1,317",591,70,45,25,-,-,-,"13,880","7,206","6,674",131,87,91,126,106,49
193,SAMBURU EAST,"17,726","9,425","8,301",SAMBURU EAST,SAMBURU EAST,SAMBURU EAST,Total,Male,Female,SAMBURU EAST,Male,Female,"17,726","9,425","8,301","4,396","2,293","2,103","9,993","5,144","4,849","2,633","1,536","1,097",438,278,160,179,123,56,41,26,15,1,-,1,45,25,20,-,-,-,SAMBURU EAST,SAMBURU EAST,SAMBURU EAST,SAMBURU EAST,Male,Female,"25,288","13,688","11,600","1,961","1,009",952,"12,277","6,295","5,982","4,485","2,709","1,776","1,466",907,559,435,318,117,35,23,12,-,-,-,"4,489","2,342","2,147",57,34,36,28,21,19
194,SAMBURU NORTH,"13,518","7,223","6,294",SAMBURU NORTH,SAMBURU NORTH,SAMBURU NORTH,Total,Male,Female,SAMBURU NORTH,Male,Female,"13,518","7,223","6,294","3,795","1,968","1,826","7,387","3,819","3,568","1,936","1,172",764,192,125,67,148,110,38,43,21,22,1,-,1,16,8,8,-,-,-,SAMBURU NORTH,SAMBURU NORTH,SAMBURU NORTH,SAMBURU NORTH,Male,Female,"17,553","9,703","7,849","1,758",916,842,"7,832","4,037","3,795","2,974","1,909","1,065",761,566,195,270,219,51,43,21,22,-,-,-,"3,860","2,001","1,858",23,13,"1,512",11,8,"1,375"
195,TRANS NZOIA,"440,977","224,218","216,747",TRANS NZOIA,TRANS NZOIA,TRANS NZOIA,Total,Male,Female,TRANS NZOIA,Male,Female,"440,977","224,218","216,747","78,093","39,829","38,263","258,680","131,907","126,763","86,362","43,166","43,195","8,872","4,089","4,783","7,769","4,560","3,209",457,241,216,3,-,3,741,426,315,-,-,-,TRANS NZOIA,TRANS NZOIA,TRANS NZOIA,TRANS NZOIA,Male,Female,"807,667","400,680","406,969","53,584","26,744","26,838","431,851","210,971","220,869","182,554","91,074","91,477","37,608","17,835","19,772","18,580","11,357","7,223",442,238,204,1,1,-,"80,160","40,846","39,313",879,633,305,735,640,303
196,TRANS NZOIA WEST,"87,077","44,064","43,011",TRANS NZOIA WEST,TRANS NZOIA WEST,TRANS NZOIA WEST,Total,Male,Female,TRANS NZOIA WEST,Male,Female,"87,077","44,064","43,011","15,921","8,103","7,818","50,603","25,650","24,951","16,875","8,406","8,469","2,041",947,"1,094","1,442",854,588,40,21,19,1,-,1,154,83,71,-,-,-,TRANS NZOIA WEST,TRANS NZOIA WEST,TRANS NZOIA WEST,TRANS NZOIA WEST,Male,Female,"165,100","82,214","82,883","8,202","4,127","4,075","89,139","43,295","45,842","40,080","20,403","19,676","7,678","3,785","3,893","3,177","2,002","1,175",37,21,16,-,-,-,"16,179","8,231","7,948",186,119,400,164,139,407
197,TRANS NZOIA EAST,"105,393","53,788","51,600",TRANS NZOIA EAST,TRANS NZOIA EAST,TRANS NZOIA EAST,Total,Male,Female,TRANS NZOIA EAST,Male,Female,"105,393","53,788","51,600","17,444","8,886","8,557","62,221","31,899","30,318","21,367","10,727","10,640","2,004",900,"1,104","2,069","1,213",856,62,30,32,-,-,-,226,133,93,-,-,-,TRANS NZOIA EAST,TRANS NZOIA EAST,TRANS NZOIA EAST,TRANS NZOIA EAST,Male,Female,"187,681","93,324","94,351","8,824","4,511","4,311","104,162","51,085","53,074","43,337","21,624","21,713","8,557","4,049","4,508","4,089","2,517","1,572",57,30,27,1,1,-,"17,847","9,083","8,763",219,181,374,205,202,302
198,KWANZA,"91,168","46,409","44,758",KWANZA,KWANZA,KWANZA,Total,Male,Female,KWANZA,Male,Female,"91,168","46,409","44,758","16,297","8,329","7,968","54,486","27,894","26,592","17,131","8,474","8,656","1,546",719,827,"1,332",794,538,210,112,98,1,-,1,165,87,78,-,-,-,KWANZA,KWANZA,KWANZA,KWANZA,Male,Female,"163,735","81,182","82,550","16,789","8,339","8,450","84,278","41,219","43,058","34,275","16,921","17,353","7,163","3,450","3,712","3,303","2,063","1,240",208,112,96,-,-,-,"17,043","8,696","8,347",213,161,113,169,133,115
199,ENDEBESS,"50,202","25,839","24,361",ENDEBESS,ENDEBESS,ENDEBESS,Total,Male,Female,ENDEBESS,Male,Female,"50,202","25,839","24,361","9,970","5,118","4,852","30,818","15,768","15,048","8,259","4,316","3,943",621,302,319,431,280,151,57,28,29,-,-,-,46,27,19,-,-,-,ENDEBESS,ENDEBESS,ENDEBESS,ENDEBESS,Male,Female,"87,680","44,520","43,157","8,467","4,184","4,283","51,126","25,235","25,888","14,608","7,960","6,648","2,108","1,131",977,862,605,257,59,30,29,-,-,-,"10,222","5,245","4,977",69,44,320,61,54,248
200,KIMININI,"107,137","54,118","53,017",KIMININI,KIMININI,KIMININI,Total,Male,Female,KIMININI,Male,Female,"107,137","54,118","53,017","18,461","9,393","9,068","60,552","30,696","29,854","22,730","11,243","11,487","2,660","1,221","1,439","2,495","1,419","1,076",88,50,38,1,-,1,150,96,54,-,-,-,KIMININI,KIMININI,KIMININI,KIMININI,Male,Female,"203,471","99,440","104,028","11,302","5,583","5,719","103,146","50,137","53,007","50,254","24,166","26,087","12,102","5,420","6,682","7,149","4,170","2,979",81,45,36,-,-,-,"18,869","9,591","9,278",192,128,"2,148",136,112,"1,301"
201,UASIN GISHU,"480,402","241,839","238,555",UASIN GISHU,UASIN GISHU,UASIN GISHU,Total,Male,Female,UASIN GISHU,Male,Female,"480,402","241,839","238,555","81,478","42,019","39,457","253,451","128,836","124,613","100,063","48,988","51,073","24,520","10,984","13,536","19,660","10,363","9,296",362,192,170,13,10,3,855,447,407,-,-,-,UASIN GISHU,UASIN GISHU,UASIN GISHU,UASIN GISHU,Male,Female,"982,670","491,510","491,139","43,537","22,206","21,331","448,585","223,415","225,165","266,209","134,529","131,673","88,308","39,932","48,373","48,856","26,374","22,479",328,175,153,6,3,3,"83,392","42,987","40,403","1,161",987,259,728,572,95
202,AINABKOI,"57,988","29,057","28,931",AINABKOI,AINABKOI,AINABKOI,Total,Male,Female,AINABKOI,Male,Female,"57,988","29,057","28,931","9,257","4,808","4,449","30,335","15,410","14,925","12,770","6,180","6,590","2,886","1,261","1,625","2,621","1,340","1,281",36,17,19,2,-,2,81,41,40,-,-,-,AINABKOI,AINABKOI,AINABKOI,AINABKOI,Male,Female,"117,289","58,348","58,941","4,858","2,426","2,432","51,897","26,095","25,802","31,360","15,634","15,726","11,631","5,193","6,438","7,500","3,798","3,702",32,16,16,-,-,-,"9,657","4,997","4,660",142,117,376,47,48,268
203,KAPSERET,"77,598","38,581","39,017",KAPSERET,KAPSERET,KAPSERET,Total,Male,Female,KAPSERET,Male,Female,"77,598","38,581","39,017","12,750","6,525","6,225","37,485","18,806","18,679","15,482","7,451","8,031","7,160","3,410","3,750","4,506","2,283","2,223",42,20,22,-,-,-,173,86,87,-,-,-,KAPSERET,KAPSERET,KAPSERET,KAPSERET,Male,Female,"171,715","86,038","85,673","6,143","3,091","3,052","69,354","34,623","34,730","51,007","26,031","24,974","20,164","9,282","10,881","11,456","6,028","5,428",37,18,19,-,-,-,"12,910","6,610","6,300",210,166,259,145,123,78
204,KESSES,"65,544","33,580","31,962",KESSES,KESSES,KESSES,Total,Male,Female,KESSES,Male,Female,"65,544","33,580","31,962","10,917","5,712","5,205","35,534","18,317","17,216","14,085","7,064","7,021","2,421","1,097","1,324","2,473","1,332","1,140",29,17,12,1,1,-,84,40,44,-,-,-,KESSES,KESSES,KESSES,KESSES,Male,Female,"125,458","63,271","62,184","5,915","3,127","2,788","62,591","31,477","31,113","30,470","15,351","15,119","9,423","4,264","5,158","5,396","2,961","2,434",26,13,13,-,-,-,"11,300","5,907","5,393",128,131,278,43,35,200
205,MOIBEN,"73,257","36,585","36,672",MOIBEN,MOIBEN,MOIBEN,Total,Male,Female,MOIBEN,Male,Female,"73,257","36,585","36,672","11,924","6,107","5,817","37,835","19,275","18,560","15,841","7,614","8,227","3,556","1,466","2,090","3,900","2,023","1,877",65,30,35,-,-,-,136,70,66,-,-,-,MOIBEN,MOIBEN,MOIBEN,MOIBEN,Male,Female,"152,275","75,484","76,789","5,862","2,934","2,928","66,472","33,262","33,208","41,659","20,672","20,987","15,547","6,673","8,874","10,063","5,448","4,615",61,29,32,1,1,-,"12,132","6,212","5,920",148,130,366,105,95,247
206,SOY,"100,702","51,374","49,326",SOY,SOY,SOY,Total,Male,Female,SOY,Male,Female,"100,702","51,374","49,326","17,615","9,112","8,502","55,793","28,651","27,142","20,587","10,279","10,308","3,636","1,625","2,011","2,828","1,578","1,250",89,43,46,-,-,-,154,86,67,-,-,-,SOY,SOY,SOY,SOY,Male,Female,"192,028","96,177","95,846","9,764","5,067","4,697","98,152","48,896","49,256","47,852","23,928","23,923","12,012","5,453","6,558","5,690","3,215","2,474",83,42,41,2,1,1,"17,860","9,223","8,636",197,169,610,155,91,413
207,TURBO,"105,313","52,662","52,647",TURBO,TURBO,TURBO,Total,Male,Female,TURBO,Male,Female,"105,313","52,662","52,647","19,015","9,755","9,259","56,469","28,377","28,091","21,298","10,400","10,896","4,861","2,125","2,736","3,332","1,807","1,525",101,65,36,10,9,1,227,124,103,-,-,-,TURBO,TURBO,TURBO,TURBO,Male,Female,"223,905","112,192","111,706","10,995","5,561","5,434","100,119","49,062","51,056","63,861","32,913","30,944","19,531","9,067","10,464","8,751","4,924","3,826",89,57,32,3,1,2,"19,533","10,038","9,494",336,274,808,233,180,644
208,ELGEYO/MARAKWET,"203,979","103,310","100,663",ELGEYO/MARAKWET,ELGEYO/MARAKWET,ELGEYO/MARAKWET,Total,Male,Female,ELGEYO/MARAKWET,Male,Female,"203,979","103,310","100,663","38,412","19,750","18,662","117,050","59,473","57,573","39,314","19,447","19,866","4,910","2,327","2,583","3,723","1,995","1,727",223,128,95,1,1,-,346,189,157,-,-,-,ELGEYO/MARAKWET,ELGEYO/MARAKWET,ELGEYO/MARAKWET,ELGEYO/MARAKWET,Male,Female,"363,177","183,740","179,428","22,797","11,781","11,015","193,605","96,142","97,458","78,023","40,644","37,378","19,913","9,548","10,364","7,821","4,452","3,368",229,131,98,1,1,-,"39,336","20,217","19,119",472,336,206,352,292,89
209,KEIYO NORTH,"42,628","21,499","21,128",KEIYO NORTH,KEIYO NORTH,KEIYO NORTH,Total,Male,Female,KEIYO NORTH,Male,Female,"42,628","21,499","21,128","7,694","4,013","3,681","23,516","12,047","11,468","8,821","4,236","4,585","1,474",637,837,"1,055",526,529,18,12,6,-,-,-,50,28,22,-,-,-,KEIYO NORTH,KEIYO NORTH,KEIYO NORTH,KEIYO NORTH,Male,Female,"83,235","41,815","41,419","4,781","2,471","2,310","41,173","20,618","20,554","20,522","10,390","10,132","6,011","2,680","3,331","2,526","1,344","1,182",17,10,7,-,-,-,"7,910","4,129","3,781",126,80,278,47,42,404
210,KEIYO SOUTH,"53,990","27,641","26,348",KEIYO SOUTH,KEIYO SOUTH,KEIYO SOUTH,Total,Male,Female,KEIYO SOUTH,Male,Female,"53,990","27,641","26,348","9,057","4,672","4,385","30,641","15,835","14,806","11,456","5,679","5,777","1,602",817,785,"1,042",530,511,54,31,23,1,1,-,137,76,61,-,-,-,KEIYO SOUTH,KEIYO SOUTH,KEIYO SOUTH,KEIYO SOUTH,Male,Female,"100,537","51,261","49,273","6,846","3,558","3,288","53,041","26,940","26,101","22,680","11,649","11,030","5,813","2,789","3,023","2,129","1,114","1,014",57,32,25,-,-,-,"9,289","4,791","4,498",168,110,161,220,184,31
211,MARAKWET EAST,"45,934","23,055","22,878",MARAKWET EAST,MARAKWET EAST,MARAKWET EAST,Total,Male,Female,MARAKWET EAST,Male,Female,"45,934","23,055","22,878","10,132","5,231","4,901","27,007","13,350","13,656","7,411","3,764","3,647",626,284,342,617,349,268,83,42,41,-,-,-,58,35,23,-,-,-,MARAKWET EAST,MARAKWET EAST,MARAKWET EAST,MARAKWET EAST,Male,Female,"70,984","35,834","35,149","5,328","2,707","2,620","38,935","18,659","20,276","12,431","6,949","5,482","2,690","1,393","1,297","1,016",669,347,81,42,39,1,1,-,"10,310","5,310","5,000",86,75,163,18,13,120
212,MARAKWET WEST,"61,427","31,115","30,309",MARAKWET WEST,MARAKWET WEST,MARAKWET WEST,Total,Male,Female,MARAKWET WEST,Male,Female,"61,427","31,115","30,309","11,529","5,834","5,695","35,886","18,241","17,643","11,626","5,768","5,857","1,208",589,619,"1,009",590,419,68,43,25,-,-,-,101,50,51,-,-,-,MARAKWET WEST,MARAKWET WEST,MARAKWET WEST,MARAKWET WEST,Male,Female,"108,421","54,830","53,587","5,842","3,045","2,797","60,456","29,925","30,527","22,390","11,656","10,734","5,399","2,686","2,713","2,150","1,325",825,74,47,27,-,-,-,"11,827","5,987","5,840",92,71,"1,796",67,53,"1,120"
213,NANDI,"390,831","199,523","191,303",NANDI,NANDI,NANDI,Total,Male,Female,NANDI,Male,Female,"390,831","199,523","191,303","67,337","34,569","32,766","225,229","115,923","109,303","77,476","38,387","39,089","11,435","5,258","6,177","8,234","4,743","3,491",518,287,231,1,-,1,601,356,245,-,-,-,NANDI,NANDI,NANDI,NANDI,Male,Female,"744,256","373,405","370,835","49,297","25,091","24,206","409,504","202,804","206,687","152,581","77,805","74,775","42,676","20,192","22,484","17,229","9,956","7,273",518,286,232,4,2,2,"69,531","35,665","33,864",982,814,267,622,498,118
214,CHESUMEI,"69,608","35,299","34,308",CHESUMEI,CHESUMEI,CHESUMEI,Total,Male,Female,CHESUMEI,Male,Female,"69,608","35,299","34,308","11,320","5,780","5,539","38,932","20,040","18,892","14,302","6,909","7,393","2,467","1,099","1,368","2,456","1,391","1,065",40,29,11,1,-,1,90,51,39,-,-,-,CHESUMEI,CHESUMEI,CHESUMEI,CHESUMEI,Male,Female,"140,057","69,601","70,453","7,662","3,919","3,743","73,354","36,217","37,135","32,577","16,297","16,280","9,943","4,526","5,417","4,499","2,470","2,029",55,36,19,1,1,-,"11,581","5,915","5,665",148,119,558,72,46,119
215,NANDI CENTRAL,"62,865","32,004","30,860",NANDI CENTRAL,NANDI CENTRAL,NANDI CENTRAL,Total,Male,Female,NANDI CENTRAL,Male,Female,"62,865","32,004","30,860","10,406","5,318","5,088","36,226","18,647","17,578","12,684","6,204","6,480","1,834",847,987,"1,421",842,579,187,91,96,-,-,-,107,55,52,-,-,-,NANDI CENTRAL,NANDI CENTRAL,NANDI CENTRAL,NANDI CENTRAL,Male,Female,"123,620","61,703","61,913","9,404","4,798","4,606","65,934","32,574","33,357","25,410","12,813","12,596","7,635","3,481","4,154","3,611","2,092","1,519",180,88,92,-,-,-,"10,769","5,509","5,260",290,268,200,58,61,194
216,NANDI EAST,"51,575","26,083","25,492",NANDI EAST,NANDI EAST,NANDI EAST,Total,Male,Female,NANDI EAST,Male,Female,"51,575","26,083","25,492","9,510","4,877","4,633","29,402","14,895","14,507","9,792","4,834","4,958","1,701",807,894,"1,026",583,443,46,29,17,-,-,-,98,58,40,-,-,-,NANDI EAST,NANDI EAST,NANDI EAST,NANDI EAST,Male,Female,"101,090","51,192","49,896","7,785","3,978","3,807","54,101","26,913","27,186","20,401","10,699","9,702","6,226","2,994","3,232","2,381","1,371","1,010",49,31,18,1,1,-,"9,752","4,994","4,758",113,87,287,98,96,254
217,NANDI NORTH,"75,700","38,889","36,809",NANDI NORTH,NANDI NORTH,NANDI NORTH,Total,Male,Female,NANDI NORTH,Male,Female,"75,700","38,889","36,809","12,956","6,692","6,264","43,886","22,720","21,164","15,010","7,523","7,487","2,168",993,"1,175","1,465",831,634,69,34,35,-,-,-,146,96,50,-,-,-,NANDI NORTH,NANDI NORTH,NANDI NORTH,NANDI NORTH,Male,Female,"138,862","69,415","69,444","7,730","3,885","3,845","78,372","38,693","39,676","29,100","14,789","14,311","7,036","3,301","3,735","2,733","1,569","1,164",67,35,32,1,-,1,"13,282","6,838","6,444",169,118,341,136,118,263
218,NANDI SOUTH,"77,802","39,675","38,127",NANDI SOUTH,NANDI SOUTH,NANDI SOUTH,Total,Male,Female,NANDI SOUTH,Male,Female,"77,802","39,675","38,127","13,512","6,904","6,608","45,080","23,276","21,804","15,794","7,754","8,040","2,079",961,"1,118","1,137",660,477,106,65,41,-,-,-,94,55,39,-,-,-,NANDI SOUTH,NANDI SOUTH,NANDI SOUTH,NANDI SOUTH,Male,Female,"145,263","72,624","72,636","10,149","5,138","5,011","80,981","40,096","40,882","28,838","14,335","14,503","7,671","3,789","3,882","2,631","1,584","1,047",103,61,42,1,-,1,"14,285","7,293","6,992",176,165,143,152,111,172
219,TINDERET,"53,281","27,573","25,707",TINDERET,TINDERET,TINDERET,Total,Male,Female,TINDERET,Male,Female,"53,281","27,573","25,707","9,633","4,998","4,634","31,703","16,345","15,358","9,894","5,163","4,731","1,186",551,635,729,436,293,70,39,31,-,-,-,66,41,25,-,-,-,TINDERET,TINDERET,TINDERET,TINDERET,Male,Female,"95,364","48,870","46,493","6,567","3,373","3,194","56,762","28,311","28,451","16,255","8,872","7,383","4,165","2,101","2,064","1,374",870,504,64,35,29,-,-,-,"9,862","5,116","4,745",86,57,"1,279",106,66,889
220,BARINGO,"253,878","130,797","123,075",BARINGO,BARINGO,BARINGO,Total,Male,Female,BARINGO,Male,Female,"253,878","130,797","123,075","46,616","24,297","22,317","145,199","74,759","70,438","49,723","25,338","24,383","6,398","3,052","3,346","5,085","2,894","2,191",333,179,154,1,-,1,523,278,245,-,-,-,BARINGO,BARINGO,BARINGO,BARINGO,Male,Female,"445,727","227,913","217,804","24,456","12,548","11,908","226,431","114,103","112,324","100,918","52,734","48,182","31,394","15,091","16,302","12,366","7,267","5,099",322,177,145,2,1,-,"47,670","24,838","22,830",675,604,294,479,410,92
221,BARINGO CENTRAL,"42,317","21,287","21,030",BARINGO CENTRAL,BARINGO CENTRAL,BARINGO CENTRAL,Total,Male,Female,BARINGO CENTRAL,Male,Female,"42,317","21,287","21,030","6,598","3,426","3,172","23,342","11,772","11,570","9,487","4,639","4,848","1,592",740,852,"1,210",666,544,12,5,7,-,-,-,76,39,37,-,-,-,BARINGO CENTRAL,BARINGO CENTRAL,BARINGO CENTRAL,BARINGO CENTRAL,Male,Female,"81,414","40,778","40,636","3,687","1,843","1,844","37,990","18,943","19,047","20,971","10,609","10,362","8,201","3,772","4,429","3,408","1,914","1,494",14,6,8,-,-,-,"6,757","3,500","3,257",144,150,231,47,45,246
222,BARINGO NORTH,"47,924","24,837","23,087",BARINGO NORTH,BARINGO NORTH,BARINGO NORTH,Total,Male,Female,BARINGO NORTH,Male,Female,"47,924","24,837","23,087","8,379","4,424","3,955","28,250","14,622","13,628","9,441","4,771","4,670",928,477,451,773,467,306,45,17,28,-,-,-,108,59,49,-,-,-,BARINGO NORTH,BARINGO NORTH,BARINGO NORTH,BARINGO NORTH,Male,Female,"82,312","42,037","40,273","4,405","2,269","2,136","44,545","22,294","22,250","17,096","8,817","8,279","5,473","2,798","2,675","1,704","1,063",641,38,16,22,1,-,-,"8,573","4,527","4,046",117,114,42,136,110,136
223,EAST POKOT,"12,743","6,913","5,829",EAST POKOT,EAST POKOT,EAST POKOT,Total,Male,Female,EAST POKOT,Male,Female,"12,743","6,913","5,829","2,968","1,569","1,398","7,226","3,848","3,378","1,990","1,166",824,264,144,120,172,115,57,53,34,19,-,-,-,70,37,33,-,-,-,EAST POKOT,EAST POKOT,EAST POKOT,EAST POKOT,Male,Female,"15,563","8,572","6,990","1,342",718,624,"7,388","3,918","3,470","2,606","1,596","1,010",670,404,266,296,205,91,53,34,19,-,-,-,"3,030","1,602","1,427",24,18,224,71,65,122
224,KOIBATEK,"55,856","28,370","27,484",KOIBATEK,KOIBATEK,KOIBATEK,Total,Male,Female,KOIBATEK,Male,Female,"55,856","28,370","27,484","9,600","4,964","4,636","31,178","15,988","15,189","12,043","5,961","6,081","1,579",685,894,"1,332",710,622,27,16,11,1,-,1,96,46,50,-,-,-,KOIBATEK,KOIBATEK,KOIBATEK,KOIBATEK,Male,Female,"111,168","56,265","54,901","5,213","2,645","2,568","55,879","28,189","27,689","28,505","14,627","13,877","8,074","3,676","4,398","3,367","1,883","1,484",26,16,10,1,1,-,"9,757","5,037","4,720",128,96,90,63,59,115
225,MARIGAT,"41,259","21,466","19,792",MARIGAT,MARIGAT,MARIGAT,Total,Male,Female,MARIGAT,Male,Female,"41,259","21,466","19,792","8,706","4,531","4,175","24,451","12,570","11,880","6,770","3,634","3,136",649,320,329,595,365,230,43,20,23,-,-,-,45,26,19,-,-,-,MARIGAT,MARIGAT,MARIGAT,MARIGAT,Male,Female,"66,652","34,272","32,377","4,253","2,108","2,145","35,848","17,852","17,995","13,034","7,136","5,897","3,177","1,620","1,556","1,200",798,402,44,20,24,-,-,-,"8,891","4,627","4,264",45,45,232,66,49,92
