,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
136,KIPIPIRI,"38,278","19,577","18,701",KIPIPIRI,KIPIPIRI,KIPIPIRI,Total,Male,Female,KIPIPIRI,Male,Female,"38,278","19,577","18,701","5,374","2,772","2,602","21,795","11,277","10,518","9,781","4,803","4,978",685,359,326,593,347,246,30,8,22,-,-,-,20,11,9,-,-,-,KIPIPIRI,KIPIPIRI,KIPIPIRI,KIPIPIRI,Male,Female,"81,270","40,745","40,523","3,634","1,867","1,766","49,097","24,515","24,581","18,756","9,220","9,536","2,986","1,558","1,428","1,005",628,377,19,6,13,-,-,-,"5,511","2,829","2,682",106,124,159,16,16,39
137,NYANDARUA CENTRAL,"28,484","14,750","13,733",NYANDARUA CENTRAL,NYANDARUA CENTRAL,NYANDARUA CENTRAL,Total,Male,Female,NYANDARUA CENTRAL,Male,Female,"28,484","14,750","13,733","4,736","2,523","2,213","15,485","8,007","7,477","6,809","3,470","3,339",749,353,396,655,370,285,7,3,4,-,-,-,43,24,19,-,-,-,NYANDARUA CENTRAL,NYANDARUA CENTRAL,NYANDARUA CENTRAL,NYANDARUA CENTRAL,Male,Female,"64,926","32,684","32,241","2,975","1,501","1,474","33,231","16,687","16,543","18,155","8,909","9,246","3,974","1,948","2,026","1,543",950,593,6,3,3,-,-,-,"4,844","2,580","2,264",85,74,169,21,18,34
138,NYANDARUA WEST,"37,017","19,269","17,746",NYANDARUA WEST,NYANDARUA WEST,NYANDARUA WEST,Total,Male,Female,NYANDARUA WEST,Male,Female,"37,017","19,269","17,746","6,814","3,514","3,300","19,488","10,228","9,259","8,603","4,385","4,217","1,087",566,521,963,547,416,13,3,10,-,-,-,49,26,23,-,-,-,NYANDARUA WEST,NYANDARUA WEST,NYANDARUA WEST,NYANDARUA WEST,Male,Female,"85,804","43,142","42,658","2,896","1,478","1,418","44,130","22,141","21,985","24,806","12,194","12,612","5,026","2,538","2,488","1,851","1,150",701,9,4,5,-,-,-,"6,883","3,545","3,338",76,93,266,16,18,58
139,NYANDARUA NORTH,"38,458","19,737","18,721",NYANDARUA NORTH,NYANDARUA NORTH,NYANDARUA NORTH,Total,Male,Female,NYANDARUA NORTH,Male,Female,"38,458","19,737","18,721","6,366","3,258","3,108","20,552","10,563","9,989","9,685","4,919","4,766",968,495,473,833,473,360,17,7,10,1,-,1,36,22,14,-,-,-,NYANDARUA NORTH,NYANDARUA NORTH,NYANDARUA NORTH,NYANDARUA NORTH,Male,Female,"86,026","42,801","43,223","3,252","1,651","1,601","46,253","22,808","23,445","23,600","11,637","11,962","4,567","2,284","2,283","1,569",958,611,11,6,5,-,-,-,"6,450","3,296","3,154",124,142,-,37,20,-
140,ABERDARE NATIONAL PARK,-,-,-,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,Total,Male,Female,ABERDARE NATIONAL PARK,Male,Female,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,Male,Female,14,10,4,-,-,-,4,2,2,7,5,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,170",-,-,623
141,NYERI,"253,898","130,417","123,475",NYERI,NYERI,NYERI,Total,Male,Female,NYERI,Male,Female,"253,898","130,417","123,475","40,226","20,618","19,607","127,981","65,726","62,251","63,361","32,228","31,132","10,755","5,288","5,467","10,929","6,214","4,715",116,42,74,4,2,2,526,299,227,-,-,-,NYERI,NYERI,NYERI,NYERI,Male,Female,"669,179","333,191","335,963","21,243","10,675","10,568","310,058","153,928","156,110","213,006","105,311","107,691","58,744","27,907","30,837","22,341","13,063","9,278",66,32,34,-,-,-,"40,928","20,900","20,027","1,050","1,120",222,325,298,47
142,TETU,"26,827","13,866","12,961",TETU,TETU,TETU,Total,Male,Female,TETU,Male,Female,"26,827","13,866","12,961","4,258","2,178","2,080","13,585","7,070","6,515","7,004","3,602","3,402","1,114",542,572,804,441,363,18,6,12,1,-,1,43,27,16,-,-,-,TETU,TETU,TETU,TETU,Male,Female,"71,556","35,587","35,967","3,104","1,531","1,573","33,512","16,608","16,903","23,066","11,456","11,609","5,595","2,721","2,874","1,634",918,716,10,6,4,-,-,-,"4,366","2,224","2,142",105,117,237,18,29,56
143,KIENI EAST,"37,003","18,863","18,139",KIENI EAST,KIENI EAST,KIENI EAST,Total,Male,Female,KIENI EAST,Male,Female,"37,003","18,863","18,139","6,127","3,105","3,021","19,531","9,978","9,553","9,126","4,611","4,515","1,217",600,617,933,528,405,11,7,4,-,-,-,58,34,24,-,-,-,KIENI EAST,KIENI EAST,KIENI EAST,KIENI EAST,Male,Female,"97,363","49,107","48,252","3,155","1,602","1,553","47,288","24,014","23,272","30,514","15,203","15,310","7,564","3,591","3,973","2,319","1,368",951,11,8,3,-,-,-,"6,219","3,150","3,068",131,106,211,40,16,73
144,KIENI WEST,"31,845","16,390","15,455",KIENI WEST,KIENI WEST,KIENI WEST,Total,Male,Female,KIENI WEST,Male,Female,"31,845","16,390","15,455","5,018","2,628","2,390","16,942","8,705","8,237","8,205","4,183","4,022",932,462,470,672,366,306,16,6,10,-,-,-,60,40,20,-,-,-,KIENI WEST,KIENI WEST,KIENI WEST,KIENI WEST,Male,Female,"77,958","39,101","38,852","2,663","1,357","1,306","41,193","20,472","20,716","22,859","11,377","11,482","4,460","2,260","2,200","1,384",818,566,7,2,5,-,-,-,"5,108","2,667","2,441",105,106,313,43,30,54
145,MATHIRA EAST,"33,214","16,909","16,305",MATHIRA EAST,MATHIRA EAST,MATHIRA EAST,Total,Male,Female,MATHIRA EAST,Male,Female,"33,214","16,909","16,305","5,246","2,637","2,609","15,376","7,812","7,564","7,959","3,930","4,029","1,282",623,659,"3,272","1,868","1,404",22,7,15,-,-,-,57,32,25,-,-,-,MATHIRA EAST,MATHIRA EAST,MATHIRA EAST,MATHIRA EAST,Male,Female,"88,451","43,328","45,120","2,097",996,"1,101","37,983","18,616","19,365","29,267","14,040","15,226","9,023","4,236","4,787","4,399","2,612","1,787",9,3,6,-,-,-,"5,306","2,652","2,654",146,167,236,27,27,36
