County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
KATULANI,"12,170","12,166 4",,,"11,116","91.4 1,050 8.6 -",,,,,-
KISASI,"10,866","10,860 6",,,"9,812","90.3 1,045 9.6 3",,,,,0
KITUI CENTRAL,"29,057","29,026 31",,,"17,874","61.6 11,150 38.4 2",,,,,0
KITUI WEST,"17,497","17,465 32",,,"15,739","90.1 1,726 9.9 -",,,,,-
KYUSO,"15,993","15,969 24",,,"14,523","90.9 1,443 9.0 3",,,,,0
LOWER YATTA,"15,454","15,021 433",,,"12,978","86.4 2,040 13.6 3",,,,,0
MATINYANI,"11,513","11,497 16",,,"10,973",95.4 524 4.6 -,,,,,-
MIGWANI,"19,096","18,843 253",,,"17,666","93.8 1,169 6.2 8",,,,,0
MUMONI,"6,496","6,451 45",,,"6,039",93.6 411 6.4 1,,,,,0
MUTITU,"11,521","11,490 31",,,"10,579",92.1 894 7.8 17,,,,,0.1
MUTITU NORTH,"4,929","4,929 -",,,"4,437",90.0 491 10.0 1,,,,,0
MUTOMO,"23,044","23,034 10",,,"20,684","89.8 2,346 10.2 4",,,,,0
MWINGI CENTRAL,"26,753","26,745 8",,,"19,301","72.2 7,437 27.8 7",,,,,0
MWINGI EAST,"18,730","18,725 5",,,"17,188","91.8 1,531 8.2 6",,,,,0
NZAMBANI,"11,276","11,276 -",,,"9,778","86.7 1,498 13.3 -",,,,,-
THAGICU,"3,289","3,289 -",,,"3,187",96.9 102 3.1 -,,,,,-
TSEIKURU,"8,579","8,449 130",,,"7,637",90.4 812 9.6 -,,,,,-
MACHAKOS,"402,466","399,523 2,943",,,"257,882","64.5 141,539 35.4 102",,,,,0
ATHI RIVER,"109,735","109,723 12",,,"24,013","21.9 85,645 78.1 65",,,,,0.1
KALAMA,"14,182","14,137 45",,,"12,974","91.8 1,162 8.2 1",,,,,0
KANGUNDO,"26,142","26,115 27",,,"23,963","91.8 2,149 8.2 3",,,,,0
