County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,number_ptr,county_ptr,Enrolment,public_teachers,public_PTR,public_enrolment,private_teachers,private_PTR,overall_pri_ptr_no,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE
Lamu,"2,595.30","3,105.65",770.2,579.12,108.43,120,"3,473.93","3,804.77",21,Lamu,137,"32,359",236,Lamu,"143,920","6,253.30",23,21,Lamu,"28,387",942,30,"3,972",343,12,21,Lamu,"32,359","1,285",25,21,Lamu,0.99,0.97,0.99,0.98,5,Lamu,58,50,0,108,21,Lamu,93,91,97.85,21,Lamu,"3,171",182,91,91,,21,Lamu,613,15.3,598.5,18.2,611,24.4
Machakos,"7,754.25","9,162.30","1,248.05",717.13,"1,296.36","1,682.89","10,298.67","11,562.33",22,Machakos,"1,202","284,390",237,Machakos,"1,421,932","6,042.70",235,22,Machakos,"238,562","8,179",29,"45,828","2,381",19,22,Machakos,"284,390","10,560",27,22,Machakos,1.03,1.02,1.03,1.03,16,Machakos,818,28,8,854,22,Machakos,837,835,99.76,22,Machakos,"30,678","1,670",835,835,1,22,Machakos,532.8,23.2,532.8,24,521.5,13.6
Makueni,"7,406.10","8,132.78",825.71,753.51,527.53,475,"8,759.33","9,361.30",23,Makueni,"1,041","255,093",245,Makueni,"987,653","8,169.80",121,23,Makueni,"238,555","8,176",29,"16,538","1,165",14,23,Makueni,"255,093","9,341",27,23,Makueni,0.98,0.98,0.99,0.98,17,Makueni,775,115,15,905,23,Makueni,887,887,100,23,Makueni,"32,313","1,774",887,887,97,23,Makueni,523.6,18.8,512.4,25.1,510.9,15.4
Mandera,"10,222.95","11,190.38","1,158.45",760.72,143.31,200.04,"11,524.71","12,151.14",24,Mandera,333,"102,503",308,Mandera,"867,457","25,939.80",33,24,Mandera,"91,053","1,239",73,"11,450",464,25,24,Mandera,"102,503","1,703",60,24,Mandera,0.81,0.87,1.39,0.94,9,Mandera,14,206,62,282,24,Mandera,198,198,100,24,Mandera,"14,090",396,198,198,,24,Mandera,473,22.6,454,8.8,455.7,24.1
Marsabit,"6,773.10","7,277.00",970.97,906.61,110.37,170,"7,854.44","8,353.62",25,Marsabit,247,"64,787",262,Marsabit,"459,785","70,944.10",6,25,Marsabit,"50,937","1,245",41,"13,850",566,24,25,Marsabit,"64,787","1,811",36,25,Marsabit,0.8,0.82,0.81,0.81,10,Marsabit,48,125,9,182,25,Marsabit,182,154,84.62,25,Marsabit,"7,846",308,154,154,25,25,Marsabit,512.7,34.2,479.7,9.4,481.9,7.8
Meru,"8,039.10","9,493.86","1,157.90",931.64,435.93,575,"9,632.93","11,000.50",26,Meru,"1,173","317,333",271,Meru,"1,545,714","7,006.30",221,26,Meru,"251,141","8,610",29,"66,192","3,500",19,26,Meru,"317,333","12,110",26,26,Meru,1.02,1.01,1.04,1.02,12,Meru,709,7,11,727,26,Meru,714,712,99.72,26,Meru,"37,702","1,424",712,712,52,26,Meru,478.9,20.1,466.7,20.6,467.7,19.7
Migori,"6,773.10","8,005.02",727.2,544.39,288.54,280,"7,788.84","8,829.41",27,Migori,931,"314,160",337,Migori,"1,116,436","2,613.50",427,27,Migori,"273,679","6,362",43,"3,775","1,872",2,27,Migori,"277,454","8,234",34,27,Migori,0.93,0.93,0.95,0.94,44,Migori,617,2,6,625,27,Migori,601,601,100,27,Migori,"32,733","1,202",601,601,,27,Migori,447.3,25.4,465.8,26.1,449.2,27
Mombasa,"7,057.95","7,567.35","2,076.40","1,467.20","3,314.53","4,966.33","12,448.88","14,000.88",28,Mombasa,459,"155,337",338,Mombasa,"1,208,333","5,495","5,495",28,Mombasa,"75,070","1,538",49,"80,267","2,956",27,28,Mombasa,"155,337","4,494",35,28,Mombasa,1.02,1.04,1.04,1.03,1,Mombasa,93,0,2,95,28,Mombasa,96,94,97.92,28,Mombasa,"5,949",188,94,94,15,28,Mombasa,595.9,37.9,616.5,44,585.7,7.6
Murang’a,"6,298.35","7,180.16",865.83,608.23,627.16,"1,500.00","7,791.35","9,288.38",29,Murang'a,681,"206,420",303,Murang,"1,056,640","2,524.20",419,29,Murang'a,"176,514","5,679",31,"29,906","1,533",20,29,Murang'a,"206,420","7,212",29,29,Murang'a,1.06,1.07,1.06,1.06,21,Murang a,513,1,0,514,29,Murang a,514,512,99.61,29,Murang a,"20,664",964,482,482,15,29,Murang'a,528.6,26.4,515.1,22,503.6,26.5
Nairobi City,"15,919.95","19,249.68",869.61,"1,020.09","9,958.04","19,360.74","26,747.60","39,630.51",30,Nairobi,"1,105","414,045",375,Nairobi City,"4,397,073","6,247","6,247",30,Nairobi,"230,008","4,097",56,"184,037",,,30,Nairobi,"414,045",,,30,Nairobi,0.96,1.01,0.95,0.97,47,Nairobi,300,5,2,307,30,Nairobi,203,201,99.01,30,Nairobi,"16,495",402,201,201,99,30,Nairobi,632,22.4,661.3,23.5,588.3,19.1
Nakuru,"10,476.15","13,026.12","1,228.94",972.58,"1,628.82","1,712.13","13,333.91","15,710.83",31,Nakuru,"1,136","478,057",421,Nakuru,"2,162,202","7,462.40",290,31,Nakuru,"376,740","9,230",41,"101,317","4,172",24,31,Nakuru,"478,057","13,402",36,31,Nakuru,0.97,0.98,0.98,0.98,32,Nakuru,680,25,22,727,31,Nakuru,691,689,99.71,31,Nakuru,"43,136","1,378",689,689,23,31,Nakuru,515.5,17.8,532.1,24.2,528.9,16.2
Nandi,"5,348.85","6,990.87",772.17,678.1,261.04,387.11,"6,382.06","8,056.07",32,Nandi,900,"231,836",258,Nandi,"885,711","2,855.80",310,32,Nandi,"205,865","6,161",33,"25,971","1,582",16,32,Nandi,"231,836","7,743",30,32,Nandi,0.82,0.82,0.82,0.82,29,Nandi,718,0,13,731,32,Nandi,709,709,100,32,Nandi,"28,704","1,418",709,709,,32,Nandi,491.8,27.5,486.6,17.5,503.2,19.3
