Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
HAMISI,Male,"71,816","35,931 50.0","14,696 20.5","15,085 21.0","5,718 8.0",381,0.5,5
HAMISI,Female,"77,228","35,347 45.8","15,938 20.6","17,727 23.0","7,839 10.2",373,0.5,4
KAKAMEGA FOREST,KAKAMEGA FOREST,16,1 6.3,14 87.5,1 6.3,- -,-,-,-
KAKAMEGA FOREST,Male,12,- -,12 100.0,- -,- -,-,-,-
KAKAMEGA FOREST,Female,4,1 25.0,2 50.0,1 25.0,- -,-,-,-
BUNGOMA,BUNGOMA,"1,538,767","782,677 50.9","264,282 17.2","324,058 21.1","151,938 9.9","15,673",1,139
BUNGOMA,Male,"745,883","396,144 53.1","133,462 17.9","140,682 18.9","67,323 9.0","8,198",1.1,74
BUNGOMA,Female,"792,851","386,512 48.7","130,817 16.5","183,372 23.1","84,612 10.7","7,473",0.9,65
BUMULA,BUMULA,"199,499","102,696 51.5","23,670 11.9","45,969 23.0","24,883 12.5","2,279",1.1,2
BUMULA,Male,"95,312","51,685 54.2","11,881 12.5","19,870 20.8","10,710 11.2","1,164",1.2,2
BUMULA,Female,"104,186","51,010 49.0","11,789 11.3","26,099 25.1","14,173 13.6","1,115",1.1,-
BUNGOMA CENTRAL,BUNGOMA CENTRAL,"163,799","83,204 50.8","29,747 18.2","35,007 21.4","14,301 8.7","1,536",0.9,4
BUNGOMA CENTRAL,Male,"79,315","41,882 52.8","15,216 19.2","14,990 18.9","6,429 8.1",795,1,3
BUNGOMA CENTRAL,Female,"84,477","41,319 48.9","14,529 17.2","20,017 23.7","7,871 9.3",740,0.9,1
BUNGOMA EAST,BUNGOMA EAST,"106,122","54,673 51.5","20,946 19.7","22,353 21.1","7,292 6.9",836,0.8,22
BUNGOMA EAST,Male,"51,497","27,756 53.9","10,382 20.2","9,670 18.8","3,211 6.2",467,0.9,11
BUNGOMA EAST,Female,"54,623","26,916 49.3","10,564 19.3","12,682 23.2","4,081 7.5",369,0.7,11
BUNGOMA NORTH,BUNGOMA NORTH,"111,891","58,637 52.4","21,859 19.5","22,370 20.0","8,342 7.5",670,0.6,13
BUNGOMA NORTH,Male,"54,098","29,768 55.0","10,753 19.9","9,422 17.4","3,780 7.0",368,0.7,7
BUNGOMA NORTH,Female,"57,792","28,868 50.0","11,106 19.2","12,948 22.4","4,562 7.9",302,0.5,6
BUNGOMA SOUTH,BUNGOMA SOUTH,"263,411","127,072 48.2","58,794 22.3","46,617 17.7","27,947 10.6","2,967",1.1,14
BUNGOMA SOUTH,Male,"126,979","63,234 49.8","29,269 23.1","20,605 16.2","12,377 9.7","1,489",1.2,5
BUNGOMA SOUTH,Female,"136,427","63,836 46.8","29,524 21.6","26,011 19.1","15,569 11.4","1,478",1.1,9
CHEPTAIS,CHEPTAIS,"124,273","64,726 52.1","13,085 10.5","29,321 23.6","15,042 12.1","2,080",1.7,19
CHEPTAIS,Male,"61,904","33,517 54.1","7,274 11.8","13,138 21.2","6,852 11.1","1,109",1.8,14
CHEPTAIS,Female,"62,363","31,205 50.0","5,811 9.3","16,182 25.9","8,190 13.1",970,1.6,5
KIMILILI,KIMILILI,"149,814","74,973 50.0","26,056 17.4","30,550 20.4","16,170 10.8","2,060",1.4,5
KIMILILI,Male,"72,387","37,873 52.3","12,952 17.9","13,137 18.1","7,363 10.2","1,060",1.5,2
KIMILILI,Female,"77,424","37,097 47.9","13,104 16.9","17,413 22.5","8,807 11.4","1,000",1.3,3
MT. ELGON,MT. ELGON,"72,721","38,081 52.4","10,298 14.2","16,086 22.1","7,969 11.0",282,0.4,5
MT. ELGON,Male,"35,916","19,547 54.4","5,541 15.4","7,256 20.2","3,403 9.5",166,0.5,3
MT. ELGON,Female,"36,802","18,532 50.4","4,757 12.9","8,829 24.0","4,566 12.4",116,0.3,2
BUNGOMA WEST,BUNGOMA WEST,"110,636","56,958 51.5","15,814 14.3","25,555 23.1","11,050 10.0","1,228",1.1,31
BUNGOMA WEST,Male,"53,608","28,777 53.7","8,210 15.3","11,202 20.9","4,766 8.9",639,1.2,14
BUNGOMA WEST,Female,"57,027","28,180 49.4","7,604 13.3","14,353 25.2","6,284 11.0",589,1,17
TONGAREN,TONGAREN,"92,891","47,790 51.4","17,707 19.1","18,403 19.8","8,577 9.2",398,0.4,16
TONGAREN,Male,"44,960","24,466 54.4","8,646 19.2","7,817 17.4","3,800 8.5",223,0.5,8
TONGAREN,Female,"47,930","23,323 48.7","9,061 18.9","10,586 22.1","4,777 10.0",175,0.4,8
WEBUYE WEST,WEBUYE WEST,"140,446","72,319 51.5","26,144 18.6","30,935 22.0","9,717 6.9","1,323",0.9,8
WEBUYE WEST,Male,"68,209","36,806 54.0","13,251 19.4","13,100 19.2","4,337 6.4",710,1,5
WEBUYE WEST,Female,"72,234","35,511 49.2","12,893 17.8","17,835 24.7","5,379 7.4",613,0.8,3
MT. ELGON FOREST,MT. ELGON FOREST,"3,264","1,548 47.4",162 5.0,892 27.3,648 19.9,14,0.4,-
MT. ELGON FOREST,Male,"1,698",833 49.1,87 5.1,475 28.0,295 17.4,8,0.5,-
MT. ELGON FOREST,Female,"1,566",715 45.7,75 4.8,417 26.6,353 22.5,6,0.4,-
BUSIA,BUSIA,"820,788","405,072 49.4","136,790 16.7","170,347 20.8","102,993 12.5","5,512",0.7,74
BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35
BUSIA,Female,"432,013","202,061 46.8","66,760 15.5","96,713 22.4","63,919 14.8","2,521",0.6,39
BUNYALA,BUNYALA,"79,588","38,459 48.3","12,582 15.8","18,852 23.7","8,892 11.2",797,1,6
BUNYALA,Male,"38,196","19,533 51.1","6,901 18.1","8,366 21.9","2,952 7.7",441,1.2,3
BUNYALA,Female,"41,391","18,926 45.7","5,681 13.7","10,485 25.3","5,940 14.4",356,0.9,3
BUSIA,BUSIA,"128,002","60,486 47.3","25,528 19.9","25,909 20.2","15,031 11.7","1,010",0.8,38
BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20
BUSIA,Female,"67,093","30,475 45.4","12,413 18.5","14,525 21.6","9,202 13.7",460,0.7,18
BUTULA,BUTULA,"129,739","65,364 50.4","19,817 15.3","23,655 18.2","20,108 15.5",792,0.6,3
BUTULA,Male,"59,856","32,668 54.6","9,489 15.9","9,782 16.3","7,512 12.6",403,0.7,2
BUTULA,Female,"69,880","32,695 46.8","10,328 14.8","13,872 19.9","12,595 18.0",389,0.6,1
NAMBALE,NAMBALE,"103,180","52,698 51.1","16,456 15.9","20,627 20.0","12,421 12.0",969,0.9,9
NAMBALE,Male,"48,653","26,187 53.8","8,113 16.7","8,869 18.2","4,964 10.2",517,1.1,3
NAMBALE,Female,"54,523","26,509 48.6","8,343 15.3","11,757 21.6","7,456 13.7",452,0.8,6
SAMIA,SAMIA,"99,108","48,054 48.5","15,902 16.0","21,443 21.6","13,405 13.5",304,0.3,-
SAMIA,Male,"46,819","24,303 51.9","8,394 17.9","9,116 19.5","4,817 10.3",189,0.4,-
SAMIA,Female,"52,275","23,739 45.4","7,508 14.4","12,327 23.6","8,586 16.4",115,0.2,-
TESO NORTH,TESO NORTH,"126,387","63,423 50.2","21,859 17.3","28,497 22.5","12,061 9.5",543,0.4,4
TESO NORTH,Male,"60,543","31,916 52.7","11,242 18.6","12,290 20.3","4,785 7.9",308,0.5,2
TESO NORTH,Female,"65,842","31,506 47.9","10,617 16.1","16,207 24.6","7,275 11.0",235,0.4,2
TESO SOUTH,TESO SOUTH,"154,784","76,588 49.5","24,646 15.9","31,364 20.3","21,075 13.6","1,097",0.7,14
TESO SOUTH,Male,"73,773","38,376 52.0","12,776 17.3","13,823 18.7","8,210 11.1",583,0.8,5
TESO SOUTH,Female,"81,009","38,211 47.2","11,870 14.7","17,540 21.7","12,865 15.9",514,0.6,9
SIAYA,SIAYA,"919,461","441,450 48.0","198,100 21.5","184,768 20.1","86,173 9.4","8,648",0.9,322
SIAYA,Male,"434,630","223,195 51.4","97,782 22.5","78,383 18.0","30,230 7.0","4,877",1.1,163
SIAYA,Female,"484,814","218,250 45.0","100,315 20.7","106,377 21.9","55,942 11.5","3,771",0.8,159
SIAYA SUBCOUNTY,SIAYA,"207,196","97,831 47.2","43,168 20.8","41,994 20.3","22,128 10.7","1,965",0.9,110
SIAYA SUBCOUNTY,Male,"97,050","49,139 50.6","21,121 21.8","18,085 18.6","7,523 7.8","1,125",1.2,57
SIAYA SUBCOUNTY,Female,"110,142","48,691 44.2","22,046 20.0","23,907 21.7","14,605 13.3",840,0.8,53
GEM,GEM,"166,766","79,914 47.9","34,624 20.8","35,779 21.5","14,980 9.0","1,398",0.8,71
GEM,Male,"79,237","40,606 51.2","17,056 21.5","15,532 19.6","5,267 6.6",739,0.9,37
GEM,Female,"87,525","39,306 44.9","17,567 20.1","20,247 23.1","9,712 11.1",659,0.8,34
UGENYA,UGENYA,"125,274","60,785 48.5","23,705 18.9","24,012 19.2","15,875 12.7",886,0.7,11
UGENYA,Male,"58,138","31,007 53.3","11,369 19.6","9,911 17.0","5,314 9.1",530,0.9,7
UGENYA,Female,"67,132","29,777 44.4","12,335 18.4","14,099 21.0","10,561 15.7",356,0.5,4
UGUNJA,UGUNJA,"96,903","46,310 47.8","21,591 22.3","18,182 18.8","10,037 10.4",776,0.8,7
UGUNJA,Male,"45,246","23,305 51.5","10,587 23.4","7,495 16.6","3,440 7.6",415,0.9,4
UGUNJA,Female,"51,657","23,005 44.5","11,004 21.3","10,687 20.7","6,597 12.8",361,0.7,3
BONDO,BONDO,"181,834","86,934 47.8","44,207 24.3","36,522 20.1","12,223 6.7","1,887",1,61
BONDO,Male,"87,903","43,785 49.8","22,216 25.3","15,868 18.1","4,844 5.5","1,160",1.3,30
BONDO,Female,"93,928","43,148 45.9","21,991 23.4","20,652 22.0","7,379 7.9",727,0.8,31
,RARIEDA,"141,488","69,676 49.2","30,805 21.8","28,279 20.0","10,930 7.7","1,736",1.2,62
RARIEDA,Male,"67,056","35,353 52.7","15,433 23.0","11,492 17.1","3,842 5.7",908,1.4,28
RARIEDA,Female,"74,430","34,323 46.1","15,372 20.7","16,785 22.6","7,088 9.5",828,1.1,34
RARIEDA,KISUMU,"1,061,224","504,812 47.6","284,283 26.8","188,709 17.8","75,998 7.2","7,121",0.7,301
RARIEDA,Male,"511,739","253,600 49.6","144,815 28.3","80,326 15.7","29,019 5.7","3,831",0.7,148
RARIEDA,Female,"549,465","251,209 45.7","139,457 25.4","108,379 19.7","46,977 8.5","3,290",0.6,153
KISUMU EAST,KISUMU EAST,"202,479","89,998 44.4","64,182 31.7","35,745 17.7","11,405 5.6","1,080",0.5,69
KISUMU EAST,Male,"99,157","44,568 44.9","33,362 33.6","15,767 15.9","4,820 4.9",611,0.6,29
KISUMU EAST,Female,"103,318","45,429 44.0","30,818 29.8","19,977 19.3","6,585 6.4",469,0.5,40
KISUMU CENTRAL,KISUMU CENTRAL,"158,191","68,344 43.2","61,681 39.0","21,121 13.4","5,880 3.7","1,105",0.7,60
KISUMU CENTRAL,Male,"75,722","32,743 43.2","30,767 40.6","8,988 11.9","2,584 3.4",611,0.8,29
KISUMU CENTRAL,Female,"82,465","35,601 43.2","30,911 37.5","12,132 14.7","3,296 4.0",494,0.6,31
KISUMU WEST,KISUMU WEST,"157,473","75,229 47.8","42,160 26.8","28,200 17.9","10,912 6.9",932,0.6,40
KISUMU WEST,Male,"76,922","38,152 49.6","21,797 28.3","12,172 15.8","4,255 5.5",525,0.7,21
KISUMU WEST,Female,"80,548","37,077 46.0","20,361 25.3","16,027 19.9","6,657 8.3",407,0.5,19
SEME,SEME,"112,594","56,390 50.1","23,769 21.1","20,862 18.5","11,084 9.8",477,0.4,12
SEME,Male,"53,097","28,762 54.2","11,729 22.1","8,430 15.9","3,904 7.4",266,0.5,6
