Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
CHONYI,Female,"30,328","13,938 46.0","3,798 12.5","3,897 12.8","8,551 28.2",144,0.5,-
GANZE,GANZE,"131,101","67,193 51.3","14,842 11.3","13,191 10.1","35,066 26.7",761,0.6,48
GANZE,Male,"60,552","34,222 56.5","7,843 13.0","6,804 11.2","11,272 18.6",391,0.6,20
GANZE,Female,"70,546","32,969 46.7","6,999 9.9","6,387 9.1","23,793 33.7",370,0.5,28
KALOLENI,KALOLENI,"176,734","80,964 45.8","32,710 18.5","20,914 11.8","40,720 23.0","1,369",0.8,57
KALOLENI,Male,"83,996","41,402 49.3","17,946 21.4","10,588 12.6","13,331 15.9",705,0.8,24
KALOLENI,Female,"92,733","39,559 42.7","14,764 15.9","10,326 11.1","27,388 29.5",664,0.7,32
KAUMA,KAUMA,"20,821","10,969 52.7","3,354 16.1","1,753 8.4","4,517 21.7",228,1.1,-
KAUMA,Male,"10,054","5,659 56.3","2,004 19.9",865 8.6,"1,421 14.1",105,1,-
KAUMA,Female,"10,767","5,310 49.3","1,350 12.5",888 8.2,"3,096 28.8",123,1.1,-
KILIFI NORTH,KILIFI NORTH,"162,990","72,834 44.7","40,268 24.7","24,984 15.3","23,855 14.6","1,040",0.6,9
KILIFI NORTH,Male,"78,763","36,930 46.9","21,544 27.4","12,190 15.5","7,498 9.5",597,0.8,4
KILIFI NORTH,Female,"84,225","35,902 42.6","18,724 22.2","12,794 15.2","16,357 19.4",443,0.5,5
KILIFI SOUTH,KILIFI SOUTH,"187,663","76,984 41.0","53,927 28.7","28,002 14.9","26,646 14.2","2,092",1.1,12
KILIFI SOUTH,Male,"91,863","39,007 42.5","29,022 31.6","13,465 14.7","9,225 10.0","1,137",1.2,7
KILIFI SOUTH,Female,"95,799","37,977 39.6","24,904 26.0","14,537 15.2","17,421 18.2",955,1,5
MAGARINI,MAGARINI,"174,553","86,722 49.7","24,896 14.3","22,469 12.9","39,884 22.8",562,0.3,20
MAGARINI,Male,"84,429","44,425 52.6","14,412 17.1","11,450 13.6","13,822 16.4",307,0.4,13
MAGARINI,Female,"90,124","42,297 46.9","10,484 11.6","11,019 12.2","26,062 28.9",255,0.3,7
MALINDI,MALINDI,"301,205","132,098 43.9","76,156 25.3","43,748 14.5","46,878 15.6","2,241",0.7,84
MALINDI,Male,"146,545","67,256 45.9","41,483 28.3","21,034 14.4","15,451 10.5","1,282",0.9,39
MALINDI,Female,"154,653","64,841 41.9","34,672 22.4","22,712 14.7","31,424 20.3",959,0.6,45
RABAI,RABAI,"111,351","49,137 44.1","27,773 24.9","12,728 11.4","20,654 18.5","1,052",0.9,7
RABAI,Male,"53,772","25,089 46.7","15,195 28.3","6,166 11.5","6,774 12.6",545,1,3
RABAI,Female,"57,579","24,048 41.8","12,578 21.8","6,562 11.4","13,880 24.1",507,0.9,4
TANA RIVER,TANA RIVER,"284,605","95,997 33.7","32,815 11.5","29,062 10.2","125,160 44.0","1,445",0.5,126
TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57
TANA RIVER,Female,"142,516","45,527 31.9","13,464 9.4","14,560 10.2","68,287 47.9",609,0.4,69
TANA DELTA,TANA DELTA,"99,792","38,308 38.4","11,589 11.6","10,687 10.7","38,778 38.9",384,0.4,46
TANA DELTA,Male,"50,066","19,808 39.6","6,810 13.6","5,371 10.7","17,832 35.6",229,0.5,16
TANA DELTA,Female,"49,726","18,500 37.2","4,779 9.6","5,316 10.7","20,946 42.1",155,0.3,30
TANA NORTH,TANA NORTH,"105,495","28,681 27.2","10,250 9.7","7,843 7.4","57,968 54.9",724,0.7,29
TANA NORTH,Male,"53,199","15,776 29.7","6,284 11.8","4,254 8.0","26,472 49.8",396,0.7,17
TANA NORTH,Female,"52,294","12,905 24.7","3,966 7.6","3,589 6.9","31,495 60.2",327,0.6,12
TANA RIVER,TANA RIVER,"79,318","29,008 36.6","10,976 13.8","10,532 13.3","28,414 35.8",337,0.4,51
TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24
TANA RIVER,Female,"40,496","14,122 34.9","4,719 11.7","5,655 14.0","15,846 39.1",127,0.3,27
LAMU,LAMU,"130,991","50,249 38.4","30,833 23.5","22,762 17.4","26,325 20.1",786,0.6,36
LAMU,Male,"69,111","25,969 37.6","18,933 27.4","11,830 17.1","11,888 17.2",472,0.7,19
LAMU,Female,"61,877","24,278 39.2","11,899 19.2","10,932 17.7","14,437 23.3",314,0.5,17
LAMU EAST,LAMU EAST,"20,637","7,592 36.8","4,029 19.5","4,189 20.3","4,745 23.0",82,0.4,-
LAMU EAST,Male,"10,805","3,866 35.8","2,599 24.1","2,164 20.0","2,112 19.5",64,0.6,-
LAMU EAST,Female,"9,832","3,726 37.9","1,430 14.5","2,025 20.6","2,633 26.8",18,0.2,-
LAMU WEST,LAMU WEST,"110,354","42,657 38.7","26,804 24.3","18,573 16.8","21,580 19.6",704,0.6,36
LAMU WEST,Male,"58,306","22,103 37.9","16,334 28.0","9,666 16.6","9,776 16.8",408,0.7,19
LAMU WEST,Female,"52,045","20,552 39.5","10,469 20.1","8,907 17.1","11,804 22.7",296,0.6,17
TAITA/TAVETA,TAITA/TAVETA,"312,593","116,381 37.2","118,731 38.0","47,998 15.4","28,128 9.0","1,286",0.4,69
TAITA/TAVETA,Male,"158,230","59,272 37.5","63,137 39.9","23,804 15.0","11,239 7.1",744,0.5,34
TAITA/TAVETA,Female,"154,357","57,108 37.0","55,594 36.0","24,190 15.7","16,888 10.9",542,0.4,35
MWATATE,MWATATE,"76,078","28,635 37.6","27,675 36.4","12,851 16.9","6,765 8.9",143,0.2,9
MWATATE,Male,"38,672","14,632 37.8","14,867 38.4","6,443 16.7","2,638 6.8",87,0.2,5
MWATATE,Female,"37,404","14,002 37.4","12,808 34.2","6,408 17.1","4,126 11.0",56,0.1,4
TAITA,TAITA,"52,345","19,302 36.9","22,153 42.3","6,632 12.7","4,059 7.8",197,0.4,2
TAITA,Male,"26,495","9,800 37.0","11,852 44.7","3,242 12.2","1,503 5.7",98,0.4,-
TAITA,Female,"25,850","9,502 36.8","10,301 39.8","3,390 13.1","2,556 9.9",99,0.4,2
TAVETA,TAVETA,"82,789","31,879 38.5","25,884 31.3","15,410 18.6","9,009 10.9",585,0.7,22
TAVETA,Male,"42,548","16,342 38.4","13,891 32.6","7,929 18.6","4,016 9.4",361,0.8,9
TAVETA,Female,"40,241","15,537 38.6","11,993 29.8","7,481 18.6","4,993 12.4",224,0.6,13
VOI,VOI,"101,381","36,565 36.1","43,019 42.4","13,105 12.9","8,295 8.2",361,0.4,36
VOI,Male,"50,515","18,498 36.6","22,527 44.6","6,190 12.3","3,082 6.1",198,0.4,20
VOI,Female,"50,862","18,067 35.5","20,492 40.3","6,911 13.6","5,213 10.2",163,0.3,16
GARISSA,GARISSA,"778,006","132,990 17.1","23,144 3.0","9,508 1.2","584,730 75.2","27,479",3.5,155
GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93
GARISSA,Female,"352,563","55,497 15.7","7,744 2.2","4,198 1.2","273,149 77.5","11,913",3.4,62
BALAMBALA,BALAMBALA,"30,885","2,740 8.9",653 2.1,142 0.5,"26,934 87.2",416,1.3,-
BALAMBALA,Male,"19,392","1,692 8.7",585 3.0,114 0.6,"16,721 86.2",280,1.4,-
BALAMBALA,Female,"11,492","1,048 9.1",68 0.6,28 0.2,"10,212 88.9",136,1.2,-
DADAAB,DADAAB,"171,529","20,883 12.2","3,254 1.9","1,479 0.9","138,363 80.7","7,491",4.4,59
DADAAB,Male,"91,581","12,354 13.5","2,330 2.5",812 0.9,"71,639 78.2","4,404",4.8,42
DADAAB,Female,"79,942","8,529 10.7",924 1.2,667 0.8,"66,718 83.5","3,087",3.9,17
FAFI,FAFI,"123,861","15,237 12.3","2,351 1.9","1,334 1.1","102,021 82.4","2,895",2.3,23
FAFI,Male,"67,143","8,847 13.2","1,570 2.3",756 1.1,"54,524 81.2","1,432",2.1,14
FAFI,Female,"56,708","6,389 11.3",781 1.4,577 1.0,"47,489 83.7","1,463",2.6,9
GARISSA,GARISSA,"148,891","40,562 27.2","12,093 8.1","4,244 2.9","86,046 57.8","5,898",4,48
GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22
GARISSA,Female,"73,652","18,033 24.5","4,449 6.0","1,973 2.7","46,268 62.8","2,903",3.9,26
HULUGHO,HULUGHO,"124,947","19,993 16.0","1,347 1.1","1,038 0.8","99,237 79.4","3,324",2.7,8
HULUGHO,Male,"73,417","12,290 16.7",910 1.2,598 0.8,"57,522 78.3","2,092",2.8,5
HULUGHO,Female,"51,525","7,703 15.0",437 0.8,440 0.9,"41,710 81.0","1,232",2.4,3
IJARA,IJARA,"131,571","28,963 22.0","3,063 2.3","1,029 0.8","91,781 69.8","6,718",5.1,17
IJARA,Male,"75,484","17,366 23.0","2,113 2.8",615 0.8,"51,387 68.1","3,993",5.3,10
IJARA,Female,"56,083","11,597 20.7",950 1.7,414 0.7,"40,391 72.0","2,724",4.9,7
LAGDERA,LAGDERA,"46,322","4,612 10.0",383 0.8,242 0.5,"40,348 87.1",737,1.6,-
LAGDERA,Male,"23,160","2,414 10.4",248 1.1,143 0.6,"19,986 86.3",369,1.6,-
LAGDERA,Female,"23,161","2,198 9.5",135 0.6,99 0.4,"20,361 87.9",368,1.6,-
WAJIR,WAJIR,"711,571","132,611 18.6","13,792 1.9","5,489 0.8","549,406 77.2","10,209",1.4,64
WAJIR,Male,"379,557","75,637 19.9","9,423 2.5","3,224 0.8","285,684 75.3","5,548",1.5,41
WAJIR,Female,"331,969","56,970 17.2","4,369 1.3","2,265 0.7","263,682 79.4","4,660",1.4,23
BUNA,BUNA,"44,083","6,081 13.8",478 1.1,179 0.4,"36,483 82.8",862,2,-
BUNA,Male,"23,847","3,410 14.3",320 1.3,113 0.5,"19,535 81.9",469,2,-
BUNA,Female,"20,234","2,671 13.2",158 0.8,66 0.3,"16,946 83.8",393,1.9,-
ELDAS,ELDAS,"82,187","14,237 17.3",851 1.0,450 0.5,"65,185 79.3","1,464",1.8,-
ELDAS,Male,"41,866","7,706 18.4",532 1.3,239 0.6,"32,637 78.0",752,1.8,-
ELDAS,Female,"40,314","6,531 16.2",319 0.8,211 0.5,"32,541 80.7",712,1.8,-
HABASWEIN,HABASWEIN,"158,790","35,144 22.1","3,024 1.9","1,340 0.8","118,608 74.7",650,0.4,24
HABASWEIN,Male,"86,244","20,991 24.3","2,111 2.4",748 0.9,"62,022 71.9",360,0.4,12
HABASWEIN,Female,"72,531","14,153 19.5",913 1.3,592 0.8,"56,572 78.0",289,0.4,12
TARBAJ,TARBAJ,"50,653","6,525 12.9",424 0.8,271 0.5,"43,113 85.1",320,0.6,-
TARBAJ,Male,"24,262","3,311 13.6",303 1.2,135 0.6,"20,353 83.9",160,0.7,-
TARBAJ,Female,"26,386","3,213 12.2",121 0.5,136 0.5,"22,756 86.2",160,0.6,-
WAJIR EAST,WAJIR EAST,"101,247","25,940 25.6","5,590 5.5","1,791 1.8","65,460 64.7","2,439",2.4,27
WAJIR EAST,Male,"54,136","14,536 26.9","3,748 6.9","1,075 2.0","33,462 61.8","1,293",2.4,22
WAJIR EAST,Female,"47,109","11,403 24.2","1,842 3.9",716 1.5,"31,997 67.9","1,146",2.4,5
WAJIR NORTH,WAJIR NORTH,"55,799","9,690 17.4",827 1.5,354 0.6,"43,773 78.4","1,155",2.1,-
WAJIR NORTH,Male,"28,905","5,301 18.3",576 2.0,227 0.8,"22,201 76.8",600,2.1,-
WAJIR NORTH,Female,"26,888","4,389 16.3",251 0.9,127 0.5,"21,566 80.2",555,2.1,-
WAJIR SOUTH,WAJIR SOUTH,"107,634","15,891 14.8","1,313 1.2",557 0.5,"88,448 82.2","1,412",1.3,13
WAJIR SOUTH,Male,"60,030","9,675 16.1",922 1.5,346 0.6,"48,347 80.5",733,1.2,7
WAJIR SOUTH,Female,"47,602","6,215 13.1",391 0.8,211 0.4,"40,100 84.2",679,1.4,6
WAJIR WEST,WAJIR WEST,"111,178","19,103 17.2","1,285 1.2",547 0.5,"88,336 79.5","1,907",1.7,-
WAJIR WEST,Male,"60,267","10,707 17.8",911 1.5,341 0.6,"47,127 78.2","1,181",2,-
WAJIR WEST,Female,"50,905","8,395 16.5",374 0.7,206 0.4,"41,204 80.9",726,1.4,-
MANDERA,MANDERA,"775,085","168,647 21.8","21,483 2.8","7,222 0.9","555,819 71.7","21,776",2.8,138
MANDERA,Male,"391,182","90,664 23.2","14,204 3.6","4,118 1.1","271,252 69.3","10,871",2.8,73
MANDERA,Female,"383,873","77,980 20.3","7,279 1.9","3,104 0.8","284,543 74.1","10,902",2.8,65
MANDERA WEST,MANDERA WEST,"86,713","22,717 26.2","1,501 1.7",596 0.7,"60,134 69.3","1,761",2,4
MANDERA WEST,Male,"42,666","11,917 27.9","1,001 2.3",364 0.9,"28,586 67.0",796,1.9,2
MANDERA WEST,Female,"44,045","10,800 24.5",500 1.1,232 0.5,"31,546 71.6",965,2.2,2
BANISA,BANISA,"135,664","20,564 15.2","1,603 1.2",536 0.4,"110,225 81.2","2,735",2,1
BANISA,Male,"70,366","11,647 16.6","1,130 1.6",309 0.4,"55,978 79.6","1,302",1.9,-
BANISA,Female,"65,291","8,916 13.7",473 0.7,227 0.3,"54,241 83.1","1,433",2.2,1
KOTULO,KOTULO,"63,722","16,578 26.0","1,667 2.6",562 0.9,"43,739 68.6","1,176",1.8,-
KOTULO,Male,"31,894","8,797 27.6","1,033 3.2",299 0.9,"21,127 66.2",638,2,-
KOTULO,Female,"31,826","7,780 24.4",634 2.0,263 0.8,"22,611 71.0",538,1.7,-
LAFEY,LAFEY,"74,593","12,181 16.3",928 1.2,395 0.5,"58,134 77.9","2,954",4,1
LAFEY,Male,"36,424","6,112 16.8",602 1.7,230 0.6,"28,026 76.9","1,453",4,1
LAFEY,Female,"38,164","6,069 15.9",326 0.9,165 0.4,"30,104 78.9","1,500",3.9,-
MANDERA CENTRAL,MANDERA CENTRAL,"140,725","34,878 24.8","3,761 2.7","1,536 1.1","96,339 68.5","4,079",2.9,132
MANDERA CENTRAL,Male,"64,682","16,936 26.2","2,304 3.6",827 1.3,"42,601 65.9","1,944",3,70
MANDERA CENTRAL,Female,"76,039","17,941 23.6","1,457 1.9",709 0.9,"53,735 70.7","2,135",2.8,62
MANDERA EAST,MANDERA EAST,"144,168","36,560 25.4","9,290 6.4","2,707 1.9","89,821 62.3","5,790",4,-
MANDERA EAST,Male,"75,335","20,910 27.8","6,289 8.3","1,545 2.1","43,543 57.8","3,048",4,-
MANDERA EAST,Female,"68,829","15,650 22.7","3,001 4.4","1,162 1.7","46,275 67.2","2,741",4,-
MANDERA NORTH,MANDERA NORTH,"129,500","25,169 19.4","2,733 2.1",890 0.7,"97,427 75.2","3,281",2.5,-
MANDERA NORTH,Male,"69,815","14,345 20.5","1,845 2.6",544 0.8,"51,391 73.6","1,690",2.4,-
MANDERA NORTH,Female,"59,679","10,824 18.1",888 1.5,346 0.6,"46,031 77.1","1,590",2.7,-
MARSABIT,MARSABIT,"409,629","108,132 26.4","25,727 6.3","12,494 3.1","259,725 63.4","3,335",0.8,216
MARSABIT,Male,"215,220","55,636 25.9","16,016 7.4","7,160 3.3","134,525 62.5","1,773",0.8,110
MARSABIT,Female,"194,392","52,492 27.0","9,711 5.0","5,334 2.7","125,190 64.4","1,559",0.8,106
LOIYANGALANI,LOIYANGALANI,"31,574","6,673 21.1",964 3.1,634 2.0,"23,141 73.3",162,0.5,-
LOIYANGALANI,Male,"15,401","3,177 20.6",665 4.3,313 2.0,"11,165 72.5",81,0.5,-
LOIYANGALANI,Female,"16,171","3,495 21.6",299 1.8,321 2.0,"11,975 74.1",81,0.5,-
MARSABIT CENTRAL,MARSABIT CENTRAL,"71,619","27,959 39.0","10,705 14.9","4,347 6.1","27,481 38.4","1,127",1.6,-
MARSABIT CENTRAL,Male,"36,892","14,078 38.2","6,237 16.9","2,487 6.7","13,490 36.6",600,1.6,-
MARSABIT CENTRAL,Female,"34,716","13,879 40.0","4,468 12.9","1,860 5.4","13,985 40.3",524,1.5,-
MARSABIT NORTH,MARSABIT NORTH,"45,650","10,319 22.6","1,294 2.8",663 1.5,"33,120 72.6",254,0.6,-
MARSABIT NORTH,Male,"24,849","5,133 20.7",844 3.4,398 1.6,"18,336 73.8",138,0.6,-
MARSABIT NORTH,Female,"20,800","5,186 24.9",450 2.2,265 1.3,"14,783 71.1",116,0.6,-
MARSABIT SOUTH,MARSABIT SOUTH,"59,493","11,620 19.5","2,332 3.9","1,036 1.7","44,228 74.3",266,0.4,11
MARSABIT SOUTH,Male,"30,146","5,659 18.8","1,515 5.0",522 1.7,"22,303 74.0",141,0.5,6
MARSABIT SOUTH,Female,"29,347","5,961 20.3",817 2.8,514 1.8,"21,925 74.7",125,0.4,5
MOYALE,MOYALE,"97,766","32,258 33.0","6,761 6.9","4,004 4.1","54,087 55.3",645,0.7,11
MOYALE,Male,"50,613","17,428 34.4","4,279 8.5","2,311 4.6","26,273 51.9",316,0.6,6
MOYALE,Female,"47,152","14,830 31.5","2,482 5.3","1,693 3.6","27,813 59.0",329,0.7,5
NORTH HORR,NORTH HORR,"62,863","6,587 10.5","1,355 2.2",467 0.7,"53,912 85.8",354,0.6,188
NORTH HORR,Male,"35,980","3,481 9.7",975 2.7,335 0.9,"30,884 85.8",210,0.6,95
NORTH HORR,Female,"26,881","3,105 11.6",380 1.4,132 0.5,"23,027 85.7",144,0.5,93
SOLOLO,SOLOLO,"40,664","12,716 31.3","2,316 5.7","1,343 3.3","23,756 58.4",527,1.3,6
SOLOLO,Male,"21,339","6,680 31.3","1,501 7.0",794 3.7,"12,074 56.6",287,1.3,3
SOLOLO,Female,"19,325","6,036 31.2",815 4.2,549 2.8,"11,682 60.5",240,1.2,3
ISIOLO,ISIOLO,"245,462","79,881 32.5","34,817 14.2","14,485 5.9","114,759 46.8","1,483",0.6,37
ISIOLO,Male,"128,141","40,960 32.0","19,823 15.5","7,599 5.9","58,852 45.9",886,0.7,21
ISIOLO,Female,"117,317","38,920 33.2","14,994 12.8","6,886 5.9","55,904 47.7",597,0.5,16
GARBATULLA,GARBATULLA,"92,227","25,147 27.3","6,186 6.7","2,946 3.2","57,317 62.1",619,0.7,12
GARBATULLA,Male,"50,808","13,233 26.0","3,875 7.6","1,721 3.4","31,581 62.2",390,0.8,8
GARBATULLA,Female,"41,418","11,914 28.8","2,311 5.6","1,225 3.0","25,735 62.1",229,0.6,4
ISIOLO,ISIOLO,"110,631","41,522 37.5","25,668 23.2","9,942 9.0","32,798 29.6",676,0.6,25
ISIOLO,Male,"55,148","21,157 38.4","14,100 25.6","4,967 9.0","14,530 26.3",381,0.7,13
ISIOLO,Female,"55,483","20,365 36.7","11,568 20.8","4,975 9.0","18,268 32.9",295,0.5,12
MERTI,MERTI,"42,604","13,212 31.0","2,963 7.0","1,597 3.7","24,644 57.8",188,0.4,-
MERTI,Male,"22,185","6,570 29.6","1,848 8.3",911 4.1,"12,741 57.4",115,0.5,-
MERTI,Female,"20,416","6,641 32.5","1,115 5.5",686 3.4,"11,901 58.3",73,0.4,-
MERU,MERU,"1,436,400","554,475 38.6","360,142 25.1","301,441 21.0","205,961 14.3","13,999",1,382
MERU,Male,"711,224","277,202 39.0","179,720 25.3","153,600 21.6","92,010 12.9","8,488",1.2,204
MERU,Female,"725,139","277,259 38.2","180,414 24.9","147,834 20.4","113,943 15.7","5,511",0.8,178
BUURI EAST,BUURI EAST,"71,784","25,158 35.0","26,395 36.8","13,320 18.6","6,405 8.9",474,0.7,32
BUURI EAST,Male,"35,691","12,796 35.9","13,183 36.9","6,793 19.0","2,551 7.1",350,1,18
BUURI EAST,Female,"36,093","12,362 34.3","13,212 36.6","6,527 18.1","3,854 10.7",124,0.3,14
BUURI WEST,BUURI WEST,"75,344","26,396 35.0","28,001 37.2","14,238 18.9","6,250 8.3",451,0.6,8
BUURI WEST,Male,"37,726","13,326 35.3","14,054 37.3","7,255 19.2","2,784 7.4",304,0.8,3
BUURI WEST,Female,"37,616","13,070 34.7","13,945 37.1","6,983 18.6","3,466 9.2",147,0.4,5
IGEMBE CENTRAL,IGEMBE CENTRAL,"204,412","84,771 41.5","24,445 12.0","50,589 24.7","41,948 20.5","2,617",1.3,42
IGEMBE CENTRAL,Male,"102,059","42,142 41.3","12,198 12.0","26,267 25.7","19,844 19.4","1,586",1.6,22
IGEMBE CENTRAL,Female,"102,349","42,628 41.6","12,247 12.0","24,320 23.8","22,103 21.6","1,031",1,20
IGEMBE NORTH,IGEMBE NORTH,"156,536","66,151 42.3","16,939 10.8","29,927 19.1","41,455 26.5","2,014",1.3,50
IGEMBE NORTH,Male,"76,912","32,652 42.5","8,458 11.0","15,242 19.8","19,353 25.2","1,179",1.5,28
IGEMBE NORTH,Female,"79,620","33,496 42.1","8,481 10.7","14,685 18.4","22,101 27.8",835,1,22
IGEMBE SOUTH,IGEMBE SOUTH,"149,522","56,443 37.7","26,006 17.4","37,957 25.4","26,764 17.9","2,296",1.5,56
IGEMBE SOUTH,Male,"74,030","27,641 37.3","12,675 17.1","19,443 26.3","12,779 17.3","1,462",2,30
IGEMBE SOUTH,Female,"75,484","28,799 38.2","13,331 17.7","18,512 24.5","13,982 18.5",834,1.1,26
IMENTI NORTH,IMENTI NORTH,"162,829","55,511 34.1","70,530 43.3","25,379 15.6","10,294 6.3","1,061",0.7,54
IMENTI NORTH,Male,"80,497","27,661 34.4","35,275 43.8","12,726 15.8","4,141 5.1",660,0.8,34
IMENTI NORTH,Female,"82,328","27,849 33.8","35,252 42.8","12,653 15.4","6,153 7.5",401,0.5,20
IMENTI SOUTH,IMENTI SOUTH,"193,742","67,801 35.0","65,743 33.9","43,429 22.4","15,235 7.9","1,517",0.8,17
IMENTI SOUTH,Male,"96,744","34,365 35.5","32,750 33.9","22,385 23.1","6,375 6.6",861,0.9,8
IMENTI SOUTH,Female,"96,993","33,434 34.5","32,992 34.0","21,042 21.7","8,860 9.1",656,0.7,9
MERU CENTRAL,MERU CENTRAL,"125,670","44,995 35.8","44,593 35.5","24,179 19.2","11,085 8.8",767,0.6,51
MERU CENTRAL,Male,"62,757","22,798 36.3","22,862 36.4","12,397 19.8","4,212 6.7",463,0.7,25
MERU CENTRAL,Female,"62,910","22,197 35.3","21,729 34.5","11,781 18.7","6,873 10.9",304,0.5,26
TIGANIA CENTRAL,TIGANIA CENTRAL,"97,405","41,347 42.4","16,145 16.6","23,752 24.4","15,311 15.7",847,0.9,3
TIGANIA CENTRAL,Male,"48,073","20,788 43.2","8,154 17.0","11,944 24.8","6,693 13.9",492,1,2
TIGANIA CENTRAL,Female,"49,332","20,559 41.7","7,991 16.2","11,808 23.9","8,618 17.5",355,0.7,1
TIGANIA EAST,TIGANIA EAST,"67,622","29,551 43.7","11,368 16.8","11,938 17.7","13,941 20.6",769,1.1,55
TIGANIA EAST,Male,"32,914","14,531 44.1","5,713 17.4","5,873 17.8","6,350 19.3",418,1.3,29
TIGANIA EAST,Female,"34,705","15,018 43.3","5,655 16.3","6,065 17.5","7,590 21.9",351,1,26
TIGANIA WEST,TIGANIA WEST,"130,798","56,289 43.0","29,571 22.6","26,565 20.3","17,173 13.1","1,186",0.9,14
TIGANIA WEST,Male,"63,209","28,468 45.0","14,059 22.2","13,125 20.8","6,839 10.8",713,1.1,5
TIGANIA WEST,Female,"67,585","27,819 41.2","15,512 23.0","13,440 19.9","10,332 15.3",473,0.7,9
MERU NATIONAL PARK,MERU NATIONAL PARK,294,44 15.0,229 77.9,6 2.0,15 5.1,-,-,-
MERU NATIONAL PARK,Male,219,21 9.6,184 84.0,5 2.3,9 4.1,-,-,-
MERU NATIONAL PARK,Female,75,23 30.7,45 60.0,1 1.3,6 8.0,-,-,-
MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-
MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-
MT. KENYA FOREST,Female,49,5 10.2,22 44.9,17 34.7,5 10.2,-,-,-
THARAKA-NITHI,THARAKA-NITHI,"367,574","144,933 39.4","96,834 26.3","82,897 22.6","39,296 10.7","3,543",1,71
THARAKA-NITHI,Male,"180,692","73,509 40.7","48,177 26.7","40,913 22.6","16,089 8.9","1,966",1.1,38
THARAKA-NITHI,Female,"186,875","71,422 38.2","48,655 26.0","41,983 22.5","23,205 12.4","1,577",0.8,33
IGAMBANG'OMBE,IGAMBANG'OMBE,"49,368","20,369 41.3","9,492 19.2","13,284 26.9","5,664 11.5",544,1.1,15
IGAMBANG'OMBE,Male,"24,367","10,393 42.7","4,749 19.5","6,639 27.2","2,257 9.3",320,1.3,9
IGAMBANG'OMBE,Female,"25,000","9,976 39.9","4,743 19.0","6,644 26.6","3,407 13.6",224,0.9,6
MAARA,MAARA,"108,517","37,866 34.9","36,716 33.8","25,656 23.6","7,384 6.8",882,0.8,13
MAARA,Male,"54,491","19,356 35.5","18,647 34.2","12,805 23.5","3,192 5.9",485,0.9,6
MAARA,Female,"54,026","18,510 34.3","18,069 33.4","12,851 23.8","4,192 7.8",397,0.7,7
MERU SOUTH,MERU SOUTH,"85,236","30,872 36.2","29,636 34.8","18,458 21.7","5,550 6.5",699,0.8,21
MERU SOUTH,Male,"41,988","15,688 37.4","14,662 34.9","9,028 21.5","2,180 5.2",420,1,10
MERU SOUTH,Female,"43,246","15,183 35.1","14,973 34.6","9,430 21.8","3,370 7.8",279,0.6,11
THARAKA NORTH,THARAKA NORTH,"54,321","23,967 44.1","7,847 14.4","10,367 19.1","10,996 20.2","1,127",2.1,17
THARAKA NORTH,Male,"26,290","12,019 45.7","3,891 14.8","5,124 19.5","4,679 17.8",567,2.2,10
THARAKA NORTH,Female,"28,029","11,947 42.6","3,956 14.1","5,243 18.7","6,316 22.5",560,2,7
THARAKA SOUTH,THARAKA SOUTH,"69,972","31,795 45.4","13,065 18.7","15,120 21.6","9,696 13.9",291,0.4,5
THARAKA SOUTH,Male,"33,482","16,040 47.9","6,177 18.4","7,310 21.8","3,778 11.3",174,0.5,3
THARAKA SOUTH,Female,"36,488","15,755 43.2","6,887 18.9","7,810 21.4","5,917 16.2",117,0.3,2
MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-
MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-
MT. KENYA FOREST,Female,86,51 59.3,27 31.4,5 5.8,3 3.5,-,-,-
EMBU,EMBU,"568,228","205,389 36.1","180,500 31.8","131,329 23.1","48,555 8.5","2,404",0.4,51
EMBU,Male,"283,024","104,132 36.8","90,744 32.1","67,774 23.9","18,822 6.7","1,530",0.5,22
EMBU,Female,"285,182","101,251 35.5","89,746 31.5","63,552 22.3","29,730 10.4",874,0.3,29
EMBU EAST,EMBU EAST,"122,079","41,231 33.8","38,387 31.4","31,506 25.8","10,483 8.6",469,0.4,3
EMBU EAST,Male,"60,807","20,990 34.5","19,236 31.6","16,193 26.6","4,112 6.8",275,0.5,1
EMBU EAST,Female,"61,270","20,240 33.0","19,150 31.3","15,313 25.0","6,371 10.4",194,0.3,2
EMBU NORTH,EMBU NORTH,"75,194","25,255 33.6","24,666 32.8","18,336 24.4","6,717 8.9",216,0.3,4
