,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
352,Marsabit,Marsabit,10,Marsabit central,marsabit central,MARSABIT CENTRAL,MARSABIT CENTRAL,"71,619","27,959 39.0","10,705 14.9","4,347 6.1","27,481 38.4","1,127",1.6,-,"27,959",39,"10,705",14.9,"4,347",6.1,"27,481",38.4,191,MARSABIT CENTRAL,Male,"36,892","14,078 38.2","6,237 16.9","2,487 6.7","13,490 36.6",600,1.6,-,"14,078",38.2,"6,237",16.9,"2,487",6.7,"13,490",36.6,191,MARSABIT CENTRAL,Male,"36,892","14,078 38.2","6,237 16.9","2,487 6.7","13,490 36.6",600,1.6,-,"14,078",38.2,"6,237",16.9,"2,487",6.7,"13,490",36.6,marsabit central
353,Marsabit,Marsabit,10,Marsabit north,marsabit north,MARSABIT NORTH,MARSABIT NORTH,"45,650","10,319 22.6","1,294 2.8",663 1.5,"33,120 72.6",254,0.6,-,"10,319",22.6,"1,294",2.8,663,1.5,"33,120",72.6,194,MARSABIT NORTH,Male,"24,849","5,133 20.7",844 3.4,398 1.6,"18,336 73.8",138,0.6,-,"5,133",20.7,844,3.4,398,1.6,"18,336",73.8,194,MARSABIT NORTH,Male,"24,849","5,133 20.7",844 3.4,398 1.6,"18,336 73.8",138,0.6,-,"5,133",20.7,844,3.4,398,1.6,"18,336",73.8,marsabit north
354,Marsabit,Marsabit,10,Marsabit south,marsabit south,MARSABIT SOUTH,MARSABIT SOUTH,"59,493","11,620 19.5","2,332 3.9","1,036 1.7","44,228 74.3",266,0.4,11,"11,620",19.5,"2,332",3.9,"1,036",1.7,"44,228",74.3,197,MARSABIT SOUTH,Male,"30,146","5,659 18.8","1,515 5.0",522 1.7,"22,303 74.0",141,0.5,6,"5,659",18.8,"1,515",5,522,1.7,"22,303",74,197,MARSABIT SOUTH,Male,"30,146","5,659 18.8","1,515 5.0",522 1.7,"22,303 74.0",141,0.5,6,"5,659",18.8,"1,515",5,522,1.7,"22,303",74,marsabit south
242,Nyamira,Nyamira,46,Masaba north,masaba north,MASABA NORTH,MASABA NORTH,"104,344","47,656 45.7","24,917 23.9","19,783 19.0","11,634 11.1",347,0.3,7,"47,656",45.7,"24,917",23.9,"19,783",19,"11,634",11.1,1136,MASABA NORTH,Male,"49,088","24,105 49.1","12,472 25.4","7,958 16.2","4,382 8.9",168,0.3,3,"24,105",49.1,"12,472",25.4,"7,958",16.2,"4,382",8.9,1136,MASABA NORTH,Male,"49,088","24,105 49.1","12,472 25.4","7,958 16.2","4,382 8.9",168,0.3,3,"24,105",49.1,"12,472",25.4,"7,958",16.2,"4,382",8.9,masaba north
530,Kisii,Kisii,45,Masaba south,masaaba south,MASABA SOUTH,MASABA SOUTH,"114,613","54,102 47.2","25,882 22.6","24,544 21.4","9,293 8.1",786,0.7,6,"54,102",47.2,"25,882",22.6,"24,544",21.4,"9,293",8.1,1118,MASABA SOUTH,Male,"54,167","27,657 51.1","13,042 24.1","9,799 18.1","3,303 6.1",363,0.7,3,"27,657",51.1,"13,042",24.1,"9,799",18.1,"3,303",6.1,1118,MASABA SOUTH,Male,"54,167","27,657 51.1","13,042 24.1","9,799 18.1","3,303 6.1",363,0.7,3,"27,657",51.1,"13,042",24.1,"9,799",18.1,"3,303",6.1,masaba south
480,Kajiado,Kajiado,34,Mashuuru,mashuuru,MASHUURU,MASHUURU,"58,826","24,543 41.7","14,308 24.3","7,761 13.2","11,411 19.4",799,1.4,4,"24,543",41.7,"14,308",24.3,"7,761",13.2,"11,411",19.4,824,MASHUURU,Male,"30,200","12,483 41.3","7,784 25.8","3,980 13.2","5,483 18.2",469,1.6,1,"12,483",41.3,"7,784",25.8,"3,980",13.2,"5,483",18.2,824,MASHUURU,Male,"30,200","12,483 41.3","7,784 25.8","3,980 13.2","5,483 18.2",469,1.6,1,"12,483",41.3,"7,784",25.8,"3,980",13.2,"5,483",18.2,mashuuru
144,Machakos,Machakos,16,Masinga,masinga,MASINGA,MASINGA,"138,933","59,688 43.0","38,008 27.4","26,094 18.8","13,506 9.7","1,621",1.2,16,"59,688",43,"38,008",27.4,"26,094",18.8,"13,506",9.7,380,MASINGA,Male,"68,657","30,933 45.1","18,453 26.9","12,995 18.9","5,404 7.9",863,1.3,9,"30,933",45.1,"18,453",26.9,"12,995",18.9,"5,404",7.9,380,MASINGA,Male,"68,657","30,933 45.1","18,453 26.9","12,995 18.9","5,404 7.9",863,1.3,9,"30,933",45.1,"18,453",26.9,"12,995",18.9,"5,404",7.9,masinga
71,Kakamega,Kakamega,37,Matete,matete,MATETE,MATETE,"61,383","31,089 50.6","11,045 18.0","11,666 19.0","6,512 10.6","1,071",1.7,-,"31,089",50.6,"11,045",18,"11,666",19,"6,512",10.6,893,MATETE,Male,"29,404","15,709 53.4","5,367 18.3","4,982 16.9","2,818 9.6",528,1.8,-,"15,709",53.4,"5,367",18.3,"4,982",16.9,"2,818",9.6,893,MATETE,Male,"29,404","15,709 53.4","5,367 18.3","4,982 16.9","2,818 9.6",528,1.8,-,"15,709",53.4,"5,367",18.3,"4,982",16.9,"2,818",9.6,matete
542,Nairobi,Nairobi City,47,Mathare,mathare,MATHARE,MATHARE,"188,625","61,040 32.4","77,503 41.1","35,910 19.0","12,099 6.4","1,966",1,107,"61,040",32.4,"77,503",41.1,"35,910",19,"12,099",6.4,1169,MATHARE,Male,"97,147","30,150 31.0","42,264 43.5","17,612 18.1","5,830 6.0","1,236",1.3,55,"30,150",31,"42,264",43.5,"17,612",18.1,"5,830",6,1169,MATHARE,Male,"97,147","30,150 31.0","42,264 43.5","17,612 18.1","5,830 6.0","1,236",1.3,55,"30,150",31,"42,264",43.5,"17,612",18.1,"5,830",6,mathare
198,Murang'a,Murang'a,21,Mathioya,mathioya,MATHIOYA,MATHIOYA,"87,438","31,439 36.0","32,226 36.9","15,594 17.8","7,766 8.9",398,0.5,15,"31,439",36,"32,226",36.9,"15,594",17.8,"7,766",8.9,512,MATHIOYA,Male,"42,738","16,161 37.8","16,094 37.7","7,587 17.8","2,686 6.3",203,0.5,7,"16,161",37.8,"16,094",37.7,"7,587",17.8,"2,686",6.3,512,MATHIOYA,Male,"42,738","16,161 37.8","16,094 37.7","7,587 17.8","2,686 6.3",203,0.5,7,"16,161",37.8,"16,094",37.7,"7,587",17.8,"2,686",6.3,mathioya
252,Nyeri,Nyeri,19,Mathira east,mathira east,MATHIRA EAST,MATHIRA EAST,"93,027","33,214 35.7","39,579 42.5","15,655 16.8","4,026 4.3",550,0.6,3,"33,214",35.7,"39,579",42.5,"15,655",16.8,"4,026",4.3,461,MATHIRA EAST,Male,"44,995","16,909 37.6","19,387 43.1","7,031 15.6","1,391 3.1",276,0.6,1,"16,909",37.6,"19,387",43.1,"7,031",15.6,"1,391",3.1,461,MATHIRA EAST,Male,"44,995","16,909 37.6","19,387 43.1","7,031 15.6","1,391 3.1",276,0.6,1,"16,909",37.6,"19,387",43.1,"7,031",15.6,"1,391",3.1,mathira east
253,Nyeri,Nyeri,19,Mathira west,mathira west,MATHIRA WEST,MATHIRA WEST,"56,676","19,857 35.0","23,194 40.9","10,677 18.8","2,723 4.8",217,0.4,8,"19,857",35,"23,194",40.9,"10,677",18.8,"2,723",4.8,464,MATHIRA WEST,Male,"27,860","10,272 36.9","11,742 42.1","4,783 17.2",942 3.4,118,0.4,3,"10,272",36.9,"11,742",42.1,"4,783",17.2,942,3.4,464,MATHIRA WEST,Male,"27,860","10,272 36.9","11,742 42.1","4,783 17.2",942 3.4,118,0.4,3,"10,272",36.9,"11,742",42.1,"4,783",17.2,942,3.4,mathira west
401,Kitui,Kitui,15,Matinya,matinya,MATINYANI,MATINYANI,"44,779","19,193 42.9","14,153 31.6","6,715 15.0","4,437 9.9",281,0.6,-,"19,193",42.9,"14,153",31.6,"6,715",15,"4,437",9.9,329,MATINYANI,Male,"21,869","9,909 45.3","6,897 31.5","3,394 15.5","1,484 6.8",185,0.8,-,"9,909",45.3,"6,897",31.5,"3,394",15.5,"1,484",6.8,329,MATINYANI,Male,"21,869","9,909 45.3","6,897 31.5","3,394 15.5","1,484 6.8",185,0.8,-,"9,909",45.3,"6,897",31.5,"3,394",15.5,"1,484",6.8,matinyani
322,Kwale,Kwale,2,Matuga,matuga,MATUGA,MATUGA,"177,675","76,734 43.2","40,378 22.7","22,561 12.7","37,190 20.9",771,0.4,41,"76,734",43.2,"40,378",22.7,"22,561",12.7,"37,190",20.9,35,MATUGA,Male,"87,377","39,476 45.2","21,744 24.9","11,056 12.7","14,610 16.7",469,0.5,22,"39,476",45.2,"21,744",24.9,"11,056",12.7,"14,610",16.7,35,MATUGA,Male,"87,377","39,476 45.2","21,744 24.9","11,056 12.7","14,610 16.7",469,0.5,22,"39,476",45.2,"21,744",24.9,"11,056",12.7,"14,610",16.7,matuga
488,Kakamega,Kakamega,37,Matungu,matungu,MATUNGU,MATUNGU,"154,460","78,781 51.0","19,787 12.8","31,220 20.2","23,262 15.1","1,389",0.9,21,"78,781",51,"19,787",12.8,"31,220",20.2,"23,262",15.1,896,MATUNGU,Male,"72,733","39,392 54.2","9,561 13.1","13,682 18.8","9,366 12.9",721,1,11,"39,392",54.2,"9,561",13.1,"13,682",18.8,"9,366",12.9,896,MATUNGU,Male,"72,733","39,392 54.2","9,561 13.1","13,682 18.8","9,366 12.9",721,1,11,"39,392",54.2,"9,561",13.1,"13,682",18.8,"9,366",12.9,matungu
489,Kakamega,Kakamega,37,Matungu,matungu,MATUNGU,MATUNGU,"154,460","78,781 51.0","19,787 12.8","31,220 20.2","23,262 15.1","1,389",0.9,21,"78,781",51,"19,787",12.8,"31,220",20.2,"23,262",15.1,899,MATUNGU,Male,"51,751","27,824 53.8","8,293 16.0","10,485 20.3","4,842 9.4",305,0.6,2,"27,824",53.8,"8,293",16,"10,485",20.3,"4,842",9.4,899,MATUNGU,Male,"51,751","27,824 53.8","8,293 16.0","10,485 20.3","4,842 9.4",305,0.6,2,"27,824",53.8,"8,293",16,"10,485",20.3,"4,842",9.4,matungu
145,Machakos,Machakos,16,Matungulu,matungulu,MATUNGULU,MATUNGULU,"151,535","58,093 38.3","56,185 37.1","26,731 17.6","8,879 5.9","1,639",1.1,8,"58,093",38.3,"56,185",37.1,"26,731",17.6,"8,879",5.9,383,MATUNGULU,Male,"76,123","29,817 39.2","28,908 38.0","12,874 16.9","3,618 4.8",904,1.2,2,"29,817",39.2,"28,908",38,"12,874",16.9,"3,618",4.8,383,MATUNGULU,Male,"76,123","29,817 39.2","28,908 38.0","12,874 16.9","3,618 4.8",904,1.2,2,"29,817",39.2,"28,908",38,"12,874",16.9,"3,618",4.8,matungulu
473," Baringo, Bomet, Kericho, Nakuru, Narok and Uasin Gichu",,,,,MAU FOREST,MAU FOREST,32,2 6.3,30 93.8,- -,- -,-,-,-,2,6.3,30,93.8,-,-,-,-,803,MAU FOREST,Male,28,1 3.6,27 96.4,- -,- -,-,-,-,1,3.6,27,96.4,-,-,-,-,803,MAU FOREST,Male,28,1 3.6,27 96.4,- -,- -,-,-,-,1,3.6,27,96.4,-,-,-,-,mau forest
31,Embu,Embu,14,Mbeere north,mbeere north,MBEERE NORTH,MBEERE NORTH,"101,440","42,114 41.5","24,381 24.0","23,643 23.3","10,842 10.7",455,0.4,5,"42,114",41.5,"24,381",24,"23,643",23.3,"10,842",10.7,299,MBEERE NORTH,Male,"49,760","21,276 42.8","12,235 24.6","11,842 23.8","4,131 8.3",275,0.6,1,"21,276",42.8,"12,235",24.6,"11,842",23.8,"4,131",8.3,299,MBEERE NORTH,Male,"49,760","21,276 42.8","12,235 24.6","11,842 23.8","4,131 8.3",275,0.6,1,"21,276",42.8,"12,235",24.6,"11,842",23.8,"4,131",8.3,mbeere north
32,Embu,Embu,14,Mbeere south,mbeere south,MBEERE SOUTH,MBEERE SOUTH,"152,697","58,147 38.1","45,348 29.7","34,852 22.8","13,558 8.9",762,0.5,30,"58,147",38.1,"45,348",29.7,"34,852",22.8,"13,558",8.9,296,MBEERE SOUTH,Male,"77,699","29,539 38.0","23,666 30.5","18,558 23.9","5,383 6.9",539,0.7,14,"29,539",38,"23,666",30.5,"18,558",23.9,"5,383",6.9,296,MBEERE SOUTH,Male,"77,699","29,539 38.0","23,666 30.5","18,558 23.9","5,383 6.9",539,0.7,14,"29,539",38,"23,666",30.5,"18,558",23.9,"5,383",6.9,mbeere south
416,Makueni,Wote,17,Mbooni east,mbooni east,MBOONI EAST,MBOONI EAST,"92,210","39,608 43.0","26,985 29.3","16,829 18.3","7,480 8.1","1,305",1.4,3,"39,608",43,"26,985",29.3,"16,829",18.3,"7,480",8.1,410,MBOONI EAST,Male,"45,311","20,632 45.5","13,134 29.0","8,175 18.0","2,633 5.8",736,1.6,1,"20,632",45.5,"13,134",29,"8,175",18,"2,633",5.8,410,MBOONI EAST,Male,"45,311","20,632 45.5","13,134 29.0","8,175 18.0","2,633 5.8",736,1.6,1,"20,632",45.5,"13,134",29,"8,175",18,"2,633",5.8,mbooni east
417,Makueni,Wote,17,Mbooni west,mbooni west,MBOONI WEST,MBOONI WEST,"96,464","42,564 44.1","27,054 28.0","18,984 19.7","6,328 6.6","1,526",1.6,8,"42,564",44.1,"27,054",28,"18,984",19.7,"6,328",6.6,413,MBOONI WEST,Male,"46,405","21,819 47.0","12,650 27.3","8,935 19.3","2,246 4.8",752,1.6,3,"21,819",47,"12,650",27.3,"8,935",19.3,"2,246",4.8,413,MBOONI WEST,Male,"46,405","21,819 47.0","12,650 27.3","8,935 19.3","2,246 4.8",752,1.6,3,"21,819",47,"12,650",27.3,"8,935",19.3,"2,246",4.8,mbooni west
358,Isiolo,Isiolo,11,Merti,merti,MERTI,MERTI,"42,604","13,212 31.0","2,963 7.0","1,597 3.7","24,644 57.8",188,0.4,-,"13,212",31,"2,963",7,"1,597",3.7,"24,644",57.8,218,MERTI,Male,"22,185","6,570 29.6","1,848 8.3",911 4.1,"12,741 57.4",115,0.5,-,"6,570",29.6,"1,848",8.3,911,4.1,"12,741",57.4,218,MERTI,Male,"22,185","6,570 29.6","1,848 8.3",911 4.1,"12,741 57.4",115,0.5,-,"6,570",29.6,"1,848",8.3,911,4.1,"12,741",57.4,merti
359,Meru,Meru,12,,,MERU,MERU,"1,436,400","554,475 38.6","360,142 25.1","301,441 21.0","205,961 14.3","13,999",1,382,"554,475",38.6,"360,142",25.1,"301,441",21,"205,961",14.3,221,MERU,Male,"711,224","277,202 39.0","179,720 25.3","153,600 21.6","92,010 12.9","8,488",1.2,204,"277,202",39,"179,720",25.3,"153,600",21.6,"92,010",12.9,221,MERU,Male,"711,224","277,202 39.0","179,720 25.3","153,600 21.6","92,010 12.9","8,488",1.2,204,"277,202",39,"179,720",25.3,"153,600",21.6,"92,010",12.9,meru
362,Meru,Meru,12,Meru central,meru central,MERU CENTRAL,MERU CENTRAL,"125,670","44,995 35.8","44,593 35.5","24,179 19.2","11,085 8.8",767,0.6,51,"44,995",35.8,"44,593",35.5,"24,179",19.2,"11,085",8.8,245,MERU CENTRAL,Male,"62,757","22,798 36.3","22,862 36.4","12,397 19.8","4,212 6.7",463,0.7,25,"22,798",36.3,"22,862",36.4,"12,397",19.8,"4,212",6.7,245,MERU CENTRAL,Male,"62,757","22,798 36.3","22,862 36.4","12,397 19.8","4,212 6.7",463,0.7,25,"22,798",36.3,"22,862",36.4,"12,397",19.8,"4,212",6.7,meru central
364,Meru,Meru,12,Meru national,meru national,MERU NATIONAL PARK,MERU NATIONAL PARK,294,44 15.0,229 77.9,6 2.0,15 5.1,-,-,-,44,15,229,77.9,6,2,15,5.1,257,MERU NATIONAL PARK,Male,219,21 9.6,184 84.0,5 2.3,9 4.1,-,-,-,21,9.6,184,84,5,2.3,9,4.1,257,MERU NATIONAL PARK,Male,219,21 9.6,184 84.0,5 2.3,9 4.1,-,-,-,21,9.6,184,84,5,2.3,9,4.1,meru national park
392,Meru,Meru,12,Meru south,meru south,MERU SOUTH,MERU SOUTH,"85,236","30,872 36.2","29,636 34.8","18,458 21.7","5,550 6.5",699,0.8,21,"30,872",36.2,"29,636",34.8,"18,458",21.7,"5,550",6.5,272,MERU SOUTH,Male,"41,988","15,688 37.4","14,662 34.9","9,028 21.5","2,180 5.2",420,1,10,"15,688",37.4,"14,662",34.9,"9,028",21.5,"2,180",5.2,272,MERU SOUTH,Male,"41,988","15,688 37.4","14,662 34.9","9,028 21.5","2,180 5.2",420,1,10,"15,688",37.4,"14,662",34.9,"9,028",21.5,"2,180",5.2,meru south
519,Migori,Migori,44,,,MIGORI,MIGORI,"1,016,399","522,757 51.4","171,900 16.9","197,075 19.4","114,682 11.3","9,774",1,211,"522,757",51.4,"171,900",16.9,"197,075",19.4,"114,682",11.3,1064,MIGORI,Male,"486,357","265,417 54.6","88,443 18.2","81,365 16.7","46,115 9.5","4,923",1,94,"265,417",54.6,"88,443",18.2,"81,365",16.7,"46,115",9.5,1064,MIGORI,Male,"486,357","265,417 54.6","88,443 18.2","81,365 16.7","46,115 9.5","4,923",1,94,"265,417",54.6,"88,443",18.2,"81,365",16.7,"46,115",9.5,migori
123,Kitui,Kitui,15,Migwani,migwani,MIGWANI,MIGWANI,"73,803","33,664 45.6","23,025 31.2","8,964 12.1","7,271 9.9",855,1.2,24,"33,664",45.6,"23,025",31.2,"8,964",12.1,"7,271",9.9,332,MIGWANI,Male,"34,807","17,222 49.5","10,355 29.7","4,174 12.0","2,596 7.5",447,1.3,13,"17,222",49.5,"10,355",29.7,"4,174",12,"2,596",7.5,332,MIGWANI,Male,"34,807","17,222 49.5","10,355 29.7","4,174 12.0","2,596 7.5",447,1.3,13,"17,222",49.5,"10,355",29.7,"4,174",12,"2,596",7.5,migwani
422,Nyandarua,Ol Kalou,18,Mirangine,mirangine,MIRANGINE,MIRANGINE,"62,731","26,957 43.0","19,491 31.1","11,511 18.3","4,621 7.4",144,0.2,7,"26,957",43,"19,491",31.1,"11,511",18.3,"4,621",7.4,431,MIRANGINE,Male,"31,220","13,817 44.3","9,849 31.5","5,630 18.0","1,833 5.9",88,0.3,3,"13,817",44.3,"9,849",31.5,"5,630",18,"1,833",5.9,431,MIRANGINE,Male,"31,220","13,817 44.3","9,849 31.5","5,630 18.0","1,833 5.9",88,0.3,3,"13,817",44.3,"9,849",31.5,"5,630",18,"1,833",5.9,mirangine
4,Baringo,Kabarnet,30,Mogotio,mogotio,MOGOTIO,MOGOTIO,"83,716","41,411 49.5","19,335 23.1","12,127 14.5","9,945 11.9",897,1.1,1,"41,411",49.5,"19,335",23.1,"12,127",14.5,"9,945",11.9,722,MOGOTIO,Male,"42,194","21,210 50.3","9,986 23.7","6,051 14.3","4,440 10.5",506,1.2,1,"21,210",50.3,"9,986",23.7,"6,051",14.3,"4,440",10.5,722,MOGOTIO,Male,"42,194","21,210 50.3","9,986 23.7","6,051 14.3","4,440 10.5",506,1.2,1,"21,210",50.3,"9,986",23.7,"6,051",14.3,"4,440",10.5,mogotio
294,Uasin Gishu,Eldoret,27,Moiben,moiben,MOIBEN,MOIBEN,"165,378","73,257 44.3","54,495 33.0","24,508 14.8","11,894 7.2","1,209",0.7,15,"73,257",44.3,"54,495",33,"24,508",14.8,"11,894",7.2,659,MOIBEN,Male,"81,639","36,585 44.8","27,183 33.3","11,710 14.3","5,532 6.8",623,0.8,6,"36,585",44.8,"27,183",33.3,"11,710",14.3,"5,532",6.8,659,MOIBEN,Male,"81,639","36,585 44.8","27,183 33.3","11,710 14.3","5,532 6.8",623,0.8,6,"36,585",44.8,"27,183",33.3,"11,710",14.3,"5,532",6.8,moiben
221,Nakuru,Nakuru,32,Molo,molo,MOLO,MOLO,"144,889","65,127 44.9","40,347 27.8","26,991 18.6","11,108 7.7","1,311",0.9,5,"65,127",44.9,"40,347",27.8,"26,991",18.6,"11,108",7.7,758,MOLO,Male,"72,141","33,330 46.2","20,721 28.7","12,707 17.6","4,639 6.4",742,1,2,"33,330",46.2,"20,721",28.7,"12,707",17.6,"4,639",6.4,758,MOLO,Male,"72,141","33,330 46.2","20,721 28.7","12,707 17.6","4,639 6.4",742,1,2,"33,330",46.2,"20,721",28.7,"12,707",17.6,"4,639",6.4,molo
319,Mombasa,Mombasa City,1,,,MOMBASA,MOMBASA,"1,100,173","378,423 34.4","457,603 41.6","153,982 14.0","101,097 9.2","8,817",0.8,251,"378,423",34.4,"457,603",41.6,"153,982",14,"101,097",9.2,5,MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135,"189,490",34.3,"243,173",44,"74,382",13.5,"40,253",7.3,5,MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135,"189,490",34.3,"243,173",44,"74,382",13.5,"40,253",7.3,mombasa
165,Marsabit,Marsabit,10,Moyale,moyale,MOYALE,MOYALE,"97,766","32,258 33.0","6,761 6.9","4,004 4.1","54,087 55.3",645,0.7,11,"32,258",33,"6,761",6.9,"4,004",4.1,"54,087",55.3,200,MOYALE,Male,"50,613","17,428 34.4","4,279 8.5","2,311 4.6","26,273 51.9",316,0.6,6,"17,428",34.4,"4,279",8.5,"2,311",4.6,"26,273",51.9,200,MOYALE,Male,"50,613","17,428 34.4","4,279 8.5","2,311 4.6","26,273 51.9",316,0.6,6,"17,428",34.4,"4,279",8.5,"2,311",4.6,"26,273",51.9,moyale
133,Kwale,Kwale,2,Msambweni,msambweni,MSAMBWENI,MSAMBWENI,"159,936","61,075 38.2","52,123 32.6","22,798 14.3","22,665 14.2","1,245",0.8,30,"61,075",38.2,"52,123",32.6,"22,798",14.3,"22,665",14.2,38,MSAMBWENI,Male,"80,181","30,868 38.5","28,037 35.0","11,099 13.8","9,381 11.7",777,1,19,"30,868",38.5,"28,037",35,"11,099",13.8,"9,381",11.7,38,MSAMBWENI,Male,"80,181","30,868 38.5","28,037 35.0","11,099 13.8","9,381 11.7",777,1,19,"30,868",38.5,"28,037",35,"11,099",13.8,"9,381",11.7,msambweni
499,"Trans-Nzoia, Bungoma",,,,,MT. ELGON,MT. ELGON,"72,721","38,081 52.4","10,298 14.2","16,086 22.1","7,969 11.0",282,0.4,5,"38,081",52.4,"10,298",14.2,"16,086",22.1,"7,969",11,953,MT. ELGON,Male,"35,916","19,547 54.4","5,541 15.4","7,256 20.2","3,403 9.5",166,0.5,3,"19,547",54.4,"5,541",15.4,"7,256",20.2,"3,403",9.5,953,MT. ELGON,Male,"35,916","19,547 54.4","5,541 15.4","7,256 20.2","3,403 9.5",166,0.5,3,"19,547",54.4,"5,541",15.4,"7,256",20.2,"3,403",9.5,mt. elgon
501,"Trans-Nzoia, Bungoma",,,,,MT. ELGON FOREST,MT. ELGON FOREST,"3,264","1,548 47.4",162 5.0,892 27.3,648 19.9,14,0.4,-,"1,548",47.4,162,5,892,27.3,648,19.9,965,MT. ELGON FOREST,Male,"1,698",833 49.1,87 5.1,475 28.0,295 17.4,8,0.5,-,833,49.1,87,5.1,475,28,295,17.4,965,MT. ELGON FOREST,Male,"1,698",833 49.1,87 5.1,475 28.0,295 17.4,8,0.5,-,833,49.1,87,5.1,475,28,295,17.4,mt. elgon forest
365,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40,162,36.7,85,19.2,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,mt. kenya forest
366,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40,162,36.7,85,19.2,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,mt. kenya forest
367,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40,162,36.7,85,19.2,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,mt. kenya forest
368,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40,162,36.7,85,19.2,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,mt. kenya forest
369,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40,162,36.7,85,19.2,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,mt. kenya forest
