,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
500,Bungoma,Bungoma,39,Bungoma West,bungoma west,BUNGOMA WEST,BUNGOMA WEST,"110,636","56,958 51.5","15,814 14.3","25,555 23.1","11,050 10.0","1,228",1.1,31,"56,958",51.5,"15,814",14.3,"25,555",23.1,"11,050",10,956,BUNGOMA WEST,Male,"53,608","28,777 53.7","8,210 15.3","11,202 20.9","4,766 8.9",639,1.2,14,"28,777",53.7,"8,210",15.3,"11,202",20.9,"4,766",8.9,956,BUNGOMA WEST,Male,"53,608","28,777 53.7","8,210 15.3","11,202 20.9","4,766 8.9",639,1.2,14,"28,777",53.7,"8,210",15.3,"11,202",20.9,"4,766",8.9,bungoma west
506,Busia,Busia,40,Bunyala,bunyala,BUNYALA,BUNYALA,"79,588","38,459 48.3","12,582 15.8","18,852 23.7","8,892 11.2",797,1,6,"38,459",48.3,"12,582",15.8,"18,852",23.7,"8,892",11.2,971,BUNYALA,Male,"38,196","19,533 51.1","6,901 18.1","8,366 21.9","2,952 7.7",441,1.2,3,"19,533",51.1,"6,901",18.1,"8,366",21.9,"2,952",7.7,971,BUNYALA,Male,"38,196","19,533 51.1","6,901 18.1","8,366 21.9","2,952 7.7",441,1.2,3,"19,533",51.1,"6,901",18.1,"8,366",21.9,"2,952",7.7,bunyala
77,Kericho,Kericho,35,Bureti,bureti,BURETI,BURETI,"185,127","86,254 46.6","41,491 22.4","42,406 22.9","13,669 7.4","1,290",0.7,17,"86,254",46.6,"41,491",22.4,"42,406",22.9,"13,669",7.4,833,BURETI,Male,"91,535","43,631 47.7","21,617 23.6","19,708 21.5","5,924 6.5",646,0.7,9,"43,631",47.7,"21,617",23.6,"19,708",21.5,"5,924",6.5,833,BURETI,Male,"91,535","43,631 47.7","21,617 23.6","19,708 21.5","5,924 6.5",646,0.7,9,"43,631",47.7,"21,617",23.6,"19,708",21.5,"5,924",6.5,bureti
502,Busia,Busia,40,,,BUSIA,BUSIA,"820,788","405,072 49.4","136,790 16.7","170,347 20.8","102,993 12.5","5,512",0.7,74,"405,072",49.4,"136,790",16.7,"170,347",20.8,"102,993",12.5,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18,"73,630",18.9,"39,069",10,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18,"73,630",18.9,"39,069",10,busia
503,Busia,Busia,40,,,BUSIA,BUSIA,"820,788","405,072 49.4","136,790 16.7","170,347 20.8","102,993 12.5","5,512",0.7,74,"405,072",49.4,"136,790",16.7,"170,347",20.8,"102,993",12.5,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,busia
504,Busia,Busia,40,,,BUSIA,BUSIA,"128,002","60,486 47.3","25,528 19.9","25,909 20.2","15,031 11.7","1,010",0.8,38,"60,486",47.3,"25,528",19.9,"25,909",20.2,"15,031",11.7,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18,"73,630",18.9,"39,069",10,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18,"73,630",18.9,"39,069",10,busia
505,Busia,Busia,40,,,BUSIA,BUSIA,"128,002","60,486 47.3","25,528 19.9","25,909 20.2","15,031 11.7","1,010",0.8,38,"60,486",47.3,"25,528",19.9,"25,909",20.2,"15,031",11.7,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,busia
62,Kakamega,Kakamega,37,Butere,butere,BUTERE,BUTERE,"143,388","70,109 48.9","26,340 18.4","29,273 20.4","16,847 11.7",806,0.6,13,"70,109",48.9,"26,340",18.4,"29,273",20.4,"16,847",11.7,869,BUTERE,Male,"68,366","35,289 51.6","12,891 18.9","13,115 19.2","6,656 9.7",408,0.6,7,"35,289",51.6,"12,891",18.9,"13,115",19.2,"6,656",9.7,869,BUTERE,Male,"68,366","35,289 51.6","12,891 18.9","13,115 19.2","6,656 9.7",408,0.6,7,"35,289",51.6,"12,891",18.9,"13,115",19.2,"6,656",9.7,butere
21,Busia,Busia,40,Butula,butula,BUTULA,BUTULA,"129,739","65,364 50.4","19,817 15.3","23,655 18.2","20,108 15.5",792,0.6,3,"65,364",50.4,"19,817",15.3,"23,655",18.2,"20,108",15.5,977,BUTULA,Male,"59,856","32,668 54.6","9,489 15.9","9,782 16.3","7,512 12.6",403,0.7,2,"32,668",54.6,"9,489",15.9,"9,782",16.3,"7,512",12.6,977,BUTULA,Male,"59,856","32,668 54.6","9,489 15.9","9,782 16.3","7,512 12.6",403,0.7,2,"32,668",54.6,"9,489",15.9,"9,782",16.3,"7,512",12.6,butula
360,Meru,Meru,12,Buuri East,buuri east,BUURI EAST,BUURI EAST,"71,784","25,158 35.0","26,395 36.8","13,320 18.6","6,405 8.9",474,0.7,32,"25,158",35,"26,395",36.8,"13,320",18.6,"6,405",8.9,224,BUURI EAST,Male,"35,691","12,796 35.9","13,183 36.9","6,793 19.0","2,551 7.1",350,1,18,"12,796",35.9,"13,183",36.9,"6,793",19,"2,551",7.1,224,BUURI EAST,Male,"35,691","12,796 35.9","13,183 36.9","6,793 19.0","2,551 7.1",350,1,18,"12,796",35.9,"13,183",36.9,"6,793",19,"2,551",7.1,buuri east
361,Meru,Meru,12,Buuri West,buuri west,BUURI WEST,BUURI WEST,"75,344","26,396 35.0","28,001 37.2","14,238 18.9","6,250 8.3",451,0.6,8,"26,396",35,"28,001",37.2,"14,238",18.9,"6,250",8.3,227,BUURI WEST,Male,"37,726","13,326 35.3","14,054 37.3","7,255 19.2","2,784 7.4",304,0.8,3,"13,326",35.3,"14,054",37.3,"7,255",19.2,"2,784",7.4,227,BUURI WEST,Male,"37,726","13,326 35.3","14,054 37.3","7,255 19.2","2,784 7.4",304,0.8,3,"13,326",35.3,"14,054",37.3,"7,255",19.2,"2,784",7.4,buuri west
186,Mombasa,Mombasa City,1,Changamwe,changamwe,CHANGAMWE,CHANGAMWE,"121,334","39,032 32.2","58,097 47.9","16,205 13.4","6,940 5.7","1,048",0.9,12,"39,032",32.2,"58,097",47.9,"16,205",13.4,"6,940",5.7,8,CHANGAMWE,Male,"63,184","19,482 30.8","31,918 50.5","8,157 12.9","2,976 4.7",647,1,4,"19,482",30.8,"31,918",50.5,"8,157",12.9,"2,976",4.7,8,CHANGAMWE,Male,"63,184","19,482 30.8","31,918 50.5","8,157 12.9","2,976 4.7",647,1,4,"19,482",30.8,"31,918",50.5,"8,157",12.9,"2,976",4.7,changamwe
