,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_at_school_or_learning_institution_number_and_percent,female_after_completion_number_and_percent,female_before_completion_number_and_percent,female_never_been_to_school_or_learning_institution_number_and_percent,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct
540,GATUNDU SOUTH,Female,"57,941","19,470 33.6","21,209 36.6","11,408 19.7","5,490 9.5",339,0.6,25,"19,470",33.6,"21,209",36.6,"11,408",19.7,"5,490",9.5
543,GITHUNGURI,Female,"78,164","26,515 33.9","30,916 39.6","14,538 18.6","5,884 7.5",302,0.4,9,"26,515",33.9,"30,916",39.6,"14,538",18.6,"5,884",7.5
546,JUJA,Female,"140,658","50,944 36.2","64,483 45.8","19,268 13.7","5,238 3.7",689,0.5,36,"50,944",36.2,"64,483",45.8,"19,268",13.7,"5,238",3.7
549,KABETE,Female,"94,478","31,246 33.1","44,969 47.6","13,819 14.6","3,893 4.1",527,0.6,24,"31,246",33.1,"44,969",47.6,"13,819",14.6,"3,893",4.1
552,KIAMBAA,Female,"111,530","36,121 32.4","52,372 47.0","16,658 14.9","5,636 5.1",704,0.6,39,"36,121",32.4,"52,372",47.0,"16,658",14.9,"5,636",5.1
555,KIAMBU,Female,"70,464","22,402 31.8","34,013 48.3","10,203 14.5","3,392 4.8",425,0.6,29,"22,402",31.8,"34,013",48.3,"10,203",14.5,"3,392",4.8
558,KIKUYU,Female,"89,226","29,957 33.6","42,129 47.2","12,681 14.2","4,098 4.6",353,0.4,8,"29,957",33.6,"42,129",47.2,"12,681",14.2,"4,098",4.6
561,LARI,Female,"63,454","23,410 36.9","22,329 35.2","12,661 20.0","4,730 7.5",319,0.5,5,"23,410",36.9,"22,329",35.2,"12,661",20.0,"4,730",7.5
564,LIMURU,Female,"73,559","26,323 35.8","30,355 41.3","11,985 16.3","4,607 6.3",280,0.4,9,"26,323",35.8,"30,355",41.3,"11,985",16.3,"4,607",6.3
567,RUIRU,Female,"175,406","59,195 33.7","86,158 49.1","23,108 13.2","5,730 3.3","1,180",0.7,35,"59,195",33.7,"86,158",49.1,"23,108",13.2,"5,730",3.3
570,THIKA EAST,Female,"17,743","6,410 36.1","6,456 36.4","3,583 20.2","1,231 6.9",58,0.3,5,"6,410",36.1,"6,456",36.4,"3,583",20.2,"1,231",6.9
573,THIKA WEST,Female,"114,110","39,597 34.7","55,694 48.8","14,595 12.8","3,817 3.3",381,0.3,26,"39,597",34.7,"55,694",48.8,"14,595",12.8,"3,817",3.3
576,TURKANA,Female,"412,311","85,746 20.8","11,986 2.9","14,409 3.5","290,531 70.5","9,282",2.3,357,"85,746",20.8,"11,986",2.9,"14,409",3.5,"290,531",70.5
579,KIBISH,Female,"16,564","1,060 6.4",58 0.4,148 0.9,"15,086 91.1",212,1.3,-,"1,060",6.4,58,0.4,148,0.9,"15,086",91.1
582,LOIMA,Female,"48,743","6,920 14.2",347 0.7,"1,006 2.1","39,350 80.7","1,067",2.2,53,"6,920",14.2,347,0.7,"1,006",2.1,"39,350",80.7
585,TURKANA CENTRAL,Female,"83,229","25,906 31.1","6,338 7.6","6,404 7.7","43,705 52.5",849,1,27,"25,906",31.1,"6,338",7.6,"6,404",7.7,"43,705",52.5
588,TURKANA EAST,Female,"57,908","7,424 12.8",955 1.6,845 1.5,"46,730 80.7","1,889",3.3,65,"7,424",12.8,955,1.6,845,1.5,"46,730",80.7
591,TURKANA NORTH,Female,"29,608","4,440 15.0",278 0.9,424 1.4,"23,770 80.3",694,2.3,2,"4,440",15.0,278,0.9,424,1.4,"23,770",80.3
594,TURKANA SOUTH,Female,"69,688","15,526 22.3","1,692 2.4","2,416 3.5","48,472 69.6","1,537",2.2,45,"15,526",22.3,"1,692",2.4,"2,416",3.5,"48,472",69.6
597,TURKANA WEST,Female,"106,571","24,470 23.0","2,318 2.2","3,166 3.0","73,418 68.9","3,034",2.8,165,"24,470",23.0,"2,318",2.2,"3,166",3.0,"73,418",68.9
600,WEST POKOT,Female,"280,844","115,287 41.1","16,108 5.7","28,666 10.2","117,846 42.0","2,882",1,55,"115,287",41.1,"16,108",5.7,"28,666",10.2,"117,846",42.0
603,KIPKOMO,Female,"46,268","23,865 51.6","2,841 6.1","6,287 13.6","12,902 27.9",373,0.8,-,"23,865",51.6,"2,841",6.1,"6,287",13.6,"12,902",27.9
606,POKOT CENTRAL,Female,"52,905","20,736 39.2","1,442 2.7","5,400 10.2","24,903 47.1",413,0.8,11,"20,736",39.2,"1,442",2.7,"5,400",10.2,"24,903",47.1
609,POKOT NORTH,Female,"61,672","13,447 21.8","1,152 1.9","1,866 3.0","44,666 72.4",508,0.8,33,"13,447",21.8,"1,152",1.9,"1,866",3.0,"44,666",72.4
612,POKOT SOUTH,Female,"36,775","20,605 56.0","2,218 6.0","5,121 13.9","8,276 22.5",555,1.5,-,"20,605",56.0,"2,218",6.0,"5,121",13.9,"8,276",22.5
615,WEST POKOT,Female,"83,224","36,634 44.0","8,455 10.2","9,992 12.0","27,099 32.6","1,033",1.2,11,"36,634",44.0,"8,455",10.2,"9,992",12.0,"27,099",32.6
618,SAMBURU,Female,"138,814","40,515 29.2","8,482 6.1","6,141 4.4","82,661 59.5",999,0.7,16,"40,515",29.2,"8,482",6.1,"6,141",4.4,"82,661",59.5
621,SAMBURU CENTRAL,Female,"73,618","25,920 35.2","5,696 7.7","4,078 5.5","37,241 50.6",672,0.9,11,"25,920",35.2,"5,696",7.7,"4,078",5.5,"37,241",50.6
624,SAMBURU EAST,Female,"35,896","8,301 23.1","1,976 5.5","1,322 3.7","24,129 67.2",167,0.5,1,"8,301",23.1,"1,976",5.5,"1,322",3.7,"24,129",67.2
627,SAMBURU NORTH,Female,"29,300","6,294 21.5",810 2.8,741 2.5,"21,291 72.7",160,0.5,4,"6,294",21.5,810,2.8,741,2.5,"21,291",72.7
630,TRANS NZOIA,Female,"462,701","216,747 46.8","85,175 18.4","105,011 22.7","51,537 11.1","4,195",0.9,36,"216,747",46.8,"85,175",18.4,"105,011",22.7,"51,537",11.1
633,TRANS NZOIA WEST,Female,"92,883","43,011 46.3","17,666 19.0","22,187 23.9","9,072 9.8",928,1,19,"43,011",46.3,"17,666",19.0,"22,187",23.9,"9,072",9.8
636,TRANS NZOIA EAST,Female,"107,693","51,600 47.9","19,973 18.5","22,770 21.1","12,102 11.2","1,240",1.2,8,"51,600",47.9,"19,973",18.5,"22,770",21.1,"12,102",11.2
639,KWANZA,Female,"95,931","44,758 46.7","17,071 17.8","20,718 21.6","12,314 12.8","1,067",1.1,3,"44,758",46.7,"17,071",17.8,"20,718",21.6,"12,314",12.8
642,ENDEBESS,Female,"50,999","24,361 47.8","5,378 10.5","13,417 26.3","7,610 14.9",232,0.5,1,"24,361",47.8,"5,378",10.5,"13,417",26.3,"7,610",14.9
645,KIMININI,Female,"115,195","53,017 46.0","25,087 21.8","25,919 22.5","10,439 9.1",728,0.6,5,"53,017",46.0,"25,087",21.8,"25,919",22.5,"10,439",9.1
648,UASIN GISHU,Female,"538,543","238,555 44.3","157,748 29.3","94,766 17.6","43,731 8.1","3,673",0.7,70,"238,555",44.3,"157,748",29.3,"94,766",17.6,"43,731",8.1
651,AINABKOI,Female,"64,683","28,931 44.7","20,782 32.1","9,222 14.3","5,416 8.4",326,0.5,6,"28,931",44.7,"20,782",32.1,"9,222",14.3,"5,416",8.4
654,KAPSERET,Female,"91,436","39,017 42.7","31,080 34.0","15,551 17.0","5,180 5.7",583,0.6,25,"39,017",42.7,"31,080",34.0,"15,551",17.0,"5,180",5.7
657,KESSES,Female,"69,000","31,962 46.3","18,242 26.4","11,974 17.4","6,533 9.5",283,0.4,6,"31,962",46.3,"18,242",26.4,"11,974",17.4,"6,533",9.5
660,MOIBEN,Female,"83,737","36,672 43.8","27,310 32.6","12,798 15.3","6,362 7.6",586,0.7,9,"36,672",43.8,"27,310",32.6,"12,798",15.3,"6,362",7.6
663,SOY,Female,"106,521","49,326 46.3","24,251 22.8","22,259 20.9","9,816 9.2",859,0.8,10,"49,326",46.3,"24,251",22.8,"22,259",20.9,"9,816",9.2
666,TURBO,Female,"123,166","52,647 42.7","36,083 29.3","22,962 18.6","10,424 8.5","1,036",0.8,14,"52,647",42.7,"36,083",29.3,"22,962",18.6,"10,424",8.5
669,ELGEYO/MARAKWET,Female,"209,602","100,663 48.0","44,886 21.4","33,847 16.1","28,423 13.6","1,751",0.8,32,"100,663",48.0,"44,886",21.4,"33,847",16.1,"28,423",13.6
672,KEIYO NORTH,Female,"45,863","21,128 46.1","13,640 29.7","6,642 14.5","4,205 9.2",239,0.5,9,"21,128",46.1,"13,640",29.7,"6,642",14.5,"4,205",9.2
675,KEIYO SOUTH,Female,"55,639","26,348 47.4","14,264 25.6","8,650 15.5","5,515 9.9",851,1.5,11,"26,348",47.4,"14,264",25.6,"8,650",15.5,"5,515",9.9
678,MARAKWET EAST,Female,"45,188","22,878 50.6","5,569 12.3","6,702 14.8","9,874 21.9",165,0.4,-,"22,878",50.6,"5,569",12.3,"6,702",14.8,"9,874",21.9
681,MARAKWET WEST,Female,"62,912","30,309 48.2","11,413 18.1","11,853 18.8","8,829 14.0",496,0.8,12,"30,309",48.2,"11,413",18.1,"11,853",18.8,"8,829",14.0
684,NANDI,Female,"413,163","191,303 46.3","81,621 19.8","97,879 23.7","39,007 9.4","3,321",0.8,32,"191,303",46.3,"81,621",19.8,"97,879",23.7,"39,007",9.4
687,CHESUMEI,Female,"77,221","34,308 44.4","18,921 24.5","17,223 22.3","6,146 8.0",622,0.8,1,"34,308",44.4,"18,921",24.5,"17,223",22.3,"6,146",8.0
690,NANDI CENTRAL,Female,"69,013","30,860 44.7","15,816 22.9","15,237 22.1","6,625 9.6",475,0.7,-,"30,860",44.7,"15,816",22.9,"15,237",22.1,"6,625",9.6
693,NANDI EAST,Female,"55,155","25,492 46.2","11,241 20.4","13,143 23.8","5,058 9.2",201,0.4,20,"25,492",46.2,"11,241",20.4,"13,143",23.8,"5,058",9.2
696,NANDI NORTH,Female,"77,867","36,809 47.3","13,325 17.1","19,305 24.8","7,344 9.4","1,079",1.4,5,"36,809",47.3,"13,325",17.1,"19,305",24.8,"7,344",9.4
699,NANDI SOUTH,Female,"81,151","38,127 47.0","15,040 18.5","19,465 24.0","8,136 10.0",379,0.5,4,"38,127",47.0,"15,040",18.5,"19,465",24.0,"8,136",10.0
702,TINDERET,Female,"52,756","25,707 48.7","7,278 13.8","13,506 25.6","5,698 10.8",565,1.1,2,"25,707",48.7,"7,278",13.8,"13,506",25.6,"5,698",10.8
705,BARINGO,Female,"302,842","123,075 40.6","59,832 19.8","34,871 11.5","81,964 27.1","3,074",1,26,"123,075",40.6,"59,832",19.8,"34,871",11.5,"81,964",27.1
708,BARINGO CENTRAL,Female,"45,096","21,030 46.6","14,451 32.0","5,154 11.4","4,192 9.3",268,0.6,1,"21,030",46.6,"14,451",32.0,"5,154",11.4,"4,192",9.3
711,BARINGO NORTH,Female,"48,459","23,087 47.6","10,390 21.4","6,794 14.0","7,538 15.6",648,1.3,2,"23,087",47.6,"10,390",21.4,"6,794",14.0,"7,538",15.6
714,EAST POKOT,Female,"36,182","5,829 16.1",657 1.8,501 1.4,"28,590 79.0",602,1.7,3,"5,829",16.1,657,1.8,501,1.4,"28,590",79.0
717,KOIBATEK,Female,"59,523","27,484 46.2","17,992 30.2","9,420 15.8","4,206 7.1",416,0.7,5,"27,484",46.2,"17,992",30.2,"9,420",15.8,"4,206",7.1
720,MARIGAT,Female,"40,502","19,792 48.9","6,394 15.8","6,187 15.3","7,747 19.1",378,0.9,4,"19,792",48.9,"6,394",15.8,"6,187",15.3,"7,747",19.1
723,MOGOTIO,Female,"41,520","20,199 48.6","9,349 22.5","6,076 14.6","5,505 13.3",391,0.9,-,"20,199",48.6,"9,349",22.5,"6,076",14.6,"5,505",13.3
