,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
206,346,Mandera,Mandera,9.0,Mandera,mandera,MANDERA,MANDERA,"775,085","21,776",2.8,138,"168,647",21.8,"21,483",2.8,"7,222",0.9,"555,819",71.7,161,MANDERA,Male,"391,182","90,664 23.2","14,204 3.6","4,118 1.1","271,252 69.3","10,871",2.8,73,"90,664",23.2,"14,204",3.6,"4,118",1.1,"271,252",69.3,161,MANDERA,Male,"391,182","90,664 23.2","14,204 3.6","4,118 1.1","271,252 69.3","10,871",2.8,73,"90,664",23.2,"14,204",3.6,"4,118",1.1,"271,252",69.3,mandera
216,350,Marsabit,Marsabit,10.0,,,MARSABIT,MARSABIT,"409,629","3,335",0.8,216,"108,132",26.4,"25,727",6.3,"12,494",3.1,"259,725",63.4,185,MARSABIT,Male,"215,220","55,636 25.9","16,016 7.4","7,160 3.3","134,525 62.5","1,773",0.8,110,"55,636",25.9,"16,016",7.4,"7,160",3.3,"134,525",62.5,185,MARSABIT,Male,"215,220","55,636 25.9","16,016 7.4","7,160 3.3","134,525 62.5","1,773",0.8,110,"55,636",25.9,"16,016",7.4,"7,160",3.3,"134,525",62.5,marsabit
240,359,Meru,Meru,12.0,,,MERU,MERU,"1,436,400","13,999",1,382,"554,475",38.6,"360,142",25.1,"301,441",21,"205,961",14.3,221,MERU,Male,"711,224","277,202 39.0","179,720 25.3","153,600 21.6","92,010 12.9","8,488",1.2,204,"277,202",39,"179,720",25.3,"153,600",21.6,"92,010",12.9,221,MERU,Male,"711,224","277,202 39.0","179,720 25.3","153,600 21.6","92,010 12.9","8,488",1.2,204,"277,202",39,"179,720",25.3,"153,600",21.6,"92,010",12.9,meru
244,519,Migori,Migori,44.0,,,MIGORI,MIGORI,"1,016,399","9,774",1,211,"522,757",51.4,"171,900",16.9,"197,075",19.4,"114,682",11.3,1064,MIGORI,Male,"486,357","265,417 54.6","88,443 18.2","81,365 16.7","46,115 9.5","4,923",1,94,"265,417",54.6,"88,443",18.2,"81,365",16.7,"46,115",9.5,1064,MIGORI,Male,"486,357","265,417 54.6","88,443 18.2","81,365 16.7","46,115 9.5","4,923",1,94,"265,417",54.6,"88,443",18.2,"81,365",16.7,"46,115",9.5,migori
250,319,Mombasa,Mombasa City,1.0,,,MOMBASA,MOMBASA,"1,100,173","8,817",0.8,251,"378,423",34.4,"457,603",41.6,"153,982",14,"101,097",9.2,5,MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135,"189,490",34.3,"243,173",44.0,"74,382",13.5,"40,253",7.3,5,MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135,"189,490",34.3,"243,173",44.0,"74,382",13.5,"40,253",7.3,mombasa
285,436,Murang'a,Murang'a,21.0,Murang'a,murang'a,MURANG'A,MURANG'A,"988,224","4,133",0.4,143,"358,844",36.3,"358,964",36.3,"193,814",19.6,"72,326",7.3,503,MURANG'A,Male,"488,689","184,250 37.7","182,572 37.4","93,190 19.1","26,285 5.4","2,319",0.5,73,"184,250",37.7,"182,572",37.4,"93,190",19.1,"26,285",5.4,503,MURANG'A,Male,"488,689","184,250 37.7","182,572 37.4","93,190 19.1","26,285 5.4","2,319",0.5,73,"184,250",37.7,"182,572",37.4,"93,190",19.1,"26,285",5.4,murang'a
300,466,Nakuru,Nakuru,32.0,,,NAKURU,NAKURU,"1,981,598","16,450",0.8,319,"843,280",42.6,"652,319",32.9,"322,032",16.3,"147,198",7.4,746,NAKURU,Male,"982,910","429,850 43.7","330,145 33.6","150,063 15.3","63,298 6.4","9,390",1,164,"429,850",43.7,"330,145",33.6,"150,063",15.3,"63,298",6.4,746,NAKURU,Male,"982,910","429,850 43.7","330,145 33.6","150,063 15.3","63,298 6.4","9,390",1,164,"429,850",43.7,"330,145",33.6,"150,063",15.3,"63,298",6.4,nakuru
305,453,Nandi,Kapsabet,29.0,,,NANDI,NANDI,"822,163","7,242",0.9,80,"390,831",47.5,"166,706",20.3,"186,639",22.7,"70,665",8.6,683,NANDI,Male,"408,980","199,523 48.8","85,080 20.8","88,754 21.7","31,654 7.7","3,921",1,48,"199,523",48.8,"85,080",20.8,"88,754",21.7,"31,654",7.7,683,NANDI,Male,"408,980","199,523 48.8","85,080 20.8","88,754 21.7","31,654 7.7","3,921",1,48,"199,523",48.8,"85,080",20.8,"88,754",21.7,"31,654",7.7,nandi
310,470,Narok,Narok,33.0,,,NAROK,NAROK,"1,044,966","10,856",1,185,"481,160",46,"120,221",11.5,"149,044",14.3,"283,500",27.1,782,NAROK,Male,"520,523","248,214 47.7","66,633 12.8","70,531 13.6","128,801 24.7","6,235",1.2,109,"248,214",47.7,"66,633",12.8,"70,531",13.6,"128,801",24.7,782,NAROK,Male,"520,523","248,214 47.7","66,633 12.8","70,531 13.6","128,801 24.7","6,235",1.2,109,"248,214",47.7,"66,633",12.8,"70,531",13.6,"128,801",24.7,narok
324,533,Nyamira,Nyamira,46.0,,,NYAMIRA,NYAMIRA,"566,741","3,431",0.6,54,"260,426",46,"129,917",22.9,"111,433",19.7,"61,480",10.8,1127,NYAMIRA,Male,"271,344","132,577 48.9","65,482 24.1","47,174 17.4","24,389 9.0","1,701",0.6,21,"132,577",48.9,"65,482",24.1,"47,174",17.4,"24,389",9,1127,NYAMIRA,Male,"271,344","132,577 48.9","65,482 24.1","47,174 17.4","24,389 9.0","1,701",0.6,21,"132,577",48.9,"65,482",24.1,"47,174",17.4,"24,389",9,nyamira
327,420,Nyandarua,Ol Kalou,18.0,,,NYANDARUA,NYANDARUA,"594,649","1,836",0.3,66,"249,756",42,"199,054",33.5,"105,160",17.7,"38,777",6.5,422,NYANDARUA,Male,"292,917","128,283 43.8","98,748 33.7","50,160 17.1","14,653 5.0","1,041",0.4,32,"128,283",43.8,"98,748",33.7,"50,160",17.1,"14,653",5,422,NYANDARUA,Male,"292,917","128,283 43.8","98,748 33.7","50,160 17.1","14,653 5.0","1,041",0.4,32,"128,283",43.8,"98,748",33.7,"50,160",17.1,"14,653",5,nyandarua
334,427,Nyeri,Nyeri,19.0,,,NYERI,NYERI,"709,353","4,138",0.6,47,"253,898",35.8,"301,927",42.6,"113,307",16,"36,036",5.1,449,NYERI,Male,"348,266","130,417 37.4","150,457 43.2","52,289 15.0","12,895 3.7","2,180",0.6,28,"130,417",37.4,"150,457",43.2,"52,289",15,"12,895",3.7,449,NYERI,Male,"348,266","130,417 37.4","150,457 43.2","52,289 15.0","12,895 3.7","2,180",0.6,28,"130,417",37.4,"150,457",43.2,"52,289",15,"12,895",3.7,nyeri
351,323,Samburu,Maralal,25.0,,,SAMBURU,SAMBURU,"180,988",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18.0,"10,087",11.6,"18,709",21.6,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18.0,"10,087",11.6,"18,709",21.6,samburu
352,324,Samburu,Maralal,25.0,,,SAMBURU,SAMBURU,"180,988",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,samburu
353,325,Samburu,Maralal,25.0,,,SAMBURU,SAMBURU,"279,891","2,377",0.8,28,"86,608",30.9,"21,260",7.6,"12,334",4.4,"157,284",56.2,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18.0,"10,087",11.6,"18,709",21.6,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18.0,"10,087",11.6,"18,709",21.6,samburu
354,326,Samburu,Maralal,25.0,,,SAMBURU,SAMBURU,"279,891","2,377",0.8,28,"86,608",30.9,"21,260",7.6,"12,334",4.4,"157,284",56.2,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,samburu
361,509,Siaya,Siaya,41.0,,,SIAYA,SIAYA,"919,461","8,648",0.9,322,"441,450",48,"198,100",21.5,"184,768",20.1,"86,173",9.4,992,SIAYA,Male,"434,630","223,195 51.4","97,782 22.5","78,383 18.0","30,230 7.0","4,877",1.1,163,"223,195",51.4,"97,782",22.5,"78,383",18,"30,230",7,992,SIAYA,Male,"434,630","223,195 51.4","97,782 22.5","78,383 18.0","30,230 7.0","4,877",1.1,163,"223,195",51.4,"97,782",22.5,"78,383",18,"30,230",7,siaya
376,331,Tana River,Hola,4.0,,,TANA RIVER,TANA RIVER,"284,605","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,tana river
