County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
TARBAJ,"50,653 24,262 26,386",,,,"1,954",3.9,"1,113 4.6",,,841,3.2,788,1.6 460 1.9 328,,,,,1.2
WAJIR EAST,"101,247 54,136 47,109",,,,"13,681",13.5,"8,358 15.4",,,"5,322",11.3,"5,076","5.0 3,166 5.8 1,909",,,,,4.1
WAJIR NORTH,"55,799 28,905 26,888",,,,"4,029",7.2,"2,357 8.2",,,"1,671",6.2,"1,307",2.3 768 2.7 538,,,,,2
WAJIR SOUTH,"107,634 60,030 47,602",,,,"7,479",6.9,"4,389 7.3",,,"3,090",6.5,"2,037","1.9 1,227 2.0 810",,,,,1.7
WAJIR WEST,"111,178 60,267 50,905",,,,"6,401",5.8,"3,852 6.4",,,"2,549",5,"2,460","2.2 1,465 2.4 995",,,,,2
MANDERA,"775,085 391,182 383,873",,,,"60,710",7.8,"34,564 8.8",,,"26,142",6.8,"21,044","2.7 12,207 3.1 8,833",,,,,2.3
MANDERA WEST,"86,713 42,666 44,045",,,,"5,246",6,"2,954 6.9",,,"2,292",5.2,"2,100","2.4 1,189 2.8 911",,,,,2.1
BANISA,"135,664 70,366 65,291",,,,"7,283",5.4,"4,169 5.9",,,"3,113",4.8,"2,557","1.9 1,498 2.1 1,059",,,,,1.6
KOTULO,"63,722 31,894 31,826",,,,"5,182",8.1,"2,863 9.0",,,"2,317",7.3,"2,568","4.0 1,435 4.5 1,131",,,,,3.6
LAFEY,"74,593 36,424 38,164",,,,"5,873",7.9,"3,113 8.5",,,"2,760",7.2,"2,583","3.5 1,313 3.6 1,270",,,,,3.3
MANDERA CENTRAL,"140,725 64,682 76,039",,,,"14,099",10,"7,466 11.5",,,"6,633",8.7,"4,509","3.2 2,436 3.8 2,073",,,,,2.7
MANDERA EAST,"144,168 75,335 68,829",,,,"16,132",11.2,"9,938 13.2",,,"6,193",9,"4,733","3.3 3,143 4.2 1,588",,,,,2.3
MANDERA NORTH,"129,500 69,815 59,679",,,,"6,895",5.3,"4,061 5.8",,,"2,834",4.7,"1,994","1.5 1,193 1.7 801",,,,,1.3
MARSABIT,"409,629 215,220 194,392",,,,"34,149",8.3,"21,250 9.9",,,"12,898",6.6,"12,435","3.0 8,050 3.7 4,384",,,,,2.3
LOIYANGALANI,"31,574 15,401 16,171",,,,"1,468",4.6,933 6.1,,,535,3.3,559,1.8 363 2.4 196,,,,,1.2
MARSABIT CENTRAL,"71,619 36,892 34,716",,,,"11,293",15.8,"6,781 18.4",,,"4,512",13,"4,452","6.2 2,800 7.6 1,652",,,,,4.8
MARSABIT NORTH,"45,650 24,849 20,800",,,,"2,543",5.6,"1,575 6.3",,,968,4.7,815,1.8 553 2.2 262,,,,,1.3
MARSABIT SOUTH,"59,493 30,146 29,347",,,,"3,417",5.7,"2,118 7.0",,,"1,299",4.4,"1,215",2.0 811 2.7 404,,,,,1.4
MOYALE,"97,766 50,613 47,152",,,,"9,977",10.2,"6,295 12.4",,,"3,682",7.8,"3,294","3.4 2,099 4.1 1,195",,,,,2.5
NORTH HORR,"62,863 35,980 26,881",,,,"3,071",4.9,"1,983 5.5",,,"1,087",4,"1,307",2.1 882 2.5 424,,,,,1.6
SOLOLO,"40,664 21,339 19,325",,,,"2,380",5.9,"1,565 7.3",,,815,4.2,793,2.0 542 2.5 251,,,,,1.3
ISIOLO,"245,462 128,141 117,317",,,,"34,780",14.2,"20,665 16.1",,,"14,114",12,"12,860","5.2 8,036 6.3 4,824",,,,,4.1
GARBATULLA,"92,227 50,808 41,418",,,,"7,781",8.4,"4,844 9.5",,,"2,936",7.1,"2,537","2.8 1,551 3.1 986",,,,,2.4
ISIOLO SUBCOUNTY,"110,631 55,148 55,483",,,,"24,135",21.8,"13,964 25.3",,,"10,171",18.3,"9,383","8.5 5,873 10.6 3,510",,,,,6.3
MERTI,"42,604 22,185 20,416",,,,"2,864",6.7,"1,857 8.4",,,"1,007",4.9,940,2.2 612 2.8 328,,,,,1.6
MERU,"1,436,400 711,224 725,139",,,,"277,161",19.3,"152,727 21.5",,,"124,427",17.2,"102,691","7.1 56,339 7.9 46,347",,,,,6.4
BUURI EAST,"71,784 35,691 36,093",,,,"15,420",21.5,"8,403 23.5",,,"7,017",19.4,"6,132","8.5 3,296 9.2 2,836",,,,,7.9
BUURI WEST,"75,344 37,726 37,616",,,,"18,801",25,"10,704 28.4",,,"8,096",21.5,"6,008","8.0 3,423 9.1 2,585",,,,,6.9
IGEMBE CENTRAL,"204,412 102,059 102,349",,,,"30,624",15,"17,977 17.6",,,"12,646",12.4,"7,607","3.7 4,239 4.2 3,367",,,,,3.3
IGEMBE NORTH,"156,536 76,912 79,620",,,,"21,500",13.7,"12,648 16.4",,,"8,852",11.1,"6,231","4.0 3,517 4.6 2,713",,,,,3.4
IGEMBE SOUTH,"149,522 74,030 75,484",,,,"24,765",16.6,"13,519 18.3",,,"11,246",14.9,"7,657","5.1 4,202 5.7 3,455",,,,,4.6
IMENTI NORTH,"162,829 80,497 82,328",,,,"55,301",34,"28,704 35.7",,,"26,594",32.3,"26,579","16.3 14,075 17.5 12,503",,,,,15.2
IMENTI SOUTH,"193,742 96,744 96,993",,,,"44,896",23.2,"23,908 24.7",,,"20,987",21.6,"17,772","9.2 9,525 9.8 8,246",,,,,8.5
MERU CENTRAL,"125,670 62,757 62,910",,,,"25,495",20.3,"14,042 22.4",,,"11,453",18.2,"10,038","8.0 5,468 8.7 4,570",,,,,7.3
TIGANIA CENTRAL,"97,405 48,073 49,332",,,,"11,279",11.6,"6,518 13.6",,,"4,761",9.7,"3,957","4.1 2,266 4.7 1,691",,,,,3.4
TIGANIA EAST,"67,622 32,914 34,705",,,,"9,323",13.8,"5,258 16.0",,,"4,065",11.7,"3,143","4.6 1,868 5.7 1,275",,,,,3.7
TIGANIA WEST,"130,798 63,209 67,585",,,,"19,485",14.9,"10,827 17.1",,,"8,657",12.8,"7,495","5.7 4,406 7.0 3,088",,,,,4.6
MERU NATIONAL PARK,294 219 75,,,,214,72.8,172 78.5,,,42,56,51,17.3 38 17.4 13,,,,,17.3
MT. KENYA FOREST,442 393 49,,,,58,13.1,47 12.0,,,11,22.4,21,4.8 16 4.1 5,,,,,10.2
THARAKA-NITHI,"367,574 180,692 186,875",,,,"69,154",18.8,"36,971 20.5",,,"32,180",17.2,"29,987","8.2 16,260 9.0 13,727",,,,,7.3
IGAMBANG'OMBE,"49,368 24,367 25,000",,,,"6,112",12.4,"3,457 14.2",,,"2,654",10.6,"2,152","4.4 1,217 5.0 935",,,,,3.7
MAARA,"108,517 54,491 54,026",,,,"24,682",22.7,"12,842 23.6",,,"11,840",21.9,"9,977","9.2 5,274 9.7 4,703",,,,,8.7
MERU SOUTH,"85,236 41,988 43,246",,,,"23,125",27.1,"12,006 28.6",,,"11,118",25.7,"11,605","13.6 6,199 14.8 5,406",,,,,12.5
THARAKA NORTH,"54,321 26,290 28,029",,,,"5,073",9.3,"3,013 11.5",,,"2,060",7.3,"1,707","3.1 1,013 3.9 694",,,,,2.5
THARAKA SOUTH,"69,972 33,482 36,488",,,,"10,053",14.4,"5,610 16.8",,,"4,442",12.2,"4,486","6.4 2,532 7.6 1,954",,,,,5.4
MT. KENYA FOREST,160 74 86,,,,109,68.1,43 58.1,,,66,76.7,60,37.5 25 33.8 35,,,,,40.7
EMBU,"568,228 283,024 285,182",,,,"125,572",22.1,"66,829 23.6",,,"58,737",20.6,"53,649","9.4 28,913 10.2 24,733",,,,,8.7
EMBU EAST,"122,079 60,807 61,270",,,,"25,056",20.5,"13,406 22.0",,,"11,650",19,"10,935","9.0 5,940 9.8 4,995",,,,,8.2
EMBU NORTH,"75,194 37,443 37,748",,,,"16,268",21.6,"8,939 23.9",,,"7,329",19.4,"7,232","9.6 4,045 10.8 3,187",,,,,8.4
EMBU WEST,"116,797 57,297 59,491",,,,"40,813",34.9,"20,467 35.7",,,"20,340",34.2,"20,627","17.7 10,684 18.6 9,940",,,,,16.7
MBEERE SOUTH,"152,697 77,699 74,993",,,,"27,340",17.9,"15,139 19.5",,,"12,201",16.3,"8,782","5.8 4,872 6.3 3,910",,,,,5.2
MBEERE NORTH,"101,440 49,760 51,677",,,,"16,080",15.9,"8,865 17.8",,,"7,215",14,"6,066","6.0 3,367 6.8 2,699",,,,,5.2
MT. KENYA FOREST,21 18 3,,,,15,71.4,13 72.2,,,2,66.7,7,33.3 5 27.8 2,,,,,66.7
KITUI,"1,056,907 508,247 548,634",,,,"143,340",13.6,"76,701 15.1",,,"66,636",12.1,"51,579","4.9 28,643 5.6 22,934",,,,,4.2
IKUTHA,"77,563 37,282 40,281",,,,"7,569",9.8,"4,211 11.3",,,"3,358",8.3,"2,527","3.3 1,446 3.9 1,081",,,,,2.7
KATULANI,"44,328 21,770 22,557",,,,"6,951",15.7,"3,691 17.0",,,"3,260",14.5,"2,418","5.5 1,349 6.2 1,069",,,,,4.7
KISASI,"43,226 21,140 22,086",,,,"5,124",11.9,"2,767 13.1",,,"2,357",10.7,"1,409",3.3 811 3.8 598,,,,,2.7
KITUI CENTRAL,"97,406 47,435 49,968",,,,"24,129",24.8,"12,224 25.8",,,"11,905",23.8,"10,163","10.4 5,350 11.3 4,813",,,,,9.6
KITUI WEST,"66,202 31,558 34,643",,,,"11,587",17.5,"6,010 19.0",,,"5,577",16.1,"4,063","6.1 2,236 7.1 1,827",,,,,5.3
KYUSO,"71,052 33,864 37,187",,,,"6,949",9.8,"3,894 11.5",,,"3,055",8.2,"2,443","3.4 1,385 4.1 1,058",,,,,2.8
LOWER YATTA,"59,184 29,535 29,649",,,,"8,568",14.5,"4,804 16.3",,,"3,764",12.7,"2,816","4.8 1,631 5.5 1,185",,,,,4
MATINYANI,"44,779 21,869 22,909",,,,"7,011",15.7,"3,807 17.4",,,"3,204",14,"2,454","5.5 1,381 6.3 1,073",,,,,4.7
MIGWANI,"73,803 34,807 38,993",,,,"11,547",15.6,"6,105 17.5",,,"5,441",14,"4,047","5.5 2,217 6.4 1,829",,,,,4.7
MUMONI,"27,319 12,732 14,587",,,,"3,126",11.4,"1,711 13.4",,,"1,415",9.7,960,3.5 570 4.5 390,,,,,2.7
MUTITU,"51,464 24,422 27,040",,,,"4,526",8.8,"2,476 10.1",,,"2,050",7.6,"1,597",3.1 881 3.6 716,,,,,2.6
MUTITU NORTH,"19,815 9,620 10,194",,,,"2,171",11,"1,152 12.0",,,"1,019",10,817,4.1 465 4.8 352,,,,,3.5
MUTOMO,"105,422 50,656 54,761",,,,"10,975",10.4,"5,925 11.7",,,"5,049",9.2,"3,986","3.8 2,284 4.5 1,702",,,,,3.1
MWINGI CENTRAL,"100,501 48,132 52,369",,,,"15,197",15.1,"7,951 16.5",,,"7,246",13.8,"5,672","5.6 3,089 6.4 2,583",,,,,4.9
MWINGI EAST,"79,205 37,382 41,818",,,,"7,304",9.2,"4,005 10.7",,,"3,298",7.9,"2,323","2.9 1,325 3.5 997",,,,,2.4
NZAMBANI,"43,682 21,356 22,324",,,,"6,313",14.5,"3,419 16.0",,,"2,894",13,"2,337","5.4 1,299 6.1 1,038",,,,,4.6
THAGICU,"14,025 6,591 7,433",,,,"1,127",8,683 10.4,,,444,6,450,3.2 261 4.0 189,,,,,2.5
TSEIKURU,"37,931 18,096 19,835",,,,"3,166",8.3,"1,866 10.3",,,"1,300",6.6,"1,097",2.9 663 3.7 434,,,,,2.2
MACHAKOS,"1,327,172 661,982 665,162",,,,"342,005",25.8,"181,709 27.4",,,"160,291",24.1,"156,435","11.8 85,368 12.9 71,065",,,,,10.7
