County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
WEBUYE WEST,"140,446 68,209 72,234",,,,"20,026",14.3,"11,059 16.2",,,"8,967",12.4,"9,249","6.6 5,091 7.5 4,158",,,,,5.8
Mt. ELGON FOREST,"3,264 1,698 1,566",,,,159,4.9,108 6.4,,,51,3.3,47,1.4 32 1.9 15,,,,,1
BUSIA,"820,788 388,748 432,013",,,,"110,560",13.5,"63,352 16.3",,,"47,207",10.9,"48,050","5.9 27,819 7.2 20,231",,,,,4.7
BUNYALA,"79,588 38,196 41,391",,,,"11,179",14,"6,972 18.3",,,"4,207",10.2,"4,713","5.9 2,918 7.6 1,795",,,,,4.3
BUSIA SUBCOUNTY,"128,002 60,908 67,093",,,,"22,258",17.4,"12,254 20.1",,,"10,004",14.9,"9,208","7.2 5,254 8.6 3,954",,,,,5.9
BUTULA,"129,739 59,856 69,880",,,,"13,519",10.4,"7,491 12.5",,,"6,027",8.6,"6,056","4.7 3,465 5.8 2,591",,,,,3.7
NAMBALE,"103,180 48,653 54,523",,,,"12,317",11.9,"6,882 14.1",,,"5,435",10,"5,358","5.2 2,991 6.1 2,367",,,,,4.3
SAMIA,"99,108 46,819 52,275",,,,"12,910",13,"7,744 16.5",,,"5,166",9.9,"5,298","5.3 3,140 6.7 2,158",,,,,4.1
TESO NORTH,"126,387 60,543 65,842",,,,"17,790",14.1,"10,258 16.9",,,"7,532",11.4,"8,129","6.4 4,748 7.8 3,381",,,,,5.1
TESO SOUTH,"154,784 73,773 81,009",,,,"20,587",13.3,"11,751 15.9",,,"8,836",10.9,"9,288","6.0 5,303 7.2 3,985",,,,,4.9
SIAYA,"919,461 434,630 484,814",,,,"137,402",14.9,"76,966 17.7",,,"60,433",12.5,"62,273","6.8 35,574 8.2 26,695",,,,,5.5
SIAYA SUBCOUNTY,"207,196 97,050 110,142",,,,"31,733",15.3,"17,490 18.0",,,"14,243",12.9,"14,474","7.0 8,218 8.5 6,255",,,,,5.7
GEM,"166,766 79,237 87,525",,,,"22,169",13.3,"12,537 15.8",,,"9,631",11,"10,946","6.6 6,213 7.8 4,732",,,,,5.4
UGENYA,"125,274 58,138 67,132",,,,"15,551",12.4,"8,709 15.0",,,"6,840",10.2,"6,241","5.0 3,567 6.1 2,672",,,,,4
UGUNJA,"96,903 45,246 51,657",,,,"14,677",15.1,"8,093 17.9",,,"6,584",12.7,"6,331","6.5 3,622 8.0 2,709",,,,,5.2
BONDO,"181,834 87,903 93,928",,,,"33,258",18.3,"18,933 21.5",,,"14,325",15.3,"15,445","8.5 8,974 10.2 6,471",,,,,6.9
RARIEDA,"141,488 67,056 74,430",,,,"20,014",14.1,"11,204 16.7",,,"8,810",11.8,"8,836","6.2 4,980 7.4 3,856",,,,,5.2
KISUMU,"1,061,224 511,739 549,465",,,,"253,426",23.9,"139,088 27.2",,,"114,331",20.8,"133,434","12.6 74,969 14.6 58,463",,,,,10.6
KISUMU EAST,"202,479 99,157 103,318",,,,"58,879",29.1,"32,495 32.8",,,"26,383",25.5,"29,987","14.8 16,911 17.1 13,076",,,,,12.7
KISUMU CENTRAL,"158,191 75,722 82,465",,,,"69,939",44.2,"35,949 47.5",,,"33,988",41.2,"41,096","26.0 22,008 29.1 19,087",,,,,23.1
KISUMU WEST,"157,473 76,922 80,548",,,,"37,566",23.9,"21,267 27.6",,,"16,298",20.2,"21,037","13.4 12,148 15.8 8,889",,,,,11
SEME,"112,594 53,097 59,495",,,,"16,203",14.4,"9,129 17.2",,,"7,073",11.9,"7,583","6.7 4,352 8.2 3,230",,,,,5.4
MUHORONI,"141,120 69,743 71,376",,,,"21,854",15.5,"13,071 18.7",,,"8,783",12.3,"10,428","7.4 6,190 8.9 4,238",,,,,5.9
NYANDO,"149,436 71,048 78,383",,,,"26,699",17.9,"14,708 20.7",,,"11,989",15.3,"12,813","8.6 7,301 10.3 5,512",,,,,7
NYAKACH,"139,931 66,050 73,880",,,,"22,286",15.9,"12,469 18.9",,,"9,817",13.3,"10,490","7.5 6,059 9.2 4,431",,,,,6
HOMA BAY,"1,037,468 491,680 545,768",,,,"157,625",15.2,"90,677 18.4",,,"66,942",12.3,"70,162","6.8 41,789 8.5 28,371",,,,,5.2
HOMA BAY SUBCOUNTY,"106,961 50,299 56,661",,,,"23,393",21.9,"12,944 25.7",,,"10,448",18.4,"12,197","11.4 6,989 13.9 5,207",,,,,9.2
NDHIWA,"198,409 93,863 104,539",,,,"22,435",11.3,"13,601 14.5",,,"8,833",8.4,"8,868","4.5 5,500 5.9 3,367",,,,,3.2
RACHUONYO NORTH,"165,147 78,464 86,679",,,,"24,220",14.7,"13,944 17.8",,,"10,274",11.9,"11,072","6.7 6,663 8.5 4,409",,,,,5.1
RACHUONYO EAST,"112,267 52,912 59,353",,,,"16,195",14.4,"9,144 17.3",,,"7,050",11.9,"7,065","6.3 4,167 7.9 2,898",,,,,4.9
RACHUONYO SOUTH,"120,330 56,383 63,947",,,,"20,941",17.4,"11,513 20.4",,,"9,428",14.7,"9,248","7.7 5,407 9.6 3,841",,,,,6
RANGWE,"108,345 50,653 57,689",,,,"15,654",14.4,"8,826 17.4",,,"6,828",11.8,"6,691","6.2 3,927 7.8 2,764",,,,,4.8
SUBA NORTH,"114,461 55,323 59,137",,,,"20,600",18,"12,091 21.9",,,"8,508",14.4,"9,533","8.3 5,765 10.4 3,768",,,,,6.4
SUBA SOUTH,"111,548 53,783 57,763",,,,"14,187",12.7,"8,614 16.0",,,"5,573",9.6,"5,488","4.9 3,371 6.3 2,117",,,,,3.7
MIGORI,"1,016,399 486,357 530,012",,,,"145,208",14.3,"85,341 17.5",,,"59,865",11.3,"62,426","6.1 37,031 7.6 25,395",,,,,4.8
AWENDO,"107,090 51,345 55,743",,,,"17,002",15.9,"10,180 19.8",,,"6,822",12.2,"7,904","7.4 4,774 9.3 3,130",,,,,5.6
KURIA EAST,"88,045 42,653 45,385",,,,"9,524",10.8,"5,787 13.6",,,"3,737",8.2,"3,877","4.4 2,373 5.6 1,504",,,,,3.3
KURIA WEST,"189,956 92,003 97,947",,,,"24,267",12.8,"14,421 15.7",,,"9,846",10.1,"9,958","5.2 5,917 6.4 4,041",,,,,4.1
NYATIKE,"159,883 75,746 84,130",,,,"19,558",12.2,"12,035 15.9",,,"7,523",8.9,"7,365","4.6 4,572 6.0 2,793",,,,,3.3
RONGO,"114,373 54,154 60,218",,,,"20,094",17.6,"11,293 20.9",,,"8,801",14.6,"9,875","8.6 5,655 10.4 4,220",,,,,7
SUNA EAST,"111,811 53,380 58,428",,,,"19,636",17.6,"11,257 21.1",,,"8,378",14.3,"9,081","8.1 5,191 9.7 3,890",,,,,6.7
SUNA WEST,"115,745 54,921 60,823",,,,"19,051",16.5,"10,745 19.6",,,"8,305",13.7,"8,317","7.2 4,829 8.8 3,488",,,,,5.7
URIRI,"129,496 62,155 67,338",,,,"16,076",12.4,"9,623 15.5",,,"6,453",9.6,"6,049","4.7 3,720 6.0 2,329",,,,,3.5
KISII,"1,179,067 561,241 617,793",,,,"188,888",16,"107,428 19.1",,,"81,453",13.2,"92,025","7.8 53,238 9.5 38,782",,,,,6.3
ETAGO,"78,104 37,316 40,785",,,,"8,625",11,"5,200 13.9",,,"3,424",8.4,"3,725","4.8 2,261 6.1 1,463",,,,,3.6
GUCHA,"77,635 36,552 41,082",,,,"12,159",15.7,"6,815 18.6",,,"5,344",13,"6,367","8.2 3,620 9.9 2,747",,,,,6.7
GUCHA SOUTH,"77,984 37,202 40,779",,,,"10,281",13.2,"6,051 16.3",,,"4,229",10.4,"5,085","6.5 2,995 8.1 2,090",,,,,5.1
KENYENYA,"122,925 58,489 64,434",,,,"15,998",13,"9,279 15.9",,,"6,719",10.4,"6,857","5.6 3,995 6.8 2,862",,,,,4.4
KISII CENTRAL,"153,169 73,940 79,226",,,,"36,585",23.9,"20,230 27.4",,,"16,354",20.6,"19,583","12.8 11,113 15.0 8,469",,,,,10.7
KISII SOUTH,"126,037 59,998 66,034",,,,"18,760",14.9,"10,792 18.0",,,"7,968",12.1,"8,678","6.9 5,024 8.4 3,654",,,,,5.5
KITUTU CENTRAL,"143,117 68,958 74,154",,,,"35,265",24.6,"19,207 27.9",,,"16,055",21.7,"18,562","13.0 10,307 14.9 8,253",,,,,11.1
MARANI,"100,436 47,090 53,345",,,,"11,969",11.9,"7,021 14.9",,,"4,948",9.3,"5,634","5.6 3,351 7.1 2,282",,,,,4.3
MASABA SOUTH,"114,613 54,167 60,442",,,,"14,865",13,"8,656 16.0",,,"6,208",10.3,"6,857","6.0 4,105 7.6 2,752",,,,,4.6
NYAMACHE,"122,459 57,910 64,547",,,,"16,225",13.2,"9,353 16.2",,,"6,872",10.6,"7,046","5.8 4,269 7.4 2,777",,,,,4.3
SAMETA,"62,588 29,619 32,965",,,,"8,156",13,"4,824 16.3",,,"3,332",10.1,"3,631","5.8 2,198 7.4 1,433",,,,,4.3
NYAMIRA,"566,741 271,344 295,385",,,,"90,354",15.9,"51,409 18.9",,,"38,945",13.2,"42,183","7.4 24,562 9.1 17,621",,,,,6
BORABU,"68,779 34,446 34,333",,,,"13,648",19.8,"7,801 22.6",,,"5,847",17,"6,632","9.6 3,857 11.2 2,775",,,,,8.1
MANGA,"88,406 41,976 46,428",,,,"13,535",15.3,"7,792 18.6",,,"5,743",12.4,"5,992","6.8 3,480 8.3 2,512",,,,,5.4
MASABA NORTH,"104,344 49,088 55,254",,,,"16,755",16.1,"9,583 19.5",,,"7,172",13,"7,588","7.3 4,420 9.0 3,168",,,,,5.7
NYAMIRA NORTH,"156,770 75,072 81,693",,,,"21,089",13.5,"12,178 16.2",,,"8,911",10.9,"10,319","6.6 6,065 8.1 4,254",,,,,5.2
NYAMIRA SOUTH,"148,442 70,762 77,677",,,,"25,327",17.1,"14,055 19.9",,,"11,272",14.5,"11,652","7.8 6,740 9.5 4,912",,,,,6.3
NAIROBI CITY,"4,010,447 1,986,852 2,023,404",,,,"2,100,763",52.4,"1,098,800 55.3",,,"1,001,864",49.5,"1,124,363","28.0 612,850 30.8 511,455",,,,,25.3
DAGORETTI,"398,369 199,539 198,804",,,,"188,630",47.4,"101,942 51.1",,,"86,674",43.6,"93,735","23.5 52,886 26.5 40,841",,,,,20.5
EMBAKASI,"904,247 449,669 454,540",,,,"502,164",55.5,"263,960 58.7",,,"238,186",52.4,"272,166","30.1 149,225 33.2 122,932",,,,,27
KAMUKUNJI,"242,507 122,131 120,369",,,,"115,467",47.6,"61,739 50.6",,,"53,724",44.6,"41,640","17.2 24,208 19.8 17,430",,,,,14.5
KASARANI,"710,889 344,378 366,478",,,,"379,562",53.4,"193,203 56.1",,,"186,343",50.8,"205,007","28.8 111,229 32.3 93,767",,,,,25.6
KIBRA,"169,509 85,815 83,687",,,,"75,392",44.5,"41,154 48.0",,,"34,233",40.9,"42,385","25.0 23,261 27.1 19,121",,,,,22.8
LANG'ATA,"180,488 87,399 93,081",,,,"118,899",65.9,"58,595 67.0",,,"60,302",64.8,"86,477","47.9 43,504 49.8 42,972",,,,,46.2
MAKADARA,"176,283 89,283 86,991",,,,"92,196",52.3,"49,033 54.9",,,"43,160",49.6,"47,544","27.0 26,262 29.4 21,280",,,,,24.5
MATHARE,"188,625 97,147 91,465",,,,"70,295",37.3,"41,412 42.6",,,"28,877",31.6,"23,989","12.7 14,838 15.3 9,147",,,,,10
NJIRU,"573,474 280,310 293,137",,,,"269,869",47.1,"139,682 49.8",,,"130,174",44.4,"128,093","22.3 70,897 25.3 57,190",,,,,19.5
STAREHE,"182,149 90,480 91,660",,,,"107,513",59,"55,484 61.3",,,"52,021",56.8,"59,704","32.8 32,417 35.8 27,282",,,,,29.8
WESTLANDS,"283,907 140,701 143,192",,,,"180,776",63.7,"92,596 65.8",,,"88,170",61.6,"123,623","43.5 64,123 45.6 59,493",,,,,41.5
