County_slash_Sub_County,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
KISUMU EAST,"202,479 99,157 103,318",,,,"109,698",54.2,"54,850 55.3",,,"54,845",53.1
KISUMU CENTRAL,"158,191 75,722 82,465",,,,"97,762",61.8,"47,358 62.5",,,"50,402",61.1
KISUMU WEST,"157,473 76,922 80,548",,,,"78,440",49.8,"38,598 50.2",,,"39,839",49.5
SEME,"112,594 53,097 59,495",,,,"48,931",43.5,"22,024 41.5",,,"26,906",45.2
MUHORONI,"141,120 69,743 71,376",,,,"61,248",43.4,"31,037 44.5",,,"30,211",42.3
NYANDO,"149,436 71,048 78,383",,,,"67,104",44.9,"31,157 43.9",,,"35,943",45.9
NYAKACH,"139,931 66,050 73,880",,,,"61,332",43.8,"27,691 41.9",,,"33,640",45.5
HOMA BAY,"1,037,468 491,680 545,768",,,,"426,084",41.1,"199,666 40.6",,,"226,407",41.5
HOMA BAY SUBCOUNTY,"106,961 50,299 56,661",,,,"50,211",46.9,"23,654 47.0",,,"26,556",46.9
NDHIWA,"198,409 93,863 104,539",,,,"72,567",36.6,"34,973 37.3",,,"37,591",36
RACHUONYO NORTH,"165,147 78,464 86,679",,,,"71,012",43,"32,653 41.6",,,"38,356",44.3
RACHUONYO EAST,"112,267 52,912 59,353",,,,"45,922",40.9,"20,829 39.4",,,"25,092",42.3
RACHUONYO SOUTH,"120,330 56,383 63,947",,,,"52,276",43.4,"23,768 42.2",,,"28,508",44.6
RANGWE,"108,345 50,653 57,689",,,,"42,482",39.2,"19,103 37.7",,,"23,379",40.5
SUBA NORTH,"114,461 55,323 59,137",,,,"49,131",42.9,"23,822 43.1",,,"25,308",42.8
SUBA SOUTH,"111,548 53,783 57,763",,,,"42,483",38.1,"20,864 38.8",,,"21,617",37.4
MIGORI,"1,016,399 486,357 530,012",,,,"381,265",37.5,"187,805 38.6",,,"193,454",36.5
AWENDO,"107,090 51,345 55,743",,,,"44,514",41.6,"21,823 42.5",,,"22,690",40.7
KURIA EAST,"88,045 42,653 45,385",,,,"26,355",29.9,"13,306 31.2",,,"13,049",28.8
KURIA WEST,"189,956 92,003 97,947",,,,"61,391",32.3,"32,022 34.8",,,"29,368",30
NYATIKE,"159,883 75,746 84,130",,,,"59,957",37.5,"28,909 38.2",,,"31,047",36.9
RONGO,"114,373 54,154 60,218",,,,"48,385",42.3,"22,916 42.3",,,"25,469",42.3
SUNA EAST,"111,811 53,380 58,428",,,,"47,096",42.1,"22,924 42.9",,,"24,171",41.4
SUNA WEST,"115,745 54,921 60,823",,,,"45,983",39.7,"22,498 41.0",,,"23,484",38.6
URIRI,"129,496 62,155 67,338",,,,"47,584",36.7,"23,407 37.7",,,"24,176",35.9
KISII,"1,179,067 561,241 617,793",,,,"516,635",43.8,"240,834 42.9",,,"275,786",44.6
ETAGO,"78,104 37,316 40,785",,,,"29,794",38.1,"14,188 38.0",,,"15,605",38.3
GUCHA,"77,635 36,552 41,082",,,,"33,000",42.5,"15,085 41.3",,,"17,915",43.6
GUCHA SOUTH,"77,984 37,202 40,779",,,,"31,460",40.3,"14,687 39.5",,,"16,772",41.1
KENYENYA,"122,925 58,489 64,434",,,,"51,866",42.2,"23,700 40.5",,,"28,166",43.7
KISII CENTRAL,"153,169 73,940 79,226",,,,"77,633",50.7,"37,051 50.1",,,"40,579",51.2
KISII SOUTH,"126,037 59,998 66,034",,,,"51,323",40.7,"24,594 41.0",,,"26,728",40.5
KITUTU CENTRAL,"143,117 68,958 74,154",,,,"69,863",48.8,"33,839 49.1",,,"36,020",48.6
MARANI,"100,436 47,090 53,345",,,,"42,225",42,"18,873 40.1",,,"23,352",43.8
MASABA SOUTH,"114,613 54,167 60,442",,,,"50,230",43.8,"22,627 41.8",,,"27,602",45.7
NYAMACHE,"122,459 57,910 64,547",,,,"52,642",43,"23,878 41.2",,,"28,762",44.6
SAMETA,"62,588 29,619 32,965",,,,"26,599",42.5,"12,312 41.6",,,"14,285",43.3
NYAMIRA,"566,741 271,344 295,385",,,,"257,227",45.4,"119,533 44.1",,,"137,692",46.6
BORABU,"68,779 34,446 34,333",,,,"33,826",49.2,"16,692 48.5",,,"17,134",49.9
MANGA,"88,406 41,976 46,428",,,,"40,638",46,"18,738 44.6",,,"21,900",47.2
MASABA NORTH,"104,344 49,088 55,254",,,,"47,862",45.9,"21,623 44.0",,,"26,239",47.5
NYAMIRA NORTH,"156,770 75,072 81,693",,,,"67,996",43.4,"31,590 42.1",,,"36,405",44.6
NYAMIRA SOUTH,"148,442 70,762 77,677",,,,"66,905",45.1,"30,890 43.7",,,"36,014",46.4
NAIROBI CITY,"4,010,447 1,986,852 2,023,404",,,,"2,772,719",69.1,"1,392,497 70.1",,,"1,380,088",68.2
DAGORETTI,"398,369 199,539 198,804",,,,"270,753",68,"138,103 69.2",,,"132,632",66.7
EMBAKASI,"904,247 449,669 454,540",,,,"634,778",70.2,"321,225 71.4",,,"313,532",69
KAMUKUNJI,"242,507 122,131 120,369",,,,"157,219",64.8,"80,627 66.0",,,"76,586",63.6
KASARANI,"710,889 344,378 366,478",,,,"491,651",69.2,"239,367 69.5",,,"252,263",68.8
KIBRA,"169,509 85,815 83,687",,,,"111,720",65.9,"58,062 67.7",,,"53,652",64.1
LANG'ATA,"180,488 87,399 93,081",,,,"134,897",74.7,"65,416 74.8",,,"69,476",74.6
MAKADARA,"176,283 89,283 86,991",,,,"126,251",71.6,"64,996 72.8",,,"61,248",70.4
MATHARE,"188,625 97,147 91,465",,,,"122,056",64.7,"65,520 67.4",,,"56,524",61.8
NJIRU,"573,474 280,310 293,137",,,,"377,259",65.8,"185,710 66.3",,,"191,531",65.3
STAREHE,"182,149 90,480 91,660",,,,"131,259",72.1,"65,980 72.9",,,"65,270",71.2
WESTLANDS,"283,907 140,701 143,192",,,,"214,876",75.7,"107,491 76.4",,,"107,374",75
